cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,category,mean_pred,std_pred
0,33,0.13,False,1.14,HLA,30.412704,2.098662
1,204,0.82,False,0.98,HLA,38.835178,1.224277
2,89,0.36,False,1.18,HLA,17.365608,1.388268
3,293,1.17,False,1.01,HLA,39.044483,1.246643
4,300,1.2,False,1.04,HLA,32.239124,1.064679
5,38,0.15,False,1.18,HLA,28.140291,2.15983
6,401,1.6,False,1.03,HLA,42.009693,1.211177
7,127,0.51,False,1.02,HLA,27.911066,1.472811
8,91,0.36,False,1.09,HLA,35.077713,1.550165
9,122,0.49,False,1.07,HLA,43.777626,1.492136
10,122,0.49,False,0.97,HLA,42.619518,1.297282
11,144,0.58,False,1.1,HLA,39.96685,1.537067
12,65,0.26,False,1.04,HLA,48.138779,2.57728
13,412,1.65,False,1.01,HLA,42.054661,1.015964
14,38,0.15,False,1.17,HLA,29.272034,2.324008
15,287,1.15,False,1.05,HLA,22.059973,1.009108
16,457,1.83,False,1.05,HLA,40.305214,1.203525
17,1065,4.26,False,1.02,HLA,42.637165,1.013533
18,53,0.21,False,1.06,HLA,39.109615,1.427726
19,31,0.12,False,1.06,HLA,25.792562,2.054439
20,288,1.15,False,1.02,HLA,41.792725,1.02529
21,124,0.5,False,1.05,HLA,38.649185,1.623748
22,101,0.4,False,1.04,HLA,38.291622,1.420528
23,4331,17.32,True,0.87,HLA,40.457737,0.609564
24,128,0.51,False,1.08,HLA,38.415543,1.529659
25,222,0.89,False,1.09,HLA,33.739254,1.686104
26,218,0.87,False,1.01,HLA,34.47974,1.309163
27,35,0.14,False,1.03,HLA,53.937325,1.874338
28,71,0.28,False,1.03,HLA,34.923489,1.624192
29,89,0.36,False,1.1,HLA,43.39119,1.655682
30,91,0.36,False,1.02,HLA,43.869457,1.865469
31,250,1.0,False,1.07,HLA,37.979527,1.68032
32,158,0.63,False,1.07,HLA,36.77383,2.101587
33,40,0.16,False,1.03,HLA,41.306442,1.853222
34,285,1.14,False,1.01,HLA,42.512642,1.144985
35,219,0.88,False,1.03,HLA,42.564873,1.334946
36,92,0.37,False,1.05,HLA,38.433212,1.456333
37,423,1.69,False,1.01,HLA,42.342876,1.189661
38,1285,5.14,False,1.01,HLA,39.125099,0.873461
39,37,0.15,False,1.18,HLA,30.915825,2.079182
40,183,0.73,False,1.06,HLA,39.08049,1.872756
41,168,0.67,False,1.04,HLA,36.027233,1.578318
42,94,0.38,False,1.11,HLA,31.165936,1.371689
43,46,0.18,False,1.2,HLA,22.884975,1.832937
44,38,0.15,False,1.04,HLA,43.902905,1.946922
45,44,0.18,False,0.96,HLA,46.266171,1.799825
46,147,0.59,False,1.04,HLA,39.419098,1.265227
47,214,0.86,False,1.04,HLA,24.475189,1.141954
48,135,0.54,False,1.04,HLA,37.681465,1.641562
49,147,0.59,False,1.11,HLA,27.36743,1.413679
50,87,0.35,False,1.02,HLA,36.442493,1.716496
51,158,0.63,False,1.02,HLA,38.708656,1.235227
52,208,0.83,False,1.08,HLA,37.932976,1.381634
53,276,1.1,False,1.02,HLA,40.02737,1.157131
54,3560,14.24,False,0.91,HLA,41.377686,0.691597
55,22,0.09,False,1.1,HLA,46.611412,3.018708
56,84,0.34,False,1.07,HLA,35.892063,1.985732
57,143,0.57,False,1.0,HLA,38.513905,1.755779
