cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,category,mean_pred,std_pred
0,1117,4.47,False,0.98,HLA,46.561428,1.111044
1,6,0.02,False,1.05,HLA,34.905872,4.290637
2,207,0.83,False,1.14,HLA,27.237247,1.523676
3,107,0.43,False,1.02,HLA,43.034542,1.45448
4,137,0.55,False,1.1,HLA,36.164627,2.515013
5,45,0.18,False,1.11,HLA,39.05196,1.767989
6,2,0.01,False,1.3,HLA,23.584759,0.352641
7,335,1.34,False,1.0,HLA,43.446579,1.534758
8,486,1.94,False,1.0,HLA,42.976559,1.332724
9,107,0.43,False,1.04,HLA,42.113285,1.588498
10,1336,5.34,False,0.97,HLA,43.656898,1.022848
11,692,2.77,False,1.0,HLA,44.416553,1.683362
12,64,0.26,False,1.16,HLA,39.39502,1.868418
13,72,0.29,False,1.07,HLA,39.0634,2.160422
14,86,0.34,False,1.11,HLA,46.446053,2.616317
15,442,1.77,False,1.06,HLA,49.060535,1.859479
16,216,0.86,False,1.03,HLA,36.051807,1.556774
17,408,1.63,False,1.02,HLA,40.184273,1.481808
18,79,0.32,False,1.12,HLA,32.929394,2.689104
19,170,0.68,False,1.06,HLA,47.047001,2.16711
20,359,1.44,False,1.03,HLA,41.725971,1.597554
21,66,0.26,False,1.2,HLA,17.380064,1.529987
22,392,1.57,False,1.04,HLA,46.555874,1.592989
23,27,0.11,False,1.05,HLA,57.289616,2.832315
24,169,0.68,False,1.09,HLA,47.072273,2.138072
25,102,0.41,False,1.06,HLA,41.329865,2.206788
26,43,0.17,False,1.12,HLA,35.425663,2.244341
27,103,0.41,False,1.14,HLA,36.522537,2.485022
28,129,0.52,False,1.03,HLA,41.469757,1.698685
29,164,0.66,False,1.13,HLA,21.246449,1.467057
30,73,0.29,False,0.98,HLA,43.438339,2.275658
31,77,0.31,False,1.02,HLA,42.185005,2.118729
32,213,0.85,False,1.07,HLA,24.254541,1.229649
33,105,0.42,False,1.01,HLA,49.49073,2.128128
34,31,0.12,False,1.04,HLA,35.853611,2.220432
35,86,0.34,False,1.09,HLA,42.774063,1.994662
36,73,0.29,False,1.05,HLA,36.411079,2.688432
37,215,0.86,False,1.02,HLA,43.441887,1.480788
38,114,0.46,False,1.05,HLA,40.691845,2.035951
39,45,0.18,False,1.05,HLA,43.648098,2.312752
40,1610,6.44,False,0.96,HLA,46.338936,1.112935
41,301,1.2,False,1.05,HLA,43.082264,1.716222
42,132,0.53,False,1.04,HLA,41.440628,2.42991
43,148,0.59,False,0.99,HLA,43.717716,1.823354
44,44,0.18,False,1.21,HLA,24.212891,2.672228
45,18,0.07,False,1.06,HLA,35.776489,2.775926
46,68,0.27,False,1.1,HLA,36.607788,2.029454
47,174,0.7,False,1.03,HLA,47.314533,1.884585
48,338,1.35,False,1.04,HLA,47.095726,1.762269
