cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,1,0.0,False,0.95,6.333646,0.0
1,119,0.48,False,1.06,6.501594,0.108887
2,577,2.31,False,1.01,6.317511,0.093952
3,352,1.41,False,1.03,6.345548,0.122772
4,598,2.39,False,1.06,6.281996,0.117923
5,156,0.62,False,1.07,6.372583,0.137335
6,109,0.44,False,1.11,5.864037,0.145224
7,91,0.36,False,1.1,6.17417,0.163429
8,226,0.9,False,1.04,6.47382,0.104688
9,140,0.56,False,1.14,6.083594,0.125865
10,343,1.37,False,1.03,6.456933,0.107152
11,378,1.51,False,1.03,6.333577,0.129968
12,331,1.32,False,1.02,6.459605,0.106384
13,89,0.36,False,1.09,6.549153,0.158285
14,68,0.27,False,1.11,6.029683,0.135251
15,251,1.0,False,1.03,6.322847,0.126124
16,112,0.45,False,1.11,6.13347,0.131105
17,938,3.75,False,1.05,6.269953,0.123964
18,48,0.19,False,1.08,6.155746,0.16662
19,229,0.92,False,1.05,6.147687,0.141325
20,55,0.22,False,1.04,6.440552,0.12551
21,69,0.28,False,1.06,6.506001,0.123493
22,237,0.95,False,1.03,6.236889,0.114469
23,43,0.17,False,1.08,6.260437,0.158108
24,371,1.48,False,1.08,6.256614,0.133217
25,234,0.94,False,1.06,6.458665,0.108383
26,372,1.49,False,1.05,6.258544,0.144677
27,99,0.4,False,1.09,6.103621,0.197101
28,406,1.62,False,1.03,6.312504,0.103309
29,102,0.41,False,1.13,6.117051,0.182072
30,336,1.34,False,1.04,6.457638,0.112568
31,72,0.29,False,1.07,6.430126,0.100451
32,115,0.46,False,1.06,6.525836,0.144233
33,656,2.62,False,1.08,6.029234,0.138427
34,74,0.3,False,1.09,6.08468,0.147064
35,167,0.67,False,1.06,6.221582,0.153864
36,77,0.31,False,1.13,6.187738,0.144346
37,213,0.85,False,1.05,6.383049,0.121784
38,80,0.32,False,1.11,6.175806,0.157439
39,18,0.07,False,1.17,6.307768,0.102928
40,466,1.86,False,1.07,6.272154,0.116151
41,65,0.26,False,1.15,5.94903,0.188583
42,89,0.36,False,1.13,6.167906,0.154314
43,122,0.49,False,1.13,5.875353,0.182479
44,304,1.22,False,1.03,6.476904,0.109114
45,397,1.59,False,1.06,6.280763,0.115254
46,61,0.24,False,1.04,6.472907,0.084584
47,694,2.78,False,1.03,6.367654,0.117814
48,70,0.28,False,1.12,6.132052,0.165273
49,80,0.32,False,1.1,6.532811,0.123249
50,137,0.55,False,1.16,6.142497,0.132854
51,70,0.28,False,1.09,6.248997,0.150761
52,67,0.27,False,1.03,6.504279,0.137501
53,99,0.4,False,1.13,6.118267,0.187135
54,77,0.31,False,1.15,6.21373,0.141444
55,63,0.25,False,1.13,6.136183,0.164374
56,554,2.22,False,1.05,6.394635,0.116467
57,1209,4.84,False,0.97,6.376843,0.102467
58,70,0.28,False,1.08,6.428666,0.147423
59,111,0.44,False,1.1,6.109923,0.142204
60,703,2.81,False,1.05,6.316671,0.117962
61,71,0.28,False,1.14,6.06854,0.16706
62,687,2.75,False,1.03,6.343007,0.116029
63,98,0.39,False,1.12,6.212379,0.1209
64,123,0.49,False,1.12,6.182398,0.135428
65,1204,4.82,False,0.97,6.420094,0.09696
66,64,0.26,False,1.11,6.175189,0.170388
67,123,0.49,False,1.14,6.047508,0.134315
68,291,1.16,False,1.05,6.277977,0.114595
69,274,1.1,False,1.05,6.345615,0.133647
70,176,0.7,False,1.06,6.422008,0.131548
71,371,1.48,False,1.04,6.303057,0.113047
72,70,0.28,False,1.05,6.49551,0.155128
73,752,3.01,False,1.07,6.199553,0.120811
74,105,0.42,False,1.12,6.11496,0.159591
75,1224,4.9,False,0.95,6.387212,0.089253
76,78,0.31,False,1.08,6.379444,0.130523
77,73,0.29,False,1.16,5.895034,0.205776
78,445,1.78,False,1.04,6.364441,0.116738
79,361,1.44,False,1.07,6.221872,0.127193
80,88,0.35,False,1.11,6.119669,0.142558
81,224,0.9,False,1.02,6.338901,0.132139
82,64,0.26,False,1.07,6.492735,0.17195
83,91,0.36,False,1.14,6.176893,0.125619
84,538,2.15,False,1.06,6.194981,0.121298
85,56,0.22,False,1.0,6.456024,0.157885
86,64,0.26,False,1.06,6.500698,0.130627
87,1182,4.73,True,0.95,6.388184,0.090582
88,61,0.24,False,1.06,6.097674,0.143474
89,59,0.24,False,1.05,6.551833,0.120098
90,554,2.22,False,1.03,6.312977,0.108845
91,73,0.29,False,1.14,6.033531,0.163144
92,135,0.54,False,1.11,6.30151,0.153059
93,240,0.96,False,1.03,6.439126,0.128416
94,139,0.56,False,1.04,6.488418,0.115768
95,6,0.02,False,1.29,6.403166,0.143305
96,185,0.74,False,1.06,6.233751,0.128527
97,73,0.29,False,1.13,6.196727,0.154923
98,59,0.24,False,1.12,6.088261,0.200649
99,59,0.24,False,1.08,6.560209,0.118678
