cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,71,0.28,False,1.08,4.230458,0.129961
1,240,0.96,False,1.11,3.51084,0.115067
2,474,1.9,False,1.05,3.8513,0.097569
3,75,0.3,False,1.1,4.899259,0.204159
4,60,0.24,False,1.1,4.21577,0.182557
5,678,2.71,False,0.99,3.944923,0.088442
6,69,0.28,False,1.09,4.271122,0.14632
7,771,3.08,False,0.98,3.963721,0.078972
8,172,0.69,False,1.05,3.861024,0.100897
9,86,0.34,False,1.16,3.801522,0.131609
10,146,0.58,False,1.09,3.680175,0.173453
11,245,0.98,False,1.11,3.713013,0.108559
12,284,1.14,False,1.03,4.139525,0.109391
13,430,1.72,False,1.04,3.851308,0.106197
14,92,0.37,False,1.17,3.584599,0.152318
15,419,1.68,False,1.06,3.725755,0.109435
16,25,0.1,False,1.09,4.056286,0.206628
17,282,1.13,False,1.07,3.53488,0.115887
18,396,1.58,False,1.06,4.027296,0.093933
19,118,0.47,False,1.05,3.961503,0.106927
20,377,1.51,False,1.05,3.736108,0.100013
21,74,0.3,False,1.06,4.359483,0.204746
22,267,1.07,False,1.07,3.560046,0.105892
23,75,0.3,False,1.04,4.604195,0.158083
24,62,0.25,False,1.05,4.263046,0.135282
25,16,0.06,False,1.19,3.923221,0.207515
26,569,2.28,False,1.05,3.851405,0.096959
27,19,0.08,False,1.16,3.809587,0.140485
28,80,0.32,False,1.08,4.276996,0.150342
29,63,0.25,False,1.04,4.095721,0.118312
30,638,2.55,False,0.99,3.972939,0.090591
31,318,1.27,False,1.07,4.090318,0.097562
32,76,0.3,False,1.09,4.278139,0.166769
33,3,0.01,False,1.15,4.475482,0.111117
34,193,0.77,False,1.01,4.087779,0.130482
35,598,2.39,False,1.03,3.858781,0.081571
36,43,0.17,False,1.13,3.782798,0.19543
37,61,0.24,False,1.05,4.161244,0.139319
38,31,0.12,False,1.07,4.67836,0.146759
39,377,1.51,False,1.05,4.073432,0.120532
40,542,2.17,False,1.05,3.906036,0.084957
41,76,0.3,False,1.06,4.273967,0.137395
42,293,1.17,False,1.06,3.880804,0.110948
43,61,0.24,False,1.06,4.34903,0.155853
44,582,2.33,False,0.99,4.01818,0.096999
45,62,0.25,False,1.04,4.292304,0.147465
46,62,0.25,False,1.06,4.252229,0.155922
47,223,0.89,False,1.1,3.7248,0.109517
48,70,0.28,False,1.06,4.445828,0.175772
49,129,0.52,False,1.06,4.281496,0.144667
50,574,2.3,False,1.06,3.386131,0.085292
51,69,0.28,False,1.05,4.221297,0.149859
52,438,1.75,False,1.05,3.801375,0.101596
53,538,2.15,False,1.03,3.818005,0.100149
54,392,1.57,False,1.05,4.100628,0.121744
55,106,0.42,False,1.11,3.266329,0.119269
56,67,0.27,False,1.09,4.266213,0.163106
57,588,2.35,False,1.04,3.878079,0.091653
58,62,0.25,False,1.1,4.373496,0.170136
59,74,0.3,False,1.09,4.103863,0.146364
60,70,0.28,False,1.03,4.193369,0.147556
61,251,1.0,False,1.1,3.289578,0.092169
62,114,0.46,False,1.1,3.323446,0.138873
63,41,0.16,False,1.13,3.537193,0.208994
64,65,0.26,False,1.1,4.061895,0.13486
65,512,2.05,False,1.04,3.839159,0.090977
66,254,1.02,False,1.06,4.12193,0.114404
67,57,0.23,False,1.07,4.123482,0.155775
68,722,2.89,False,0.99,3.958192,0.084533
69,53,0.21,False,1.11,4.25591,0.179879
70,314,1.26,False,1.06,4.14529,0.112819
71,314,1.26,False,1.05,4.157619,0.120995
72,735,2.94,False,0.98,3.941291,0.08048
73,45,0.18,False,1.11,4.016198,0.098334
74,261,1.04,False,1.09,3.670358,0.123374
75,63,0.25,False,1.1,4.022273,0.143619
76,80,0.32,False,1.07,4.140462,0.144236
77,939,3.76,False,0.97,3.924449,0.080265
78,748,2.99,True,0.99,3.963293,0.082721
79,257,1.03,False,1.08,3.932721,0.127614
80,61,0.24,False,1.13,4.123353,0.13283
81,139,0.56,False,1.06,4.117994,0.134434
82,95,0.38,False,1.1,3.721186,0.122049
83,228,0.91,False,1.07,4.190734,0.161568
84,51,0.2,False,1.07,4.036853,0.113358
85,76,0.3,False,1.13,3.569008,0.128813
86,731,2.92,False,0.97,3.942633,0.078378
87,216,0.86,False,1.09,3.770496,0.127108
88,281,1.12,False,1.05,3.837358,0.09578
89,398,1.59,False,1.05,4.054885,0.108992
90,358,1.43,False,1.04,4.071139,0.098652
91,625,2.5,False,1.04,3.827158,0.089196
92,834,3.34,False,0.96,3.933139,0.07766
93,160,0.64,False,1.09,4.188277,0.135163
94,100,0.4,False,1.08,4.131103,0.134583
95,189,0.76,False,1.1,3.597965,0.127568
96,70,0.28,False,1.07,4.09828,0.15563
97,40,0.16,False,1.11,4.589606,0.180482
98,110,0.44,False,1.15,4.008124,0.126494
99,262,1.05,False,1.05,3.864635,0.098082
