cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,124,0.5,False,1.03,5.157815,0.08018
1,605,2.42,False,1.06,5.420451,0.085502
2,97,0.39,False,1.13,4.927975,0.12847
3,170,0.68,False,1.06,5.311747,0.081886
4,292,1.17,False,1.07,5.044511,0.090829
5,151,0.6,False,1.1,5.223513,0.101156
6,64,0.26,False,1.08,5.286448,0.092497
7,343,1.37,False,1.05,5.189995,0.074454
8,21,0.08,False,1.11,5.200592,0.092329
9,100,0.4,False,1.11,5.316102,0.12788
10,408,1.63,False,1.05,5.214055,0.06573
11,335,1.34,False,1.09,5.237471,0.09745
12,133,0.53,False,1.06,5.043789,0.079269
13,1026,4.1,False,0.99,5.253725,0.056147
14,832,3.33,False,1.02,5.327983,0.067488
15,90,0.36,False,1.15,4.927269,0.139818
16,50,0.2,False,1.14,5.253006,0.116108
17,207,0.83,False,1.05,5.0874,0.084558
18,1343,5.37,False,0.98,5.243803,0.055763
19,131,0.52,False,1.06,5.086793,0.101879
20,13,0.05,False,1.12,5.083399,0.147936
21,216,0.86,False,1.04,5.074921,0.075781
22,129,0.52,False,1.1,5.379758,0.119302
23,293,1.17,False,1.03,5.177983,0.08554
24,302,1.21,False,1.06,4.958164,0.086787
25,1308,5.23,False,0.97,5.243196,0.052131
26,864,3.46,True,0.98,5.200734,0.068149
27,66,0.26,False,1.09,5.408681,0.107651
28,213,0.85,False,1.06,5.326121,0.078376
29,213,0.85,False,1.03,5.128967,0.101146
30,167,0.67,False,1.07,5.118397,0.071648
31,91,0.36,False,1.12,5.305637,0.122558
32,395,1.58,False,1.03,5.134756,0.094895
33,16,0.06,False,1.13,5.297554,0.110823
34,70,0.28,False,1.13,4.739687,0.161816
35,146,0.58,False,1.02,5.309815,0.087653
36,100,0.4,False,1.18,4.992289,0.125074
37,233,0.93,False,1.07,4.968771,0.091532
38,122,0.49,False,1.11,4.940994,0.147111
39,92,0.37,False,1.1,5.139786,0.090858
40,189,0.76,False,1.05,5.20872,0.080451
41,67,0.27,False,1.03,5.404577,0.092296
42,294,1.18,False,1.05,5.2125,0.082164
43,314,1.26,False,1.05,5.074761,0.079621
44,66,0.26,False,1.09,5.33502,0.128646
45,196,0.78,False,1.05,5.169356,0.072821
46,128,0.51,False,1.05,5.006185,0.103737
47,285,1.14,False,1.06,5.094482,0.088102
48,230,0.92,False,1.04,5.352472,0.086744
49,664,2.66,False,1.05,5.10446,0.080332
50,237,0.95,False,1.08,5.145216,0.098671
51,30,0.12,False,1.11,5.15703,0.148345
52,269,1.08,False,1.06,5.085611,0.089512
53,66,0.26,False,1.17,4.78258,0.107423
54,1135,4.54,False,0.99,5.239394,0.05836
55,506,2.02,False,1.08,5.144547,0.089915
56,616,2.46,False,1.05,5.301577,0.074944
57,16,0.06,False,1.14,4.702055,0.184691
58,74,0.3,False,1.07,5.408585,0.122434
59,360,1.44,False,1.05,4.96731,0.085336
60,161,0.64,False,1.07,5.379208,0.090189
61,72,0.29,False,1.01,5.331653,0.10118
62,471,1.88,False,1.04,5.306371,0.066278
63,110,0.44,False,1.12,4.883741,0.117439
64,317,1.27,False,1.04,5.437136,0.080638
65,171,0.68,False,1.09,5.348124,0.093053
66,97,0.39,False,1.07,5.191421,0.111199
67,1212,4.85,False,0.98,5.239741,0.05359
68,135,0.54,False,1.07,5.095641,0.091124
69,93,0.37,False,1.15,4.818653,0.144174
70,74,0.3,False,1.06,5.250323,0.105185
71,640,2.56,False,1.02,5.204422,0.057732
72,174,0.7,False,1.12,4.843479,0.134024
73,66,0.26,False,1.03,5.373013,0.121902
74,500,2.0,False,1.07,5.040508,0.094878
75,99,0.4,False,1.13,4.956816,0.115632
76,359,1.44,False,1.07,5.203274,0.075576
77,158,0.63,False,1.05,5.225368,0.085751
78,104,0.42,False,1.09,5.366382,0.10168
79,87,0.35,False,1.14,5.033142,0.117342
80,8,0.03,False,1.09,5.401352,0.124721
81,114,0.46,False,1.11,4.968968,0.116771
82,95,0.38,False,1.12,4.929042,0.124964
83,109,0.44,False,1.15,5.179412,0.119226
84,107,0.43,False,1.06,5.305935,0.131486
85,135,0.54,False,1.11,4.885712,0.133036
86,89,0.36,False,1.13,5.013079,0.126811
87,267,1.07,False,1.07,5.161153,0.08672
88,19,0.08,False,1.17,5.277014,0.07689
89,105,0.42,False,1.06,5.343791,0.102249
90,127,0.51,False,1.09,5.329511,0.094433
91,24,0.1,False,1.12,5.222356,0.131612
92,125,0.5,False,1.12,4.932977,0.130096
93,142,0.57,False,1.11,4.885072,0.134404
94,52,0.21,False,1.06,5.348033,0.129115
95,123,0.49,False,1.05,5.299454,0.096137
96,400,1.6,False,1.04,5.160402,0.068993
97,231,0.92,False,1.04,5.358751,0.072396
98,262,1.05,False,1.06,5.026924,0.126625
99,53,0.21,False,1.1,5.456984,0.102801
