cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,182,0.73,False,1.04,5.227144,0.138646
1,11,0.04,False,1.11,5.456376,0.17494
2,100,0.4,False,1.06,5.48385,0.102709
3,21,0.08,False,1.07,5.497584,0.153664
4,47,0.19,False,1.1,5.631439,0.145548
5,281,1.12,False,1.03,5.603465,0.122795
6,566,2.26,False,1.05,5.446822,0.132581
7,307,1.23,False,1.09,5.22742,0.120242
8,49,0.2,False,1.05,6.040655,0.148182
9,246,0.98,False,1.08,5.56898,0.107222
10,650,2.6,False,1.01,5.474808,0.099541
11,445,1.78,False,1.07,4.943829,0.15106
12,67,0.27,False,1.04,5.859378,0.167003
13,497,1.99,False,1.04,5.581228,0.111222
14,212,0.85,False,1.05,5.177962,0.143839
15,529,2.12,False,1.04,5.635964,0.111811
16,236,0.94,False,1.08,5.298738,0.130579
17,40,0.16,False,1.13,5.389338,0.164791
18,98,0.39,False,1.11,4.540781,0.143595
19,101,0.4,False,1.12,4.62614,0.151092
20,59,0.24,False,1.02,5.841922,0.153091
21,66,0.26,False,1.06,5.535866,0.138501
22,658,2.63,False,1.04,5.410725,0.100553
23,78,0.31,False,1.1,4.734186,0.170125
24,243,0.97,False,1.08,5.318177,0.125649
25,176,0.7,False,1.06,5.153057,0.134024
26,61,0.24,False,1.09,5.632588,0.115651
27,240,0.96,False,1.06,5.034451,0.145683
28,332,1.33,False,1.06,5.410908,0.107682
29,158,0.63,False,1.03,5.199295,0.11968
30,4,0.02,False,1.02,5.536169,0.068125
31,65,0.26,False,1.07,5.546789,0.115767
32,241,0.96,False,1.14,5.12681,0.145317
33,529,2.12,False,1.04,5.429925,0.103961
34,717,2.87,False,1.05,5.365004,0.128063
35,79,0.32,False,1.14,4.56934,0.206261
36,77,0.31,False,1.05,5.149512,0.148563
37,184,0.74,False,1.08,5.703976,0.151699
38,58,0.23,False,1.09,5.397459,0.159665
39,303,1.21,False,1.05,5.648479,0.137955
40,489,1.96,False,1.07,5.322974,0.126375
41,133,0.53,False,1.13,4.92464,0.168199
42,55,0.22,False,1.05,5.853362,0.189339
43,702,2.81,False,0.99,5.49759,0.095512
44,705,2.82,False,0.97,5.479448,0.082638
45,62,0.25,False,1.15,5.451367,0.15601
46,269,1.08,False,1.08,5.068381,0.15965
47,14,0.06,False,1.16,5.556715,0.243529
48,447,1.79,False,1.06,5.36741,0.111486
49,285,1.14,False,1.08,5.381222,0.122919
50,255,1.02,False,1.08,5.086935,0.159915
51,238,0.95,False,1.07,5.323284,0.137268
52,80,0.32,False,1.06,5.144818,0.140408
53,284,1.14,False,1.07,5.096333,0.12242
54,306,1.22,False,1.06,5.611877,0.115351
55,218,0.87,False,1.03,5.335001,0.140281
56,368,1.47,False,1.07,5.234571,0.119295
57,282,1.13,False,1.08,4.85311,0.135465
58,80,0.32,False,1.11,4.895547,0.159309
59,132,0.53,False,1.13,4.718318,0.147152
60,39,0.16,False,1.07,4.971426,0.141026
61,202,0.81,False,1.06,5.694789,0.130129
62,251,1.0,False,1.05,5.409986,0.110594
63,117,0.47,False,1.12,4.825904,0.17467
64,16,0.06,False,1.19,5.579493,0.150742
65,197,0.79,False,1.06,5.25519,0.142578
66,53,0.21,False,1.04,5.250906,0.15652
67,282,1.13,False,1.09,4.964438,0.151759
68,672,2.69,False,0.99,5.501435,0.090966
69,747,2.99,False,0.97,5.487397,0.085045
70,265,1.06,False,1.09,4.790284,0.140775
71,193,0.77,False,1.06,5.727929,0.12766
72,683,2.73,False,0.97,5.487289,0.089166
73,92,0.37,False,1.11,5.430593,0.156492
74,495,1.98,False,1.04,5.38228,0.111571
75,189,0.76,False,1.07,5.33785,0.129546
76,216,0.86,False,1.05,5.569146,0.128249
77,41,0.16,False,1.06,5.742591,0.135199
78,101,0.4,False,1.09,4.917418,0.161232
79,51,0.2,False,1.17,5.043923,0.14445
80,711,2.84,False,0.99,5.495028,0.095446
81,728,2.91,False,1.0,5.493943,0.086142
82,684,2.74,False,0.97,5.484436,0.08332
83,103,0.41,False,1.08,5.05607,0.133465
84,57,0.23,False,1.11,5.087533,0.142359
85,172,0.69,False,1.07,5.629833,0.10855
86,705,2.82,False,0.98,5.490867,0.089659
87,68,0.27,False,1.08,5.249697,0.157454
88,157,0.63,False,1.06,5.773245,0.124253
89,54,0.22,False,1.09,5.70458,0.110926
90,848,3.39,True,1.0,5.491995,0.097136
91,78,0.31,False,1.05,5.621073,0.148921
92,115,0.46,False,1.06,5.233943,0.144555
93,120,0.48,False,1.08,5.15998,0.138829
94,401,1.6,False,1.04,5.627321,0.122193
95,67,0.27,False,1.06,5.817045,0.14518
96,226,0.9,False,1.06,5.737866,0.129879
97,67,0.27,False,1.1,5.661484,0.161459
98,74,0.3,False,1.07,5.328165,0.100607
99,246,0.98,False,1.07,5.698461,0.129663
