cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,570,2.28,False,1.04,5.637737,0.109896
1,10,0.04,False,1.18,5.213757,0.225735
2,785,3.14,False,0.99,5.497799,0.099544
3,620,2.48,False,1.05,5.471136,0.105294
4,43,0.17,False,1.17,4.917654,0.17655
5,127,0.51,False,1.12,5.11565,0.173282
6,382,1.53,False,1.06,5.371015,0.116863
7,656,2.62,False,0.99,5.514895,0.10421
8,63,0.25,False,1.0,5.751998,0.158083
9,207,0.83,False,1.07,5.303653,0.148371
10,228,0.91,False,1.03,5.669272,0.12472
11,81,0.32,False,1.12,6.036113,0.138857
12,107,0.43,False,1.17,5.211986,0.162609
13,301,1.2,False,1.07,5.584371,0.126628
14,127,0.51,False,1.09,5.628682,0.135511
15,126,0.5,False,1.12,4.652329,0.153245
16,705,2.82,False,1.01,5.49121,0.105248
17,3,0.01,False,1.26,5.974996,0.191817
18,249,1.0,False,1.08,5.231419,0.177391
19,207,0.83,False,1.1,4.916966,0.146213
20,273,1.09,False,1.04,5.626627,0.124127
21,410,1.64,False,1.06,5.739871,0.12366
22,65,0.26,False,1.04,5.299033,0.147631
23,84,0.34,False,1.15,5.223316,0.174673
24,381,1.52,False,1.06,5.396126,0.135185
25,807,3.23,False,1.01,5.506433,0.091701
26,359,1.44,False,1.07,5.315811,0.131483
27,95,0.38,False,1.07,5.004159,0.131388
28,442,1.77,False,1.05,5.625578,0.11148
29,281,1.12,False,1.05,5.435606,0.1116
30,32,0.13,False,1.13,5.146736,0.19258
31,65,0.26,False,1.02,5.510731,0.130934
32,758,3.03,False,0.99,5.509709,0.097058
33,323,1.29,False,1.06,5.292365,0.142257
34,77,0.31,False,1.04,5.834053,0.179888
35,11,0.04,False,1.3,5.050375,0.144483
36,88,0.35,False,1.13,5.191946,0.136121
37,194,0.78,False,1.09,5.540749,0.16187
38,859,3.44,True,1.0,5.506405,0.096435
39,57,0.23,False,1.05,5.596714,0.152192
40,102,0.41,False,1.07,5.267233,0.16253
41,83,0.33,False,1.05,5.827767,0.158051
42,271,1.08,False,1.05,4.832324,0.139514
43,276,1.1,False,1.06,5.345914,0.134873
44,788,3.15,False,1.0,5.488721,0.09386
45,59,0.24,False,1.08,5.903424,0.151197
46,222,0.89,False,1.05,4.798646,0.120771
47,373,1.49,False,1.04,5.358749,0.120626
48,192,0.77,False,1.07,5.024301,0.172647
49,312,1.25,False,1.04,5.640206,0.125271
50,383,1.53,False,1.05,5.575174,0.10657
51,741,2.96,False,1.02,5.474513,0.101007
52,189,0.76,False,1.06,4.85457,0.144344
53,146,0.58,False,1.07,5.701482,0.138477
54,61,0.24,False,1.15,5.078652,0.218344
55,439,1.76,False,1.07,5.454192,0.138493
56,67,0.27,False,1.05,5.639947,0.17207
57,8,0.03,False,1.06,5.255898,0.03826
58,196,0.78,False,1.09,5.655036,0.128513
59,281,1.12,False,1.09,4.754451,0.145353
60,64,0.26,False,1.08,5.608588,0.155267
61,88,0.35,False,1.09,5.640599,0.116463
62,13,0.05,False,1.18,5.333609,0.197945
63,336,1.34,False,1.06,5.484224,0.132101
64,187,0.75,False,1.08,5.409177,0.148142
65,788,3.15,False,0.98,5.488429,0.093757
66,7,0.03,False,1.07,5.413924,0.225854
67,446,1.78,False,1.06,5.647811,0.114341
68,311,1.24,False,1.06,5.457372,0.128594
69,928,3.71,False,0.99,5.507028,0.090636
70,73,0.29,False,1.16,4.767652,0.170064
71,210,0.84,False,1.07,5.337623,0.158863
72,68,0.27,False,1.03,5.684497,0.126416
73,312,1.25,False,1.07,5.364087,0.123383
74,188,0.75,False,1.06,5.598398,0.109136
75,119,0.48,False,1.13,4.59956,0.184189
76,176,0.7,False,1.08,4.870553,0.135837
77,60,0.24,False,1.1,5.064972,0.185669
78,144,0.58,False,1.05,5.538691,0.12948
79,89,0.36,False,1.08,5.318687,0.135171
80,80,0.32,False,1.09,5.844925,0.123789
81,108,0.43,False,1.09,5.312866,0.125068
82,235,0.94,False,1.08,5.321313,0.151484
83,858,3.43,False,0.97,5.501497,0.0864
84,73,0.29,False,1.06,5.754374,0.155395
85,371,1.48,False,1.06,5.432215,0.122945
86,386,1.54,False,1.06,5.306141,0.137244
87,69,0.28,False,1.06,5.722226,0.156147
88,207,0.83,False,1.08,5.196713,0.15882
89,65,0.26,False,1.09,5.737709,0.133723
90,286,1.14,False,1.07,5.372252,0.118608
91,288,1.15,False,1.07,5.599185,0.118367
92,79,0.32,False,1.08,5.209344,0.158385
93,278,1.11,False,1.08,5.028937,0.151811
94,210,0.84,False,1.07,5.360234,0.159716
95,115,0.46,False,1.08,5.690004,0.15871
96,65,0.26,False,1.05,5.873785,0.169906
97,52,0.21,False,1.07,5.766356,0.183699
98,73,0.29,False,1.09,5.753003,0.179765
99,48,0.19,False,1.07,5.63206,0.111415
