cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,221,0.88,False,1.09,2.948455,0.068378
1,595,2.38,False,1.07,3.015966,0.065056
2,64,0.26,False,1.06,3.145984,0.095458
3,16,0.06,False,1.13,3.502477,0.122749
4,83,0.33,False,1.07,3.566314,0.114784
5,68,0.27,False,1.07,3.213329,0.101247
6,382,1.53,False,1.05,3.195622,0.068871
7,55,0.22,False,1.07,3.22554,0.096502
8,78,0.31,False,1.1,3.367604,0.111215
9,449,1.8,False,1.04,3.063971,0.067328
10,544,2.18,False,1.05,3.019903,0.066748
11,92,0.37,False,1.02,3.350718,0.134326
12,237,0.95,False,1.07,3.170681,0.081536
13,7,0.03,False,1.05,3.510174,0.075774
14,295,1.18,False,1.06,3.227615,0.089545
15,38,0.15,False,1.14,3.480156,0.099391
16,624,2.5,False,1.04,3.050511,0.057461
17,2,0.01,False,0.99,3.394618,0.009307
18,436,1.74,False,1.09,2.994389,0.061269
19,74,0.3,False,1.12,3.318309,0.131754
20,884,3.54,False,1.03,3.146229,0.064575
21,111,0.44,False,1.07,3.207372,0.089786
22,1027,4.11,False,1.04,3.060555,0.066073
23,132,0.53,False,1.08,3.208315,0.08158
24,232,0.93,False,1.11,2.947027,0.071758
25,12,0.05,False,1.08,3.274755,0.093171
26,469,1.88,False,1.06,3.060808,0.064798
27,217,0.87,False,1.05,3.207447,0.078834
28,1136,4.54,False,0.96,3.105145,0.052476
29,4,0.02,False,0.98,3.206916,0.119336
30,423,1.69,False,1.04,3.176804,0.074881
31,279,1.12,False,1.1,2.983541,0.074284
32,398,1.59,False,1.03,3.141343,0.060998
33,184,0.74,False,1.14,3.073157,0.075267
34,61,0.24,False,1.11,3.409336,0.120373
35,888,3.55,False,1.02,3.098609,0.059287
36,705,2.82,False,1.03,3.067404,0.0622
37,615,2.46,False,1.05,2.993231,0.068505
38,213,0.85,False,1.11,3.259766,0.092699
39,243,0.97,False,1.1,3.012887,0.06465
40,313,1.25,False,1.01,3.051288,0.052527
41,70,0.28,False,1.04,3.348522,0.120678
42,76,0.3,False,1.09,3.29324,0.100896
43,77,0.31,False,1.1,3.198833,0.08796
44,3,0.01,False,1.36,3.772708,0.223692
45,85,0.34,False,1.07,3.333079,0.101993
46,300,1.2,False,1.05,3.150869,0.067452
47,2,0.01,False,1.28,3.497223,0.143208
48,208,0.83,False,1.06,3.18467,0.086613
49,555,2.22,False,1.06,3.030272,0.069864
50,67,0.27,False,1.11,3.273176,0.110966
51,79,0.32,False,1.08,3.272972,0.099258
52,68,0.27,False,1.08,3.530541,0.092749
53,1391,5.56,True,0.95,3.08384,0.048818
54,60,0.24,False,1.1,3.31303,0.110877
55,506,2.02,False,1.05,3.166584,0.063905
56,56,0.22,False,1.18,3.142349,0.128875
57,1039,4.16,False,0.97,3.099016,0.054159
58,34,0.14,False,1.06,3.165996,0.101763
59,1011,4.04,False,1.02,3.05468,0.057617
60,65,0.26,False,1.08,3.3725,0.094253
61,67,0.27,False,1.1,3.219162,0.103755
62,390,1.56,False,1.07,3.144057,0.072226
63,1145,4.58,False,0.98,3.124139,0.057876
64,133,0.53,False,1.07,3.207536,0.090024
65,79,0.32,False,1.07,3.347869,0.108716
66,536,2.14,False,1.06,3.055378,0.063831
67,22,0.09,False,1.15,3.413399,0.121126
68,1,0.0,False,0.99,3.632016,0.0
69,255,1.02,False,1.05,3.186282,0.082051
70,58,0.23,False,1.06,3.222779,0.104638
71,87,0.35,False,1.08,3.286893,0.100724
72,75,0.3,False,1.09,3.278387,0.111379
73,381,1.52,False,1.11,2.935374,0.065842
74,66,0.26,False,1.08,3.18901,0.077104
75,2,0.01,False,1.44,3.368201,0.069261
76,57,0.23,False,1.1,3.409172,0.113891
77,381,1.52,False,1.03,3.147141,0.060992
78,70,0.28,False,1.1,3.328005,0.112
79,10,0.04,False,1.21,3.276751,0.111113
80,57,0.23,False,1.08,3.206586,0.08816
81,56,0.22,False,1.11,3.293523,0.076031
82,62,0.25,False,1.07,3.533708,0.102664
83,72,0.29,False,1.07,3.208933,0.090957
84,2,0.01,False,1.16,3.581944,0.13327
85,197,0.79,False,1.1,3.199881,0.092343
86,74,0.3,False,1.14,3.199944,0.109399
87,1,0.0,False,1.32,4.34676,0.0
88,235,0.94,False,1.07,3.170879,0.095435
89,104,0.42,False,1.08,3.15834,0.096877
90,1,0.0,False,1.09,3.494941,0.0
91,1,0.0,False,1.04,3.520738,0.0
92,75,0.3,False,1.08,3.253922,0.109041
93,219,0.88,False,1.1,3.104761,0.077069
94,243,0.97,False,1.11,3.086774,0.078588
95,616,2.46,False,1.05,3.031963,0.058071
96,59,0.24,False,1.02,3.198632,0.078224
97,339,1.36,False,1.05,3.186874,0.08251
98,66,0.26,False,1.13,3.158629,0.085818
99,48,0.19,False,1.01,3.573777,0.093029
