cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,197,0.79,False,1.06,3.342354,0.093409
1,56,0.22,False,1.12,3.413166,0.117403
2,1427,5.71,False,0.95,3.275108,0.067618
3,505,2.02,False,1.06,3.159329,0.083132
4,171,0.68,False,1.09,3.443676,0.10338
5,3,0.01,False,1.17,3.272218,0.05565
6,81,0.32,False,1.08,3.679085,0.132478
7,280,1.12,False,1.08,3.549785,0.117226
8,6,0.02,False,1.12,3.739298,0.045901
9,631,2.52,False,1.03,3.205759,0.075789
10,68,0.27,False,1.1,3.724573,0.126901
11,604,2.42,False,1.03,3.247804,0.073987
12,721,2.88,False,1.02,3.230468,0.071419
13,609,2.44,False,1.03,3.257307,0.070392
14,59,0.24,False,1.16,3.31128,0.127881
15,79,0.32,False,1.08,3.426748,0.09538
16,52,0.21,False,1.07,3.417818,0.102247
17,180,0.72,False,1.07,3.338097,0.101818
18,55,0.22,False,1.09,3.336724,0.101419
19,1,0.0,False,1.47,4.024139,0.0
20,57,0.23,False,1.06,3.420328,0.128313
21,75,0.3,False,1.08,3.553188,0.147792
22,73,0.29,False,1.09,3.465099,0.111629
23,311,1.24,False,1.07,3.209125,0.092231
24,63,0.25,False,1.05,3.445597,0.143777
25,69,0.28,False,1.07,3.442592,0.131604
26,68,0.27,False,1.09,3.442557,0.113256
27,127,0.51,False,1.05,3.434453,0.114007
28,436,1.74,False,1.08,3.124675,0.07809
29,134,0.54,False,1.08,3.422525,0.101775
30,289,1.16,False,1.07,3.404625,0.090352
31,145,0.58,False,1.1,3.369589,0.111765
32,273,1.09,False,1.12,3.157372,0.085213
33,134,0.54,False,1.07,3.411137,0.123234
34,2,0.01,False,1.4,4.144869,0.115192
35,544,2.18,False,1.03,3.348702,0.084923
36,306,1.22,False,1.04,3.216811,0.069456
37,113,0.45,False,1.05,3.50155,0.123834
38,59,0.24,False,1.12,3.446688,0.117827
39,632,2.53,False,1.0,3.206262,0.064573
40,740,2.96,False,1.02,3.22437,0.073043
41,14,0.06,False,1.01,3.472393,0.098527
42,708,2.83,False,1.03,3.204996,0.082161
43,78,0.31,False,1.08,3.456398,0.113757
44,60,0.24,False,1.1,3.422199,0.097139
45,166,0.66,False,1.11,3.233559,0.08921
46,136,0.54,False,1.14,3.090184,0.094576
47,674,2.7,False,1.03,3.330669,0.077647
48,523,2.09,False,1.06,3.19942,0.083861
49,74,0.3,False,1.1,3.575807,0.114716
50,53,0.21,False,1.13,3.28429,0.095667
51,263,1.05,False,1.06,3.426198,0.115206
52,163,0.65,False,1.05,3.43067,0.106263
53,1289,5.16,False,0.95,3.288825,0.065215
54,172,0.69,False,1.13,3.104164,0.090843
55,411,1.64,False,1.08,3.263955,0.089926
56,296,1.18,False,1.12,3.113773,0.08588
57,819,3.28,True,0.99,3.29931,0.078174
58,299,1.2,False,1.04,3.357213,0.086027
59,140,0.56,False,1.05,3.36119,0.094368
60,228,0.91,False,1.03,3.343752,0.078718
61,115,0.46,False,1.07,3.462165,0.120443
62,61,0.24,False,1.03,3.522574,0.127196
63,834,3.34,False,1.04,3.206533,0.079071
64,68,0.27,False,1.08,3.554099,0.112024
65,566,2.26,False,1.05,3.147699,0.081898
66,316,1.26,False,1.06,3.368008,0.09514
67,66,0.26,False,1.08,3.48665,0.163171
68,388,1.55,False,1.04,3.363744,0.085408
69,53,0.21,False,1.04,3.351109,0.095951
70,72,0.29,False,1.08,3.503985,0.144605
71,551,2.2,False,1.03,3.226453,0.079202
72,194,0.78,False,1.11,3.258056,0.08555
73,71,0.28,False,1.05,3.388898,0.112905
74,439,1.76,False,1.04,3.206838,0.07348
75,531,2.12,False,1.02,3.255107,0.071053
76,185,0.74,False,1.08,3.388772,0.092851
77,54,0.22,False,1.1,3.482005,0.178931
78,182,0.73,False,1.1,3.063715,0.085354
79,202,0.81,False,1.09,3.271265,0.093428
80,21,0.08,False,1.18,3.361813,0.132855
81,49,0.2,False,1.12,3.360888,0.102735
82,64,0.26,False,1.07,3.438058,0.124927
83,55,0.22,False,1.07,3.45312,0.122874
84,71,0.28,False,1.08,3.484143,0.097362
85,104,0.42,False,1.11,3.115656,0.073737
86,317,1.27,False,1.06,3.21235,0.093153
87,636,2.54,False,1.04,3.224033,0.086105
88,72,0.29,False,1.08,3.478744,0.12893
89,89,0.36,False,1.07,3.433929,0.1147
90,80,0.32,False,1.11,3.767909,0.159567
91,51,0.2,False,1.1,3.431651,0.129023
92,597,2.39,False,1.0,3.345832,0.084459
93,217,0.87,False,1.06,3.44784,0.108316
94,68,0.27,False,1.11,3.455558,0.126308
95,61,0.24,False,1.1,3.372437,0.117251
96,349,1.4,False,1.06,3.170449,0.086455
97,63,0.25,False,1.08,3.463252,0.11394
98,43,0.17,False,1.08,3.440182,0.09511
99,44,0.18,False,1.09,3.293049,0.075552
