cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,78,0.31,False,1.09,6.435639,0.101163
1,1200,4.8,False,0.97,6.243962,0.074515
2,101,0.4,False,1.14,5.992897,0.125491
3,3,0.01,False,1.18,5.9293,0.064028
4,370,1.48,False,1.05,6.156503,0.094225
5,170,0.68,False,1.06,6.163126,0.095581
6,49,0.2,False,1.1,5.983915,0.115793
7,240,0.96,False,1.05,6.215538,0.086563
8,219,0.88,False,1.08,6.09689,0.097145
9,783,3.13,False,1.01,6.226346,0.085887
10,74,0.3,False,1.11,6.007277,0.104658
11,353,1.41,False,1.05,6.279438,0.083916
12,359,1.44,False,1.04,6.127692,0.087068
13,344,1.38,False,1.06,6.127382,0.109029
14,108,0.43,False,1.14,5.950486,0.112671
15,33,0.13,False,1.16,5.923244,0.121489
16,233,0.93,False,1.06,6.098676,0.092955
17,459,1.84,False,1.06,6.154752,0.087987
18,93,0.37,False,1.16,6.086961,0.088168
19,101,0.4,False,1.11,6.059984,0.09752
20,87,0.35,False,1.01,6.267787,0.088332
21,294,1.18,False,1.06,6.105154,0.104454
22,47,0.19,False,1.11,5.760369,0.128866
23,107,0.43,False,1.05,6.379256,0.091559
24,566,2.26,False,1.06,6.165385,0.088228
25,48,0.19,False,1.07,6.065139,0.126408
26,83,0.33,False,1.13,6.340353,0.096535
27,54,0.22,False,1.09,5.942396,0.109246
28,78,0.31,False,1.09,6.308782,0.115849
29,63,0.25,False,1.06,6.333571,0.097829
30,309,1.24,False,1.07,6.105516,0.094203
31,158,0.63,False,1.13,5.987357,0.124342
32,397,1.59,False,1.03,6.260891,0.078082
33,110,0.44,False,1.07,6.048115,0.123887
34,507,2.03,False,1.06,6.10267,0.093261
35,189,0.76,False,1.03,6.273691,0.086666
36,12,0.05,False,1.09,6.093424,0.093484
37,368,1.47,False,1.04,6.19028,0.090073
38,1174,4.7,False,0.97,6.222887,0.072685
39,392,1.57,False,1.06,6.077539,0.088723
40,70,0.28,False,1.12,5.992028,0.091177
41,484,1.94,False,1.04,6.128706,0.082768
42,630,2.52,False,1.07,6.076656,0.115599
43,10,0.04,False,1.11,6.258985,0.112608
44,123,0.49,False,1.15,5.991932,0.135331
45,58,0.23,False,1.13,6.372095,0.104704
46,385,1.54,False,1.08,6.174181,0.098716
47,1192,4.77,True,0.96,6.222005,0.071181
48,82,0.33,False,1.1,6.215075,0.093773
49,271,1.08,False,1.04,6.188725,0.115984
50,91,0.36,False,1.17,5.887928,0.186852
51,90,0.36,False,1.1,6.058251,0.088367
52,344,1.38,False,1.06,6.10967,0.104532
53,69,0.28,False,1.11,5.987206,0.106713
54,73,0.29,False,1.06,6.325692,0.106694
55,68,0.27,False,1.13,6.164598,0.109099
56,567,2.27,False,1.02,6.201197,0.096854
57,412,1.65,False,1.05,6.070499,0.096863
58,2,0.01,False,1.32,5.803888,0.157209
59,61,0.24,False,1.03,6.231084,0.080336
60,97,0.39,False,1.12,6.027225,0.101194
61,100,0.4,False,1.1,6.03309,0.103897
62,109,0.44,False,1.14,5.98177,0.115749
63,104,0.42,False,1.13,5.968407,0.12477
64,264,1.06,False,1.08,6.141924,0.096782
65,406,1.62,False,1.04,6.152202,0.089215
66,67,0.27,False,1.11,6.306933,0.098843
67,511,2.04,False,1.07,6.121721,0.103056
68,109,0.44,False,1.12,6.134687,0.107241
69,48,0.19,False,0.99,6.294946,0.088394
70,509,2.04,False,1.07,6.109413,0.087588
71,62,0.25,False,1.05,6.234508,0.093552
72,97,0.39,False,1.09,6.072795,0.121493
73,59,0.24,False,1.01,6.299565,0.099721
74,118,0.47,False,1.08,6.081786,0.102924
75,434,1.74,False,1.06,6.16403,0.085253
76,81,0.32,False,1.14,5.908687,0.171349
77,118,0.47,False,1.09,6.253701,0.08503
78,551,2.2,False,1.04,6.19479,0.072602
79,358,1.43,False,1.03,6.170304,0.077538
80,58,0.23,False,1.14,6.286062,0.115644
81,506,2.02,False,1.03,6.155374,0.079465
82,50,0.2,False,1.06,6.303342,0.117248
83,410,1.64,False,1.07,6.092578,0.116459
84,35,0.14,False,1.13,5.990623,0.122884
85,115,0.46,False,1.11,5.992604,0.112038
86,427,1.71,False,1.06,6.149886,0.084909
87,293,1.17,False,1.04,6.133193,0.084551
88,12,0.05,False,1.21,5.845797,0.152329
89,1169,4.68,False,0.96,6.222871,0.06821
90,122,0.49,False,1.1,6.161623,0.10332
91,65,0.26,False,1.06,6.303004,0.093899
92,344,1.38,False,1.04,6.171915,0.091436
93,54,0.22,False,1.09,6.02546,0.083018
94,103,0.41,False,1.1,6.001618,0.076937
95,98,0.39,False,1.14,5.987577,0.106813
96,67,0.27,False,1.08,6.416048,0.101228
97,1037,4.15,False,1.04,6.231361,0.094103
98,294,1.18,False,1.07,6.269679,0.084585
99,44,0.18,False,1.14,5.808384,0.221623
