cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,67,0.27,False,1.06,5.0259,0.119012
1,8,0.03,False,1.14,4.40817,0.19136
2,64,0.26,False,1.09,5.018408,0.145977
3,261,1.04,False,1.06,4.621917,0.118791
4,396,1.58,False,1.04,4.921212,0.095581
5,471,1.88,False,1.05,4.385573,0.134385
6,103,0.41,False,1.08,3.696723,0.184623
7,248,0.99,False,1.07,4.238099,0.151117
8,106,0.42,False,1.07,4.673748,0.160907
9,227,0.91,False,1.04,4.451096,0.135211
10,48,0.19,False,1.05,4.655778,0.141834
11,255,1.02,False,1.04,4.400462,0.134302
12,311,1.24,False,1.04,4.895772,0.108569
13,92,0.37,False,1.04,5.300262,0.204609
14,97,0.39,False,1.07,5.054655,0.20206
15,809,3.24,False,0.99,4.777226,0.083323
16,135,0.54,False,1.08,4.195825,0.18701
17,61,0.24,False,1.11,4.14161,0.138901
18,806,3.22,False,0.99,4.778081,0.088741
19,80,0.32,False,1.05,4.96963,0.136848
20,125,0.5,False,1.11,4.464105,0.154247
21,64,0.26,False,1.08,5.235009,0.147105
22,104,0.42,False,1.04,4.991177,0.169031
23,86,0.34,False,1.07,4.526864,0.128889
24,270,1.08,False,1.05,4.608157,0.138493
25,213,0.85,False,1.05,4.656454,0.142158
26,365,1.46,False,1.07,4.511204,0.127921
27,113,0.45,False,1.08,4.241446,0.186737
28,598,2.39,False,1.03,4.73434,0.090929
29,82,0.33,False,1.1,4.060107,0.162464
30,68,0.27,False,1.07,4.609079,0.159277
31,90,0.36,False,1.09,5.083273,0.165225
32,407,1.63,False,1.03,4.972994,0.108566
33,331,1.32,False,1.07,4.529698,0.131583
34,148,0.59,False,1.11,4.05324,0.172402
35,247,0.99,False,1.02,4.348915,0.167121
36,118,0.47,False,1.11,4.950244,0.175027
37,311,1.24,False,1.08,4.589536,0.146577
38,331,1.32,False,1.06,4.368209,0.137543
39,66,0.26,False,1.07,4.242156,0.129655
40,615,2.46,False,0.99,4.79817,0.089725
41,64,0.26,False,1.17,3.728673,0.174939
42,41,0.16,False,1.13,4.697352,0.201411
43,914,3.66,True,0.99,4.77654,0.085662
44,68,0.27,False,1.12,5.054773,0.193719
45,69,0.28,False,1.04,5.036716,0.193771
46,128,0.51,False,1.04,4.99983,0.140475
47,682,2.73,False,1.0,4.797165,0.091568
48,138,0.55,False,1.1,4.13137,0.178481
49,374,1.5,False,1.05,4.650859,0.112315
50,938,3.75,False,1.01,4.770842,0.091779
51,1,0.0,False,1.09,5.252494,0.0
52,67,0.27,False,1.05,4.469434,0.163826
53,121,0.48,False,1.14,4.001992,0.1941
54,58,0.23,False,1.06,5.19278,0.111432
55,522,2.09,False,1.04,4.703637,0.094907
56,72,0.29,False,1.05,4.914511,0.168924
57,140,0.56,False,1.07,4.957724,0.140886
58,354,1.42,False,1.08,4.290762,0.137528
59,734,2.94,False,0.99,4.783725,0.083351
60,470,1.88,False,1.06,4.728236,0.10335
61,466,1.86,False,1.06,4.937645,0.120516
62,741,2.96,False,0.99,4.780047,0.082719
63,584,2.34,False,1.03,4.817235,0.106033
64,70,0.28,False,1.09,5.082426,0.207169
65,56,0.22,False,1.09,5.148217,0.15141
66,11,0.04,False,1.08,4.416231,0.252259
67,524,2.1,False,1.04,4.704161,0.097573
68,668,2.67,False,1.04,4.750963,0.12631
69,157,0.63,False,1.11,4.251675,0.149411
70,274,1.1,False,1.07,4.481138,0.134032
71,298,1.19,False,1.08,4.494761,0.13674
72,806,3.22,False,0.99,4.784294,0.088667
73,768,3.07,False,0.99,4.765551,0.084041
74,68,0.27,False,1.09,4.979311,0.177467
75,365,1.46,False,1.05,4.661226,0.116619
76,134,0.54,False,1.13,4.300781,0.165403
77,41,0.16,False,1.09,4.897033,0.131583
78,72,0.29,False,1.07,4.319775,0.169972
79,106,0.42,False,1.15,4.384289,0.149854
80,66,0.26,False,1.09,4.36334,0.133287
81,144,0.58,False,1.09,4.793207,0.172135
82,65,0.26,False,1.02,4.801375,0.120526
83,267,1.07,False,1.06,4.419914,0.127656
84,134,0.54,False,1.06,5.135656,0.142591
85,61,0.24,False,1.05,4.740991,0.12431
86,63,0.25,False,1.03,4.786646,0.141981
87,532,2.13,False,1.02,4.842653,0.105494
88,220,0.88,False,1.09,4.642822,0.1225
89,61,0.24,False,1.06,4.909976,0.135907
90,85,0.34,False,1.11,3.950625,0.170927
91,52,0.21,False,1.1,4.507579,0.121525
92,222,0.89,False,1.11,3.96982,0.178764
93,210,0.84,False,1.06,4.604962,0.130334
94,71,0.28,False,1.06,4.664942,0.201879
95,376,1.5,False,1.08,4.759334,0.124785
96,480,1.92,False,1.05,4.965195,0.109111
97,79,0.32,False,1.08,5.148812,0.145414
98,193,0.77,False,1.06,4.197273,0.174018
99,58,0.23,False,1.09,4.699332,0.144969
