cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,105,0.42,False,1.07,5.923025,0.141313
1,3,0.01,False,1.28,5.612472,0.074807
2,542,2.17,False,1.04,5.645172,0.11066
3,559,2.24,False,1.05,5.854436,0.110346
4,91,0.36,False,1.07,5.902433,0.143995
5,193,0.77,False,1.06,5.826709,0.135467
6,48,0.19,False,1.13,5.468156,0.146141
7,112,0.45,False,1.13,5.565224,0.141653
8,109,0.44,False,1.06,5.873904,0.125558
9,258,1.03,False,1.07,5.504468,0.141117
10,85,0.34,False,1.08,6.146866,0.156692
11,631,2.52,False,1.06,5.645832,0.117299
12,100,0.4,False,1.05,5.840048,0.130072
13,69,0.28,False,1.11,5.894408,0.150629
14,50,0.2,False,1.02,5.828336,0.126625
15,330,1.32,False,1.02,5.819299,0.102122
16,127,0.51,False,1.08,5.592539,0.128428
17,852,3.41,False,1.01,5.718075,0.114004
18,524,2.1,False,1.04,5.665817,0.108247
19,105,0.42,False,1.06,5.822336,0.136845
20,147,0.59,False,1.13,5.557461,0.121129
21,78,0.31,False,1.04,5.896034,0.152415
22,83,0.33,False,1.13,6.200348,0.146502
23,79,0.32,False,1.06,5.975982,0.145918
24,31,0.12,False,1.11,5.973118,0.106159
25,618,2.47,False,1.03,5.692803,0.106064
26,69,0.28,False,1.06,5.941002,0.126403
27,78,0.31,False,1.05,5.837107,0.132586
28,768,3.07,False,1.02,5.710982,0.110617
29,78,0.31,False,1.04,5.829005,0.14858
30,67,0.27,False,1.03,5.99217,0.148808
31,65,0.26,False,1.08,6.009245,0.161995
32,689,2.76,False,1.04,5.706203,0.115297
33,58,0.23,False,1.05,6.058624,0.125139
34,11,0.04,False,1.08,5.782462,0.190006
35,131,0.52,False,1.05,5.911699,0.146304
36,71,0.28,False,1.08,5.864557,0.15704
37,83,0.33,False,1.04,5.885674,0.161982
38,509,2.04,False,1.04,5.646625,0.108316
39,424,1.7,False,1.08,5.655587,0.126338
40,460,1.84,False,1.04,5.691035,0.124279
41,195,0.78,False,1.03,5.820991,0.102257
42,605,2.42,False,1.03,5.676409,0.111702
43,65,0.26,False,1.04,5.874381,0.121258
44,429,1.72,False,1.05,5.672328,0.1134
45,284,1.14,False,1.09,5.624367,0.122424
46,82,0.33,False,1.09,5.902477,0.114284
47,84,0.34,False,1.07,5.895345,0.133748
48,145,0.58,False,1.13,5.537015,0.134504
49,1277,5.11,False,0.98,5.769421,0.107138
50,123,0.49,False,1.06,5.846622,0.136192
51,70,0.28,False,1.13,5.918701,0.138398
52,410,1.64,False,1.07,5.639541,0.133138
53,267,1.07,False,1.03,5.787391,0.126694
54,554,2.22,False,1.07,5.410727,0.144895
55,168,0.67,False,1.11,5.525268,0.109481
56,14,0.06,False,1.04,5.61062,0.125225
57,235,0.94,False,1.1,5.356101,0.164798
58,546,2.18,False,1.03,5.669404,0.103171
59,79,0.32,False,1.05,5.908833,0.127909
60,172,0.69,False,1.09,5.821581,0.12498
61,59,0.24,False,1.1,5.858023,0.102888
62,172,0.69,False,1.11,5.812718,0.140137
63,108,0.43,False,1.13,5.520983,0.127395
64,80,0.32,False,1.04,5.922845,0.132854
65,131,0.52,False,1.04,5.838391,0.133987
66,422,1.69,False,1.04,5.688855,0.116377
67,371,1.48,False,1.07,5.673263,0.108868
68,73,0.29,False,1.07,6.04971,0.13878
69,1557,6.23,False,0.96,5.749959,0.092386
70,329,1.32,False,1.05,5.603726,0.122276
71,91,0.36,False,1.15,5.298162,0.164086
72,417,1.67,False,1.07,5.589361,0.131204
73,283,1.13,False,1.04,5.79322,0.110842
74,343,1.37,False,1.04,5.664741,0.113197
75,82,0.33,False,1.06,5.82303,0.143538
76,44,0.18,False,1.11,5.843194,0.144409
77,92,0.37,False,1.07,5.810663,0.123958
78,205,0.82,False,1.06,5.803438,0.125543
79,69,0.28,False,1.08,5.888462,0.134809
80,445,1.78,False,1.06,5.636484,0.124691
81,67,0.27,False,1.1,5.33518,0.145368
82,198,0.79,False,1.06,5.545318,0.136836
83,691,2.76,False,1.01,5.798281,0.107435
84,291,1.16,False,1.06,5.830091,0.109541
85,71,0.28,False,1.07,5.929524,0.134345
86,189,0.76,False,1.11,5.63326,0.128895
87,1504,6.02,True,0.95,5.768135,0.094318
88,76,0.3,False,1.05,5.854313,0.136295
89,56,0.22,False,1.09,5.811891,0.132429
90,62,0.25,False,1.09,5.936975,0.133512
91,67,0.27,False,1.1,5.834655,0.105234
92,57,0.23,False,1.07,5.864086,0.144833
93,454,1.82,False,1.07,5.644815,0.127877
94,268,1.07,False,1.07,5.901138,0.127094
95,63,0.25,False,1.07,5.916303,0.152106
96,64,0.26,False,1.06,5.98792,0.152124
97,7,0.03,False,1.13,5.71843,0.200241
98,62,0.25,False,1.04,5.865382,0.135442
99,86,0.34,False,1.09,5.855966,0.15362
