cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,76,0.3,False,1.01,3.240862,0.124322
1,395,1.58,False,1.08,2.903574,0.077725
2,60,0.24,False,1.11,3.194605,0.113282
3,302,1.21,False,1.05,2.988523,0.081915
4,59,0.24,False,1.1,3.257804,0.177916
5,140,0.56,False,1.09,3.177097,0.125965
6,7,0.03,False,0.9,3.456023,0.235831
7,269,1.08,False,1.07,3.096582,0.092832
8,77,0.31,False,1.05,3.233366,0.127088
9,6,0.02,False,1.25,3.595641,0.112954
10,31,0.12,False,1.16,3.282804,0.155055
11,110,0.44,False,1.07,3.087112,0.102246
12,190,0.76,False,1.09,2.903093,0.078221
13,71,0.28,False,1.09,3.225028,0.135549
14,76,0.3,False,1.05,3.409665,0.140404
15,129,0.52,False,1.06,3.202429,0.124643
16,361,1.44,False,1.04,3.158706,0.106997
17,41,0.16,False,1.08,3.130335,0.099834
18,88,0.35,False,1.07,3.310967,0.129465
19,266,1.06,False,1.11,2.92289,0.079383
20,230,0.92,False,1.11,2.874579,0.094888
21,64,0.26,False,1.03,3.395147,0.140985
22,403,1.61,False,1.07,3.185365,0.106329
23,66,0.26,False,1.08,3.306267,0.151368
24,428,1.71,False,1.06,3.101114,0.085972
25,2,0.01,False,0.92,3.392422,0.170113
26,72,0.29,False,1.11,3.345774,0.134399
27,750,3.0,False,1.02,3.073162,0.076429
28,69,0.28,False,1.05,3.199151,0.112531
29,69,0.28,False,1.1,3.194461,0.109702
30,60,0.24,False,1.06,3.223493,0.12181
31,730,2.92,False,0.98,3.045486,0.074385
32,79,0.32,False,1.09,3.158674,0.139554
33,183,0.73,False,1.06,3.205298,0.118133
34,26,0.1,False,1.09,3.376596,0.12965
35,66,0.26,False,1.1,3.14843,0.10446
36,131,0.52,False,1.13,2.842643,0.087823
37,78,0.31,False,1.07,3.307632,0.116995
38,295,1.18,False,1.09,2.899464,0.082792
39,79,0.32,False,1.08,3.15335,0.115172
40,473,1.89,False,1.05,3.143345,0.098031
41,637,2.55,False,1.05,2.964215,0.080638
42,197,0.79,False,1.09,3.248462,0.120847
43,446,1.78,False,1.07,2.958039,0.081935
44,372,1.49,False,1.05,2.906978,0.081304
45,1254,5.02,False,0.99,3.043815,0.066856
46,1,0.0,False,0.95,3.856495,0.0
47,736,2.94,False,1.04,2.99136,0.078003
48,1,0.0,False,0.99,3.354141,0.0
49,81,0.32,False,1.08,3.498231,0.145624
50,64,0.26,False,1.06,3.207593,0.135986
51,102,0.41,False,1.06,3.104766,0.10134
52,161,0.64,False,1.06,3.10919,0.107076
53,1249,5.0,False,0.96,3.013985,0.063046
54,66,0.26,False,1.08,3.252119,0.129227
55,548,2.19,False,1.03,3.074962,0.073553
56,847,3.39,False,1.01,2.997252,0.072967
57,307,1.23,False,1.09,2.884918,0.085692
58,136,0.54,False,1.08,3.174371,0.111576
59,65,0.26,False,1.03,3.314106,0.123593
60,535,2.14,False,1.03,3.138489,0.089606
61,80,0.32,False,1.09,3.255145,0.126012
62,624,2.5,False,1.05,2.960689,0.085924
63,94,0.38,False,1.07,3.238101,0.12736
64,77,0.31,False,1.09,3.228858,0.144206
65,324,1.3,False,1.05,3.097982,0.078227
66,98,0.39,False,1.11,3.115395,0.12006
67,719,2.88,False,1.02,2.972783,0.069504
68,390,1.56,False,1.05,2.957211,0.08437
69,70,0.28,False,1.06,3.201515,0.126126
70,657,2.63,False,1.03,3.070933,0.079711
71,68,0.27,False,1.06,3.264586,0.159495
72,87,0.35,False,1.1,3.458187,0.128063
73,104,0.42,False,1.12,3.29705,0.147232
74,164,0.66,False,1.08,3.162269,0.118189
75,239,0.96,False,1.08,2.933163,0.094328
76,244,0.98,False,1.1,2.981258,0.092832
77,75,0.3,False,1.08,3.144737,0.11235
78,57,0.23,False,1.08,3.223696,0.124336
79,72,0.29,False,1.13,3.167865,0.118836
80,856,3.42,False,1.01,2.948545,0.064491
81,207,0.83,False,1.05,3.111088,0.091427
82,66,0.26,False,1.05,3.213098,0.109826
83,61,0.24,False,1.04,3.15133,0.144787
84,82,0.33,False,1.08,3.231675,0.141848
85,128,0.51,False,1.07,3.17766,0.124869
86,510,2.04,False,1.07,2.940275,0.080611
87,336,1.34,False,1.07,3.006764,0.082786
88,76,0.3,False,1.05,3.121083,0.11491
89,457,1.83,False,1.04,2.972417,0.07342
90,66,0.26,False,1.07,3.116818,0.114202
91,147,0.59,False,1.03,3.072892,0.085221
92,60,0.24,False,1.1,3.203573,0.122703
93,53,0.21,False,1.12,3.236524,0.1189
94,68,0.27,False,1.09,3.34954,0.160181
95,405,1.62,False,1.05,3.159425,0.106118
96,1504,6.02,True,0.95,2.98795,0.059401
97,352,1.41,False,1.04,3.163868,0.094929
98,317,1.27,False,1.07,3.156844,0.096714
99,94,0.38,False,1.1,3.251314,0.128155
