cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,262,1.05,False,1.05,6.197952,0.099872
1,208,0.83,False,1.04,6.504423,0.115034
2,274,1.1,False,1.09,5.794768,0.130398
3,175,0.7,False,1.08,5.976631,0.106638
4,526,2.1,False,0.99,6.386244,0.079878
5,181,0.72,False,1.07,5.942484,0.141124
6,213,0.85,False,1.07,6.30313,0.09284
7,391,1.56,False,1.07,6.203896,0.12903
8,500,2.0,False,1.04,6.354055,0.116891
9,110,0.44,False,1.09,5.884475,0.113056
10,62,0.25,False,1.09,6.564863,0.103872
11,387,1.55,False,1.02,6.392634,0.085755
12,47,0.19,False,1.1,5.596627,0.200176
13,61,0.24,False,1.14,5.839897,0.124953
14,589,2.36,False,0.98,6.38624,0.08587
15,520,2.08,False,1.01,6.392526,0.081385
16,133,0.53,False,1.05,6.106895,0.103311
17,332,1.33,False,1.06,6.289053,0.091291
18,475,1.9,False,1.06,6.339407,0.12015
19,286,1.14,False,1.07,6.266934,0.104757
20,296,1.18,False,1.07,6.096791,0.099075
21,246,0.98,False,1.08,6.249046,0.103035
22,112,0.45,False,1.12,5.337177,0.220712
23,64,0.26,False,1.16,5.428288,0.179478
24,494,1.98,False,0.99,6.375494,0.084424
25,196,0.78,False,1.06,6.290996,0.10156
26,318,1.27,False,1.06,6.064388,0.098926
27,105,0.42,False,1.12,5.837483,0.148918
28,541,2.16,False,0.99,6.382118,0.079366
29,63,0.25,False,1.12,6.20766,0.137509
30,46,0.18,False,1.12,6.054584,0.155842
31,3,0.01,False,1.31,6.722481,0.086183
32,108,0.43,False,1.12,5.975262,0.159014
33,56,0.22,False,1.17,5.694389,0.138807
34,63,0.25,False,1.08,6.549345,0.163825
35,161,0.64,False,1.08,5.70067,0.142419
36,212,0.85,False,1.06,6.064251,0.119133
37,145,0.58,False,1.12,6.05637,0.110015
38,299,1.2,False,1.07,6.080295,0.119123
39,262,1.05,False,1.08,6.110155,0.108163
40,203,0.81,False,1.07,6.230854,0.097972
41,227,0.91,False,1.06,6.331597,0.089888
42,77,0.31,False,1.06,6.398066,0.123931
43,9,0.04,False,1.14,5.491456,0.112416
44,300,1.2,False,1.06,6.258668,0.090811
45,479,1.92,False,1.0,6.391015,0.083206
46,288,1.15,False,1.06,6.227621,0.109481
47,221,0.88,False,1.04,6.168715,0.108909
48,264,1.06,False,1.06,6.284588,0.090076
49,118,0.47,False,1.15,5.894577,0.151578
50,210,0.84,False,1.06,6.294696,0.084998
51,261,1.04,False,1.04,6.300636,0.095105
52,265,1.06,False,1.07,6.467195,0.105909
53,76,0.3,False,1.15,5.776983,0.184486
54,244,0.98,False,1.02,6.330607,0.096918
55,114,0.46,False,1.06,6.068607,0.119231
56,70,0.28,False,1.09,6.625821,0.135964
57,57,0.23,False,1.11,6.743064,0.152046
58,548,2.19,False,0.97,6.385139,0.081486
59,356,1.42,False,1.09,6.179725,0.125684
60,319,1.28,False,1.04,6.2662,0.099627
61,276,1.1,False,1.08,6.109114,0.110131
62,214,0.86,False,1.08,6.022387,0.113444
63,122,0.49,False,1.07,6.442925,0.114749
64,69,0.28,False,1.07,5.996546,0.150262
65,297,1.19,False,1.07,6.199448,0.096128
66,102,0.41,False,1.1,5.469126,0.159479
67,272,1.09,False,1.11,6.028752,0.098563
68,294,1.18,False,1.03,6.275025,0.10578
69,52,0.21,False,1.11,6.457117,0.091945
70,118,0.47,False,1.14,5.947813,0.143956
71,531,2.12,False,1.0,6.374801,0.098018
72,16,0.06,False,1.24,5.65727,0.189043
73,50,0.2,False,1.17,5.856943,0.167824
74,345,1.38,False,1.06,6.287662,0.094388
75,57,0.23,False,1.12,5.997214,0.122223
76,500,2.0,False,1.01,6.390717,0.085036
77,179,0.72,False,1.06,6.526997,0.100708
78,339,1.36,False,1.08,6.20414,0.100848
79,316,1.26,False,1.09,6.172067,0.105277
80,185,0.74,False,1.04,6.273216,0.102073
81,70,0.28,False,1.02,6.56628,0.126418
82,400,1.6,False,0.99,6.383416,0.080387
83,295,1.18,False,1.04,6.257102,0.09497
84,554,2.22,False,0.98,6.394552,0.080957
85,211,0.84,False,1.06,6.145935,0.13199
86,534,2.14,False,0.99,6.379077,0.078896
87,238,0.95,False,1.06,6.027053,0.111232
88,303,1.21,False,1.07,5.6958,0.12651
89,581,2.32,True,0.99,6.401814,0.08339
90,351,1.4,False,1.03,6.309416,0.08522
91,509,2.04,False,1.01,6.37528,0.090353
92,83,0.33,False,1.14,5.747532,0.166735
93,451,1.8,False,0.97,6.377245,0.085747
94,521,2.08,False,0.97,6.390571,0.075807
95,185,0.74,False,1.02,6.408055,0.101577
96,124,0.5,False,1.05,5.540201,0.130916
97,304,1.22,False,1.04,6.360841,0.10509
98,264,1.06,False,1.05,6.294835,0.116896
99,460,1.84,False,1.0,6.374846,0.084485
