cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,5,0.02,False,1.26,5.963223,0.131659
1,159,0.64,False,1.09,5.901201,0.118524
2,53,0.21,False,1.09,5.606638,0.153588
3,96,0.38,False,1.14,5.634872,0.094758
4,431,1.72,False,1.04,5.704279,0.093694
5,54,0.22,False,1.1,5.64961,0.098941
6,228,0.91,False,1.03,5.887007,0.080075
7,448,1.79,False,1.06,5.683399,0.103085
8,95,0.38,False,1.06,5.950075,0.098239
9,174,0.7,False,1.07,6.026523,0.102613
10,351,1.4,False,1.06,5.832854,0.103376
11,199,0.8,False,1.08,5.719422,0.095015
12,217,0.87,False,1.06,5.898026,0.104725
13,469,1.88,False,1.03,5.771872,0.073548
14,1073,4.29,False,0.95,5.807905,0.07303
15,98,0.39,False,1.12,5.644238,0.096125
16,781,3.12,False,0.98,5.794493,0.078537
17,56,0.22,False,1.04,5.816673,0.087618
18,1001,4.0,False,0.95,5.803626,0.073873
19,23,0.09,False,1.14,5.984913,0.140992
20,91,0.36,False,1.12,5.682629,0.082021
21,68,0.27,False,1.04,5.834913,0.091176
22,75,0.3,False,1.07,5.728852,0.115574
23,79,0.32,False,1.06,5.856964,0.100657
24,161,0.64,False,1.04,5.882113,0.078092
25,66,0.26,False,1.11,5.848251,0.113625
26,385,1.54,False,1.07,5.759296,0.101389
27,101,0.4,False,1.1,5.595044,0.112321
28,480,1.92,False,1.03,5.753973,0.087009
29,596,2.38,False,1.04,5.755583,0.076144
30,62,0.25,False,1.07,6.051244,0.099206
31,60,0.24,False,1.09,6.014771,0.103167
32,754,3.02,False,1.02,5.757171,0.08943
33,647,2.59,False,1.04,5.725507,0.093112
34,63,0.25,False,1.16,5.540241,0.167691
35,433,1.73,False,1.03,5.753684,0.082503
36,129,0.52,False,1.14,5.712654,0.09829
37,68,0.27,False,1.05,5.855517,0.101237
38,66,0.26,False,1.14,5.514988,0.144178
39,287,1.15,False,1.04,5.919682,0.09305
40,225,0.9,False,1.04,5.830291,0.09018
41,4,0.02,False,1.12,5.983372,0.095739
42,408,1.63,False,1.02,5.742685,0.07764
43,338,1.35,False,1.02,5.8564,0.081862
44,76,0.3,False,1.09,5.796488,0.117595
45,163,0.65,False,1.08,5.707317,0.108097
46,276,1.1,False,1.07,5.854468,0.100715
47,753,3.01,False,1.03,5.741757,0.085222
48,512,2.05,False,1.05,5.766005,0.085898
49,245,0.98,False,1.07,5.768009,0.089355
50,351,1.4,False,1.06,5.878712,0.102629
51,228,0.91,False,1.08,5.881445,0.090509
52,71,0.28,False,1.12,5.906497,0.094508
53,196,0.78,False,1.1,5.695811,0.103323
54,175,0.7,False,1.09,5.641203,0.108011
55,59,0.24,False,1.08,5.810444,0.093451
56,51,0.2,False,1.11,5.577554,0.118557
57,63,0.25,False,1.09,5.891144,0.117366
58,60,0.24,False,1.08,5.847577,0.089894
59,37,0.15,False,1.07,5.817554,0.088325
60,79,0.32,False,1.11,5.911711,0.123361
61,76,0.3,False,1.05,5.826314,0.084549
62,376,1.5,False,1.05,5.907307,0.08536
63,65,0.26,False,1.08,6.017669,0.11933
64,104,0.42,False,1.11,5.650592,0.09655
65,48,0.19,False,1.13,5.62151,0.114691
66,129,0.52,False,1.05,5.84531,0.102388
67,86,0.34,False,1.14,5.584471,0.1138
68,70,0.28,False,1.05,5.898862,0.117263
69,177,0.71,False,1.07,5.743475,0.103121
70,127,0.51,False,1.09,5.657828,0.099177
71,61,0.24,False,1.12,5.752078,0.110243
72,807,3.23,False,1.06,5.763633,0.091537
73,246,0.98,False,1.08,5.685326,0.111084
74,75,0.3,False,1.09,6.067446,0.114071
75,461,1.84,False,1.05,5.735875,0.088125
76,85,0.34,False,1.14,5.665705,0.113221
77,82,0.33,False,1.05,5.913469,0.103834
78,109,0.44,False,1.12,5.595309,0.109876
79,455,1.82,False,1.05,5.730299,0.091925
80,78,0.31,False,1.05,5.951142,0.097166
81,126,0.5,False,1.09,5.855052,0.084699
82,89,0.36,False,1.07,5.864458,0.102888
83,72,0.29,False,1.1,5.820215,0.112435
84,74,0.3,False,1.19,5.776493,0.116685
85,277,1.11,False,1.09,5.696664,0.097867
86,727,2.91,False,1.05,5.718315,0.091517
87,1095,4.38,True,0.96,5.814422,0.071117
88,301,1.2,False,1.06,5.653888,0.107175
89,596,2.38,False,1.06,5.685572,0.094586
90,158,0.63,False,1.05,5.839175,0.094956
91,54,0.22,False,1.1,5.904708,0.107434
92,256,1.02,False,1.05,5.716583,0.083736
93,947,3.79,False,1.01,5.810175,0.085444
94,53,0.21,False,1.13,5.735418,0.115398
95,72,0.29,False,1.03,5.91955,0.11965
96,599,2.4,False,1.03,5.791443,0.086996
97,1,0.0,False,1.23,5.576112,0.0
98,142,0.57,False,1.1,5.620364,0.106116
99,592,2.37,False,1.02,5.785554,0.084889
