cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred
0,388,1.55,False,1.09,6.149102,0.124968
1,293,1.17,False,1.05,6.159958,0.112676
2,74,0.3,False,1.06,6.372931,0.117444
3,67,0.27,False,1.05,6.542133,0.140886
4,2,0.01,False,1.11,6.132114,0.061768
5,67,0.27,False,1.08,6.099106,0.127758
6,106,0.42,False,1.06,6.389515,0.10702
7,344,1.38,False,1.02,6.342516,0.103065
8,575,2.3,False,1.05,6.126125,0.131301
9,158,0.63,False,1.07,6.160493,0.110139
10,481,1.92,False,1.07,6.128947,0.111879
11,105,0.42,False,1.12,5.905502,0.126009
12,71,0.28,False,1.06,6.519629,0.131607
13,104,0.42,False,1.13,5.96338,0.134166
14,29,0.12,False,1.09,6.580075,0.085698
15,466,1.86,False,1.04,6.211303,0.100082
16,82,0.33,False,1.14,6.054902,0.130934
17,138,0.55,False,1.08,6.131224,0.135102
18,102,0.41,False,1.05,6.019269,0.124461
19,23,0.09,False,1.06,6.302468,0.11525
20,303,1.21,False,1.03,6.136463,0.11745
21,60,0.24,False,1.1,6.351598,0.115149
22,428,1.71,False,1.05,6.086583,0.10509
23,343,1.37,False,1.09,6.09478,0.127125
24,160,0.64,False,1.1,6.38005,0.128634
25,146,0.58,False,1.11,5.989923,0.116761
26,442,1.77,False,1.07,6.166508,0.119019
27,27,0.11,False,1.08,6.309408,0.137071
28,81,0.32,False,1.12,6.688202,0.110297
29,705,2.82,False,1.05,6.095223,0.106349
30,446,1.78,False,1.04,6.19718,0.103909
31,113,0.45,False,1.04,6.352738,0.106571
32,93,0.37,False,1.14,6.001425,0.164176
33,71,0.28,False,1.07,6.373624,0.118783
34,123,0.49,False,1.1,5.994646,0.119682
35,6,0.02,False,0.95,6.424997,0.10705
36,62,0.25,False,1.08,6.535357,0.135054
37,644,2.58,False,1.04,6.143482,0.107731
38,95,0.38,False,1.05,6.072269,0.112863
39,479,1.92,False,1.02,6.174976,0.103975
40,102,0.41,False,1.09,6.144123,0.111276
41,73,0.29,False,1.05,6.333855,0.131147
42,541,2.16,False,1.03,6.212159,0.095744
43,90,0.36,False,1.16,5.939746,0.151916
44,4,0.02,False,1.01,6.114016,0.097827
45,86,0.34,False,1.02,6.406938,0.140602
46,326,1.3,False,1.04,6.158142,0.11177
47,73,0.29,False,1.14,6.116359,0.126095
48,297,1.19,False,1.05,6.210645,0.106204
49,84,0.34,False,1.08,6.446164,0.146326
50,81,0.32,False,1.04,6.407542,0.128736
51,113,0.45,False,1.13,5.993766,0.13614
52,75,0.3,False,1.14,6.058428,0.129435
53,1007,4.03,False,0.98,6.253414,0.092178
54,74,0.3,False,1.07,6.340312,0.111702
55,4,0.02,False,1.18,6.015522,0.079785
56,78,0.31,False,1.11,6.367059,0.105512
57,61,0.24,False,1.11,6.372837,0.125083
58,155,0.62,False,1.07,6.455597,0.163563
59,735,2.94,False,1.03,6.218266,0.09974
60,2148,8.59,False,0.93,6.268476,0.081357
61,504,2.02,False,1.05,6.125137,0.117016
62,63,0.25,False,1.06,6.331612,0.127777
63,253,1.01,False,1.02,6.220522,0.106555
64,64,0.26,False,1.06,6.370746,0.143283
65,573,2.29,False,1.04,6.184543,0.105741
66,123,0.49,False,1.13,6.020885,0.126152
67,133,0.53,False,1.13,6.001663,0.122606
68,391,1.56,False,1.08,6.084685,0.122591
69,235,0.94,False,1.08,6.169806,0.119598
70,454,1.82,False,1.04,6.157423,0.111062
71,82,0.33,False,1.09,6.357135,0.152737
72,458,1.83,False,1.03,6.247634,0.106056
73,61,0.24,False,1.03,6.34135,0.137132
74,74,0.3,False,1.03,6.30871,0.135677
75,68,0.27,False,1.1,6.297051,0.132415
76,603,2.41,False,1.06,6.165929,0.108034
77,458,1.83,False,1.02,6.301716,0.089623
78,51,0.2,False,1.04,6.351397,0.112584
79,71,0.28,False,1.08,6.33186,0.121887
80,447,1.79,False,1.02,6.3143,0.099579
81,290,1.16,False,1.04,6.153071,0.106761
82,592,2.37,False,1.06,6.211579,0.108552
83,89,0.36,False,1.12,6.011661,0.122693
84,62,0.25,False,1.05,6.412001,0.109262
85,1037,4.15,True,1.0,6.216501,0.096569
86,658,2.63,False,1.05,6.198524,0.112212
87,90,0.36,False,1.1,6.102176,0.110971
88,365,1.46,False,1.08,6.047405,0.127344
89,88,0.35,False,1.09,6.367241,0.127578
90,138,0.55,False,1.07,6.37036,0.125517
91,80,0.32,False,1.12,5.989339,0.133789
92,41,0.16,False,1.09,6.015375,0.13905
93,104,0.42,False,1.09,6.039811,0.125284
94,122,0.49,False,1.05,6.376341,0.096409
95,499,2.0,False,1.05,6.187235,0.101314
96,81,0.32,False,1.07,6.272669,0.151286
97,142,0.57,False,1.06,6.321137,0.108758
98,89,0.36,False,1.12,6.041332,0.124172
99,558,2.23,False,1.02,6.224591,0.09751
