cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,61,0.24,False,0.98,0.975402,0.024598,4.284119,0.123576
1,300,1.2,False,1.06,0.988749,0.011251,4.216419,0.117941
2,347,1.39,False,1.07,0.863521,0.136479,3.887094,0.143698
3,73,0.29,False,1.05,0.917457,0.082543,4.319464,0.16126
4,136,0.54,False,1.08,0.86614,0.13386,3.680063,0.182986
5,211,0.84,False,1.08,0.961976,0.038024,4.346838,0.151137
6,80,0.32,False,1.07,0.766785,0.233215,4.763475,0.200892
7,20,0.08,False,1.12,0.52256,0.47744,4.788231,0.18088
8,118,0.47,False,1.08,0.968659,0.031341,4.247357,0.162335
9,678,2.71,False,1.04,0.992791,0.007209,4.000416,0.109296
10,80,0.32,False,1.1,0.906505,0.093495,4.440806,0.189762
11,64,0.26,False,1.1,0.767828,0.232172,4.65347,0.229027
12,94,0.38,False,1.07,0.970747,0.029253,4.334745,0.138719
13,58,0.23,False,1.07,0.754844,0.245156,4.736399,0.157586
14,168,0.67,False,1.1,0.987259,0.012741,3.973673,0.115439
15,142,0.57,False,1.08,0.982405,0.017595,4.348638,0.155575
16,66,0.26,False,1.14,0.90422,0.09578,4.225688,0.185453
17,295,1.18,False,1.13,0.824416,0.175584,3.633997,0.125312
18,333,1.33,False,1.07,0.985934,0.014066,4.272939,0.132905
19,152,0.61,False,1.15,0.685006,0.314994,3.552122,0.159815
20,70,0.28,False,1.04,0.819984,0.180016,4.445454,0.192562
21,593,2.37,False,1.04,0.985027,0.014973,4.073864,0.105166
22,515,2.06,False,1.03,0.989554,0.010446,4.077419,0.103832
23,86,0.34,False,1.1,0.957651,0.042349,4.203784,0.143396
24,124,0.5,False,1.13,0.801554,0.198446,3.642427,0.183992
25,67,0.27,False,1.13,0.898648,0.101352,4.351201,0.171974
26,90,0.36,False,1.07,0.700239,0.299761,4.551629,0.241552
27,263,1.05,False,1.08,0.885488,0.114512,3.770145,0.133906
28,94,0.38,False,1.11,0.833145,0.166855,3.913973,0.14357
29,97,0.39,False,1.08,0.954138,0.045862,4.249264,0.157219
30,707,2.83,False,1.03,0.996068,0.003932,4.105531,0.100399
31,119,0.48,False,1.07,0.93254,0.06746,4.432853,0.190494
32,497,1.99,False,1.04,0.990953,0.009047,4.255553,0.117647
33,77,0.31,False,1.06,0.807352,0.192648,4.45925,0.201199
34,175,0.7,False,1.12,0.958013,0.041987,3.799325,0.141424
35,126,0.5,False,1.08,0.930345,0.069655,4.350664,0.175716
36,1221,4.88,False,0.98,0.998085,0.001915,4.129027,0.096883
37,784,3.14,False,1.03,0.995055,0.004945,4.106786,0.10244
38,9,0.04,False,1.09,0.566648,0.433352,4.535139,0.091708
39,212,0.85,False,1.12,0.949248,0.050752,3.807195,0.137212
40,475,1.9,False,1.06,0.873369,0.126631,3.800809,0.143359
41,24,0.1,False,1.12,0.61866,0.38134,4.524597,0.208474
42,68,0.27,False,1.11,0.935277,0.064723,4.31805,0.175385
43,135,0.54,False,1.09,0.929187,0.070813,4.306074,0.17622
44,57,0.23,False,1.08,0.951199,0.048801,4.322969,0.163264
45,64,0.26,False,1.04,0.967639,0.032361,4.383879,0.160364
46,1148,4.59,True,0.96,1.0,0.0,4.175171,0.09421
47,192,0.77,False,1.04,0.987239,0.012761,4.334994,0.137791
48,517,2.07,False,1.04,0.98148,0.01852,4.017438,0.106008
49,412,1.65,False,1.05,0.991435,0.008565,4.085224,0.117441
50,69,0.28,False,1.08,0.747929,0.252071,4.90737,0.185419
51,72,0.29,False,1.1,0.934653,0.065347,4.360548,0.179423
52,163,0.65,False,1.08,0.975515,0.024485,4.354389,0.151047
53,1225,4.9,False,0.96,0.997702,0.002298,4.156061,0.089517
54,31,0.12,False,1.09,0.708008,0.291992,4.211685,0.184816
55,39,0.16,False,1.11,0.804896,0.195104,4.617673,0.250888
56,2,0.01,False,1.23,0.741502,0.258498,4.950299,0.008653
57,80,0.32,False,1.07,0.840367,0.159633,4.474942,0.214146
58,182,0.73,False,1.1,0.959584,0.040416,3.937971,0.113717
59,208,0.83,False,1.1,0.970002,0.029998,3.857748,0.12824
60,404,1.62,False,1.04,0.987044,0.012956,4.064052,0.109689
61,32,0.13,False,1.0,0.768802,0.231198,4.734897,0.197847
62,251,1.0,False,1.15,0.800815,0.199185,3.647252,0.142638
63,66,0.26,False,1.09,0.899734,0.100266,4.324004,0.198523
64,142,0.57,False,1.08,0.900958,0.099042,4.565266,0.171008
65,577,2.31,False,1.02,0.967748,0.032252,4.037935,0.101701
66,261,1.04,False,1.09,0.971376,0.028624,3.858408,0.128894
67,137,0.55,False,1.11,0.967121,0.032879,4.177778,0.116741
68,1028,4.11,False,0.98,0.99737,0.00263,4.197983,0.095255
69,70,0.28,False,1.12,0.966351,0.033649,4.299078,0.141083
