cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,2,0.01,False,1.11,0.965247,0.034753,6.301821,0.043841
1,63,0.25,False,1.06,0.91961,0.08039,6.455795,0.113778
2,2,0.01,False,1.44,0.818708,0.181292,6.179419,0.041067
3,639,2.56,False,1.03,0.99521,0.00479,6.302922,0.084279
4,266,1.06,False,1.07,0.927498,0.072502,6.160362,0.112338
5,70,0.28,False,1.11,0.873926,0.126074,6.024972,0.137811
6,88,0.35,False,1.1,0.878678,0.121322,6.048813,0.137356
7,367,1.47,False,1.04,0.994504,0.005496,6.286422,0.091548
8,27,0.11,False,1.14,0.888445,0.111555,6.52202,0.143106
9,190,0.76,False,1.06,0.977793,0.022207,6.412869,0.120017
10,311,1.24,False,1.08,0.991273,0.008727,6.257308,0.11487
11,474,1.9,False,1.04,0.994888,0.005112,6.293414,0.094263
12,113,0.45,False,1.03,0.976801,0.023199,6.384664,0.115508
13,643,2.57,False,1.02,0.996451,0.003549,6.312879,0.075964
14,143,0.57,False,1.08,0.986153,0.013847,6.21051,0.104365
15,116,0.46,False,1.14,0.816179,0.183821,5.890085,0.143385
16,61,0.24,False,1.1,0.957385,0.042615,6.448747,0.130352
17,91,0.36,False,1.08,0.869395,0.130605,6.504203,0.117887
18,23,0.09,False,1.03,0.821924,0.178076,6.438707,0.159981
19,321,1.28,False,1.03,0.994661,0.005339,6.407449,0.082231
20,382,1.53,False,1.04,0.993935,0.006065,6.303395,0.095444
21,75,0.3,False,1.05,0.961765,0.038235,6.473193,0.115158
22,71,0.28,False,1.05,0.929854,0.070146,6.446354,0.105193
23,652,2.61,False,1.07,0.986332,0.013668,6.263201,0.108411
24,685,2.74,False,1.0,0.997138,0.002862,6.378351,0.08568
25,79,0.32,False,1.05,0.90091,0.09909,6.509512,0.116951
26,462,1.85,False,1.07,0.882153,0.117847,6.094359,0.115736
27,17,0.07,False,1.13,0.865431,0.134569,6.244018,0.097972
28,336,1.34,False,1.05,0.992356,0.007644,6.406437,0.098768
29,48,0.19,False,1.06,0.937116,0.062884,6.093295,0.126888
30,113,0.45,False,1.06,0.959999,0.040001,6.36791,0.097636
31,234,0.94,False,1.05,0.99189,0.00811,6.40673,0.096286
32,106,0.42,False,1.09,0.98029,0.01971,6.216882,0.113124
33,68,0.27,False,1.09,0.966989,0.033011,6.432949,0.110269
34,441,1.76,False,1.04,0.993355,0.006645,6.284043,0.096463
35,177,0.71,False,1.08,0.975297,0.024703,6.254855,0.10189
36,1225,4.9,False,0.94,0.998237,0.001763,6.367631,0.076545
37,63,0.25,False,0.96,0.970759,0.029241,6.201451,0.092885
38,483,1.93,False,1.03,0.994472,0.005528,6.289616,0.090322
39,195,0.78,False,1.06,0.905275,0.094725,6.187892,0.103242
40,695,2.78,False,1.04,0.990853,0.009147,6.265791,0.09946
41,807,3.23,False,1.06,0.990476,0.009524,6.244776,0.100893
42,67,0.27,False,1.11,0.937265,0.062735,6.496279,0.09529
43,406,1.62,False,1.07,0.967418,0.032582,6.192146,0.109036
44,54,0.22,False,1.08,0.982525,0.017475,6.418141,0.099778
45,1106,4.42,False,0.95,0.998081,0.001919,6.362367,0.078297
46,65,0.26,False,1.1,0.927114,0.072886,6.493103,0.109296
47,276,1.1,False,1.09,0.898012,0.101988,6.157578,0.123526
48,190,0.76,False,1.15,0.983411,0.016589,6.183928,0.099947
49,97,0.39,False,1.13,0.892798,0.107202,6.027936,0.146981
50,195,0.78,False,1.06,0.984252,0.015748,6.38512,0.10707
51,266,1.06,False,1.06,0.991015,0.008985,6.413257,0.089005
52,77,0.31,False,1.06,0.889702,0.110298,6.566036,0.119347
53,99,0.4,False,1.12,0.969163,0.030837,6.166792,0.131215
54,301,1.2,False,1.05,0.990421,0.009579,6.410989,0.089323
55,534,2.14,False,1.06,0.99281,0.00719,6.273711,0.092363
56,88,0.35,False,1.07,0.920793,0.079207,6.492775,0.115927
57,148,0.59,False,1.06,0.979133,0.020867,6.415006,0.105146
58,327,1.31,False,1.05,0.990477,0.009523,6.249703,0.118243
59,69,0.28,False,1.04,0.970204,0.029796,6.354417,0.100279
60,1,0.0,False,1.09,0.790783,0.209217,6.028582,0.0
61,411,1.64,False,1.09,0.980007,0.019993,6.229586,0.109237
62,71,0.28,False,1.04,0.961416,0.038584,6.120365,0.111425
63,467,1.87,False,1.06,0.992624,0.007376,6.298966,0.100285
