cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,7,0.03,False,1.2,0.825533,0.174467,4.67537,0.171436
1,749,3.0,False,1.01,0.997035,0.002965,5.303313,0.093851
2,284,1.14,False,1.07,0.902254,0.097746,4.995294,0.152068
3,1001,4.0,False,0.97,0.998118,0.001882,5.36219,0.082521
4,122,0.49,False,1.12,0.916108,0.083892,4.859812,0.174649
5,413,1.65,False,1.03,0.995223,0.004777,5.293408,0.108398
6,579,2.32,False,1.04,0.99173,0.00827,5.306058,0.118078
7,94,0.38,False,1.13,0.862004,0.137996,4.832893,0.14869
8,9,0.04,False,1.15,0.736594,0.263406,5.454135,0.31402
9,66,0.26,False,1.04,0.975992,0.024008,5.612635,0.12902
10,225,0.9,False,1.08,0.838406,0.161594,4.972498,0.131742
11,874,3.5,False,0.97,0.997974,0.002026,5.354508,0.090926
12,74,0.3,False,1.06,0.981537,0.018463,5.35586,0.16214
13,48,0.19,False,1.12,0.936103,0.063897,5.235322,0.114162
14,429,1.72,False,1.07,0.911151,0.088849,5.05345,0.125263
15,404,1.62,False,1.07,0.956096,0.043904,5.113953,0.158277
16,266,1.06,False,1.06,0.992539,0.007461,5.43345,0.115673
17,540,2.16,False,1.06,0.991134,0.008866,5.285892,0.108691
18,64,0.26,False,1.12,0.895022,0.104978,4.846916,0.136912
19,13,0.05,False,1.14,0.789846,0.210154,5.090848,0.245771
20,150,0.6,False,1.07,0.973867,0.026133,5.116702,0.149463
21,88,0.35,False,1.08,0.965975,0.034025,5.032695,0.139751
22,394,1.58,False,1.05,0.992376,0.007624,5.465686,0.103345
23,114,0.46,False,1.11,0.944811,0.055189,5.035469,0.156944
24,180,0.72,False,1.08,0.966766,0.033234,5.1976,0.134012
25,252,1.01,False,1.07,0.951893,0.048107,5.148423,0.115265
26,195,0.78,False,1.09,0.971659,0.028341,5.225519,0.146386
27,1015,4.06,False,0.97,0.997746,0.002254,5.367832,0.089885
28,512,2.05,False,1.05,0.923696,0.076304,5.127424,0.123105
29,1007,4.03,True,0.97,1.0,-0.0,5.377996,0.087758
30,319,1.28,False,1.02,0.996276,0.003724,5.237061,0.10625
31,203,0.81,False,1.07,0.969163,0.030837,5.183649,0.124729
32,58,0.23,False,1.08,0.962735,0.037265,5.625924,0.151401
33,76,0.3,False,1.06,0.838066,0.161934,5.784069,0.184225
34,75,0.3,False,1.14,0.930719,0.069281,4.961144,0.1616
35,973,3.89,False,0.96,0.997813,0.002187,5.362574,0.087291
36,60,0.24,False,1.01,0.970317,0.029683,5.528234,0.158117
37,206,0.82,False,1.08,0.993371,0.006629,5.452818,0.111396
38,306,1.22,False,1.08,0.941655,0.058345,5.072468,0.142952
39,946,3.78,False,0.99,0.998159,0.001841,5.351665,0.100062
40,111,0.44,False,1.1,0.912705,0.087295,4.998223,0.132632
41,159,0.64,False,1.05,0.986709,0.013291,5.458378,0.123372
42,60,0.24,False,1.07,0.919327,0.080673,5.140868,0.161058
43,431,1.72,False,1.06,0.95419,0.04581,5.1057,0.162347
44,250,1.0,False,1.06,0.985638,0.014362,5.233038,0.130322
45,26,0.1,False,1.12,0.898798,0.101202,5.31669,0.158639
46,52,0.21,False,1.09,0.809679,0.190321,5.150266,0.177927
47,23,0.09,False,1.14,0.88464,0.11536,5.356624,0.170007
48,70,0.28,False,1.07,0.966309,0.033691,5.61119,0.152571
49,16,0.06,False,1.13,0.790641,0.209359,4.476187,0.196878
50,218,0.87,False,1.06,0.983194,0.016806,5.136605,0.108587
51,95,0.38,False,1.1,0.940484,0.059516,4.944983,0.141267
52,184,0.74,False,1.1,0.963082,0.036918,5.621366,0.151448
53,281,1.12,False,1.06,0.789159,0.210841,4.823433,0.134644
54,72,0.29,False,1.11,0.956173,0.043827,5.430963,0.145314
55,75,0.3,False,1.1,0.889609,0.110391,5.793631,0.157067
56,486,1.94,False,1.07,0.990579,0.009421,5.262947,0.125522
57,212,0.85,False,1.08,0.955325,0.044675,5.121177,0.156452
58,569,2.28,False,1.06,0.98743,0.01257,5.516563,0.130134
59,271,1.08,False,1.07,0.943362,0.056638,5.11485,0.119676
60,172,0.69,False,1.03,0.992516,0.007484,5.456352,0.098347
61,441,1.76,False,1.06,0.984439,0.015561,5.171566,0.133317
62,43,0.17,False,1.07,0.700999,0.299001,4.56949,0.175085
63,142,0.57,False,1.08,0.948346,0.051654,5.048746,0.141102
64,316,1.26,False,1.03,0.996629,0.003371,5.444303,0.106964
65,53,0.21,False,1.2,0.828167,0.171833,4.674802,0.153798
66,108,0.43,False,1.05,0.973292,0.026708,5.524755,0.122638
67,131,0.52,False,1.07,0.946699,0.053301,5.547011,0.156644
68,153,0.61,False,1.08,0.984274,0.015726,5.554475,0.141235
69,558,2.23,False,1.05,0.994808,0.005192,5.27181,0.102759
70,204,0.82,False,1.03,0.990566,0.009434,5.39519,0.107342
71,270,1.08,False,1.06,0.98705,0.01295,5.436094,0.129445
72,59,0.24,False,1.1,0.968143,0.031857,5.487565,0.138044
73,110,0.44,False,1.11,0.901177,0.098823,4.901433,0.16467
74,81,0.32,False,1.13,0.805055,0.194945,4.740087,0.156021
75,93,0.37,False,1.02,0.904011,0.095989,4.976816,0.167459
76,119,0.48,False,1.12,0.846862,0.153138,4.683562,0.20872
77,52,0.21,False,1.05,0.981839,0.018161,5.436129,0.105526
78,133,0.53,False,1.08,0.82045,0.17955,4.87418,0.160351
79,431,1.72,False,1.05,0.991979,0.008021,5.274426,0.113104
80,328,1.31,False,1.07,0.990452,0.009548,5.254506,0.11695
81,63,0.25,False,1.04,0.982276,0.017724,5.128783,0.115945
82,359,1.44,False,1.04,0.994665,0.005335,5.478163,0.112943
83,95,0.38,False,1.1,0.911474,0.088526,4.960715,0.154346
84,236,0.94,False,1.07,0.9865,0.0135,5.514645,0.111723
85,131,0.52,False,1.08,0.933563,0.066437,5.089794,0.163413
86,175,0.7,False,1.08,0.980485,0.019515,5.157157,0.136109
87,65,0.26,False,1.14,0.953176,0.046824,5.294462,0.1402
88,98,0.39,False,1.07,0.97855,0.02145,5.498604,0.118508
89,463,1.85,False,1.03,0.995543,0.004457,5.310886,0.096657
90,415,1.66,False,1.04,0.992487,0.007513,5.477521,0.115904
91,49,0.2,False,1.08,0.970217,0.029783,5.430772,0.114408
92,564,2.26,False,1.07,0.991206,0.008794,5.296046,0.115398
93,88,0.35,False,1.08,0.926472,0.073528,5.603487,0.189399
94,180,0.72,False,1.04,0.993019,0.006981,5.495378,0.133209
95,64,0.26,False,1.07,0.960323,0.039677,5.610778,0.159868
96,423,1.69,False,1.05,0.98724,0.01276,5.522372,0.129278
97,79,0.32,False,1.13,0.912007,0.087993,4.959434,0.162087
98,337,1.35,False,1.05,0.976056,0.023944,5.146,0.129852
99,68,0.27,False,1.06,0.963265,0.036735,5.660322,0.163831
