cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,181,0.72,False,1.04,0.988231,0.011769,5.229918,0.135904
1,104,0.42,False,1.06,0.991713,0.008287,5.608775,0.09841
2,318,1.27,False,1.09,0.880902,0.119098,4.988808,0.141213
3,91,0.36,False,1.12,0.780816,0.219184,4.608166,0.168163
4,808,3.23,False,0.99,0.996298,0.003702,5.482598,0.093698
5,66,0.26,False,1.12,0.926686,0.073314,4.989485,0.158526
6,163,0.65,False,1.12,0.695655,0.304345,4.551799,0.162373
7,11,0.04,False,1.11,0.74736,0.25264,5.456376,0.17494
8,77,0.31,False,1.05,0.972392,0.027608,5.619457,0.149203
9,29,0.12,False,1.11,0.885813,0.114187,5.310894,0.197109
10,341,1.36,False,1.07,0.996595,0.003405,5.554222,0.110078
11,682,2.73,False,1.04,0.99848,0.00152,5.452313,0.120192
12,195,0.78,False,1.08,0.920249,0.079751,5.051817,0.140371
13,263,1.05,False,1.08,0.939206,0.060794,5.06447,0.155735
14,307,1.23,False,1.07,0.919831,0.080169,5.103961,0.120436
15,51,0.2,False,1.04,0.89958,0.10042,6.026069,0.162511
16,340,1.36,False,1.09,0.948994,0.051006,5.285277,0.144731
17,48,0.19,False,1.1,0.964412,0.035588,5.624626,0.151409
18,301,1.2,False,1.06,0.993884,0.006116,5.614982,0.131259
19,64,0.26,False,1.15,0.988654,0.011346,5.607066,0.156912
20,399,1.6,False,1.04,0.996801,0.003199,5.436904,0.116001
21,69,0.28,False,1.16,0.94565,0.05435,5.460571,0.16661
22,71,0.28,False,1.11,0.981173,0.018827,5.675432,0.131145
23,104,0.42,False,1.1,0.903312,0.096688,4.925394,0.159982
24,689,2.76,True,1.01,1.0,-0.0,5.487943,0.095227
25,450,1.8,False,1.05,0.993767,0.006233,5.633565,0.10583
26,538,2.15,False,1.06,0.987248,0.012752,5.668386,0.135799
27,33,0.13,False,1.09,0.79584,0.20416,5.202147,0.147417
28,213,0.85,False,1.05,0.9762,0.0238,5.174148,0.146626
29,70,0.28,False,1.04,0.942115,0.057885,5.137073,0.140262
30,101,0.4,False,1.06,0.926515,0.073485,5.229238,0.133098
31,48,0.19,False,1.08,0.916952,0.083048,5.403396,0.181738
32,358,1.43,False,1.04,0.994565,0.005435,5.564146,0.111116
33,429,1.72,False,1.07,0.838218,0.161782,4.935308,0.141794
34,726,2.9,False,1.0,0.998462,0.001538,5.484702,0.095251
35,61,0.24,False,1.04,0.935725,0.064275,5.88695,0.139937
36,105,0.42,False,1.09,0.928757,0.071243,5.009327,0.16336
37,65,0.26,False,1.05,0.97993,0.02007,5.387211,0.146062
38,349,1.4,False,1.05,0.988858,0.011142,5.37429,0.140372
39,186,0.74,False,1.07,0.987122,0.012878,5.332698,0.12465
40,60,0.24,False,1.02,0.961735,0.038265,5.830405,0.170273
41,776,3.1,False,1.05,0.993938,0.006062,5.396401,0.107083
42,107,0.43,False,1.06,0.972469,0.027531,5.30508,0.138587
43,65,0.26,False,1.1,0.978719,0.021281,5.652786,0.155998
44,339,1.36,False,1.08,0.977444,0.022556,5.308413,0.132258
45,256,1.02,False,1.09,0.751988,0.248012,4.784087,0.128582
46,136,0.54,False,1.12,0.817198,0.182802,4.711549,0.141057
47,147,0.59,False,1.06,0.962885,0.037115,5.242908,0.152402
48,230,0.92,False,1.07,0.992069,0.007931,5.314979,0.134354
49,678,2.71,False,1.05,0.995431,0.004569,5.407393,0.099
50,70,0.28,False,1.08,0.975608,0.024392,5.784044,0.150007
51,287,1.15,False,1.04,0.995154,0.004846,5.608945,0.125038
52,54,0.22,False,1.05,0.957832,0.042168,5.856864,0.18931
