cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,355,1.42,False,1.04,0.995266,0.004734,5.432361,0.098544
1,223,0.89,False,1.11,0.843113,0.156887,4.93166,0.130755
2,75,0.3,False,1.11,0.959619,0.040381,5.062806,0.166964
3,307,1.23,False,1.03,0.99382,0.00618,5.637936,0.118162
4,710,2.84,False,0.99,0.997789,0.002211,5.517212,0.093086
5,761,3.04,False,0.99,0.998634,0.001366,5.507432,0.094699
6,199,0.8,False,1.1,0.981452,0.018548,5.299736,0.162388
7,593,2.37,False,1.05,0.995091,0.004909,5.480711,0.110872
8,227,0.91,False,1.07,0.901866,0.098134,5.044879,0.153617
9,353,1.41,False,1.06,0.996626,0.003374,5.45451,0.115842
10,95,0.38,False,1.12,0.961457,0.038543,5.455751,0.149007
11,449,1.8,False,1.06,0.983555,0.016445,5.330338,0.135733
12,1,0.0,False,1.37,0.888343,0.111657,5.957159,0.0
13,410,1.64,False,1.07,0.989023,0.010977,5.363866,0.120784
14,357,1.43,False,1.05,0.99449,0.00551,5.370148,0.107313
15,778,3.11,False,0.99,0.997019,0.002981,5.515192,0.08936
16,636,2.54,False,0.99,0.999034,0.000966,5.517575,0.097617
17,14,0.06,False,1.19,0.90012,0.09988,5.576793,0.183107
18,63,0.25,False,1.0,0.896816,0.103184,5.751998,0.158083
19,144,0.58,False,1.07,0.978835,0.021165,5.695787,0.135872
20,53,0.21,False,1.16,0.721889,0.278111,5.127913,0.211083
21,18,0.07,False,1.17,0.663194,0.336806,5.23947,0.235831
22,100,0.4,False,1.06,0.821362,0.178638,5.005382,0.126973
23,198,0.79,False,1.07,0.912973,0.087027,5.043079,0.18755
24,143,0.57,False,1.06,0.969481,0.030519,5.28933,0.160716
25,82,0.33,False,1.09,0.915603,0.084397,5.844895,0.122615
26,78,0.31,False,1.16,0.861558,0.138442,4.77883,0.176922
27,290,1.16,False,1.07,0.990681,0.009319,5.381693,0.122123
28,67,0.27,False,1.05,0.958528,0.041472,5.639947,0.17207
29,222,0.89,False,1.06,0.963453,0.036547,5.359612,0.133933
30,67,0.27,False,1.05,0.916865,0.083135,5.881077,0.173669
31,792,3.17,False,0.98,0.997342,0.002658,5.513301,0.093457
32,41,0.16,False,1.05,0.914261,0.085739,5.882295,0.126337
33,815,3.26,False,1.0,0.997295,0.002705,5.505219,0.099894
34,63,0.25,False,1.03,0.989006,0.010994,5.386358,0.126295
35,459,1.84,False,1.06,0.992601,0.007399,5.647189,0.116413
36,69,0.28,False,1.11,0.9794,0.0206,5.682816,0.154476
37,1,0.0,False,1.23,0.890483,0.109517,6.107996,0.0
38,815,3.26,True,1.0,1.0,0.0,5.520322,0.104877
39,128,0.51,False,1.12,0.988399,0.011601,5.653432,0.125146
40,330,1.32,False,1.07,0.966775,0.033225,5.341903,0.132379
41,183,0.73,False,1.08,0.818337,0.181663,4.882836,0.150344
42,373,1.49,False,1.05,0.988491,0.011509,5.449152,0.121286
43,340,1.36,False,1.07,0.98703,0.01297,5.740191,0.123107
44,121,0.48,False,1.13,0.656693,0.343307,4.596325,0.180264
45,192,0.77,False,1.09,0.682058,0.317942,4.913934,0.158734
46,75,0.3,False,1.11,0.974967,0.025033,5.712053,0.170144
47,193,0.77,False,1.07,0.978418,0.021582,5.29603,0.132927
48,8,0.03,False,1.06,0.561926,0.438074,5.255898,0.03826
49,303,1.21,False,1.06,0.993878,0.006122,5.597767,0.115632
50,213,0.85,False,1.07,0.990133,0.009867,5.304039,0.151651
51,565,2.26,False,1.04,0.993553,0.006447,5.638588,0.110719
52,806,3.22,False,0.99,0.995147,0.004853,5.506433,0.094419
53,71,0.28,False,1.07,0.973574,0.026426,5.635113,0.145676
54,292,1.17,False,1.05,0.993182,0.006818,5.431984,0.114025
55,9,0.04,False,1.21,0.619468,0.380532,5.200689,0.220025
56,300,1.2,False,1.1,0.584443,0.415557,4.729126,0.143889
57,71,0.28,False,1.02,0.925202,0.074798,5.864574,0.124133
58,63,0.25,False,1.03,0.987271,0.012729,5.641532,0.129006
59,69,0.28,False,1.06,0.970311,0.029689,5.730106,0.163982
60,63,0.25,False,1.06,0.976068,0.023932,5.598576,0.138835
61,62,0.25,False,1.05,0.968084,0.031916,5.779851,0.137426
62,566,2.26,False,1.04,0.996874,0.003126,5.468447,0.107938
63,274,1.1,False,1.06,0.992382,0.007618,5.313879,0.133784
64,19,0.08,False,1.07,0.900501,0.099499,5.709301,0.20483
65,58,0.23,False,1.03,0.913515,0.086485,5.87492,0.149826
66,179,0.72,False,1.07,0.985453,0.014547,5.58071,0.138688
67,202,0.81,False,1.07,0.985523,0.014477,5.447037,0.134266
68,220,0.88,False,1.05,0.984537,0.015463,5.682518,0.15062
69,209,0.84,False,1.03,0.983357,0.016643,5.674487,0.123728
70,71,0.28,False,1.18,0.687089,0.312911,4.688888,0.171352
71,437,1.75,False,1.05,0.997119,0.002881,5.417801,0.148676
