cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,46,0.18,False,1.06,0.961932,0.038068,3.108638,0.068576
1,730,2.92,False,1.04,0.933298,0.066702,2.983159,0.062456
2,293,1.17,False,1.06,0.945115,0.054885,3.233136,0.092009
3,291,1.16,False,1.1,0.948664,0.051336,3.089954,0.076401
4,636,2.54,False,1.04,0.979649,0.020351,3.053912,0.061901
5,83,0.33,False,1.07,0.532705,0.467295,3.566314,0.114784
6,9,0.04,False,1.12,0.770417,0.229583,3.384719,0.083722
7,66,0.26,False,1.07,0.927583,0.072417,3.20261,0.085619
8,415,1.66,False,1.07,0.975217,0.024783,3.06002,0.066557
9,1103,4.41,False,1.04,0.975044,0.024956,3.034034,0.063824
10,69,0.28,False,1.08,0.658621,0.341379,3.527086,0.096381
11,82,0.33,False,1.12,0.886668,0.113332,3.247391,0.125478
12,4,0.02,False,1.1,0.763901,0.236099,3.44925,0.156012
13,67,0.27,False,1.1,0.753171,0.246829,3.297418,0.11723
14,57,0.23,False,1.06,0.868671,0.131329,3.22199,0.105381
15,192,0.77,False,1.06,0.973619,0.026381,3.184215,0.077531
16,56,0.22,False,1.08,0.878502,0.121498,3.23877,0.113216
17,64,0.26,False,1.1,0.793911,0.206089,3.317869,0.096097
18,10,0.04,False,1.24,0.711395,0.288605,3.383168,0.129842
19,74,0.3,False,1.09,0.776723,0.223277,3.363469,0.097463
20,70,0.28,False,1.07,0.900813,0.099187,3.206218,0.089957
21,1,0.0,False,1.37,0.64342,0.35658,3.520599,0.0
22,3,0.01,False,1.09,0.80321,0.19679,3.32616,0.028149
23,365,1.46,False,1.12,0.921109,0.078891,2.938375,0.066706
24,7,0.03,False,1.09,0.77595,0.22405,3.407467,0.115033
25,70,0.28,False,1.04,0.770952,0.229048,3.357586,0.129034
26,706,2.82,False,1.05,0.991772,0.008228,3.150112,0.067134
27,2,0.01,False,0.9,0.683348,0.316652,3.323734,0.009804
28,91,0.36,False,1.02,0.663123,0.336877,3.346647,0.129295
29,264,1.06,False,1.04,0.976118,0.023882,3.183376,0.080204
30,105,0.42,False,1.08,0.933518,0.066482,3.15766,0.096431
31,1202,4.81,False,0.96,0.994171,0.005829,3.089592,0.053131
32,117,0.47,False,1.1,0.936973,0.063027,3.141535,0.092039
33,65,0.26,False,1.13,0.913303,0.086697,3.156787,0.085172
34,77,0.31,False,1.08,0.797952,0.202048,3.28085,0.111094
35,46,0.18,False,1.14,0.866039,0.133961,3.228583,0.097404
36,340,1.36,False,1.05,0.983369,0.016631,3.19269,0.069525
37,9,0.04,False,1.08,0.693126,0.306874,3.534118,0.105521
38,1023,4.09,False,0.96,0.992877,0.007123,3.083744,0.05119
39,74,0.3,False,1.14,0.857492,0.142508,3.199944,0.109399
40,206,0.82,False,1.07,0.962746,0.037254,3.155492,0.083535
41,143,0.57,False,1.07,0.924058,0.075942,3.201089,0.095689
42,89,0.36,False,1.08,0.869257,0.130743,3.283638,0.102044
43,1142,4.57,False,0.97,0.99426,0.00574,3.120095,0.059312
44,158,0.63,False,1.1,0.887291,0.112709,3.207945,0.096651
45,1175,4.7,False,0.98,0.992004,0.007996,3.106314,0.056794
46,77,0.31,False,1.08,0.699886,0.300114,3.526872,0.108463
47,76,0.3,False,1.09,0.893186,0.106814,3.197868,0.088131
48,80,0.32,False,1.07,0.795622,0.204378,3.348818,0.108364
49,357,1.43,False,1.06,0.934397,0.065603,3.053468,0.076454
50,229,0.92,False,1.07,0.959229,0.040771,3.137881,0.080078
51,22,0.09,False,1.11,0.786147,0.213853,3.303543,0.150779
52,202,0.81,False,1.11,0.835217,0.164783,3.272771,0.097962
53,55,0.22,False,1.1,0.756391,0.243609,3.303977,0.103708
54,77,0.31,False,1.06,0.693345,0.306655,3.544492,0.096016
55,56,0.22,False,1.08,0.897971,0.102029,3.204361,0.087342
56,309,1.24,False,1.13,0.916468,0.083532,3.051567,0.076276
57,10,0.04,False,1.11,0.781061,0.218939,3.274017,0.099029
58,8,0.03,False,1.26,0.671489,0.328511,3.542879,0.105268
59,393,1.57,False,1.09,0.947769,0.052231,2.99075,0.071715
60,4,0.02,False,1.16,0.681057,0.318943,3.465664,0.129715
61,76,0.3,False,1.09,0.797762,0.202238,3.29324,0.100896
62,618,2.47,False,1.03,0.980829,0.019171,3.167381,0.0654
63,67,0.27,False,1.07,0.910575,0.089425,3.212201,0.101575
64,202,0.81,False,1.06,0.965831,0.034169,3.151507,0.069458
65,77,0.31,False,1.09,0.661796,0.338204,3.365618,0.110551
66,675,2.7,False,1.04,0.981404,0.018596,3.033754,0.058967
67,344,1.38,False,1.05,0.970817,0.029183,3.186022,0.082104
68,61,0.24,False,1.11,0.631889,0.368111,3.407851,0.122087
69,261,1.04,False,1.1,0.957202,0.042798,2.985848,0.067489
70,776,3.1,False,1.03,0.983683,0.016317,3.058168,0.060195
71,849,3.4,False,1.06,0.959707,0.040293,3.036025,0.0694
72,8,0.03,False,1.18,0.781857,0.218143,3.217182,0.091822
73,77,0.31,False,1.09,0.773651,0.226349,3.283442,0.138033
74,1162,4.65,True,0.96,1.0,0.0,3.109321,0.053444
75,1,0.0,False,1.32,0.382625,0.617375,4.34676,0.0
76,781,3.12,False,1.03,0.988338,0.011662,3.038077,0.057161
77,29,0.12,False,0.98,0.871121,0.128879,3.29959,0.107129
78,1,0.0,False,0.99,0.379309,0.620691,3.632016,0.0
79,142,0.57,False,1.08,0.937221,0.062779,3.211749,0.09121
80,94,0.38,False,1.1,0.964438,0.035562,3.184567,0.094097
81,947,3.79,False,1.01,0.989846,0.010154,3.084615,0.059013
82,56,0.22,False,1.09,0.930772,0.069228,3.186312,0.09602
83,468,1.87,False,1.05,0.979512,0.020488,3.088162,0.072165
84,7,0.03,False,1.07,0.750964,0.249036,3.224882,0.062668
85,188,0.75,False,1.07,0.9422,0.0578,3.1629,0.075187
86,940,3.76,False,1.04,0.96419,0.03581,3.057381,0.064126
87,77,0.31,False,1.06,0.776343,0.223657,3.34512,0.09522
88,457,1.83,False,1.04,0.989926,0.010074,3.163122,0.063701
89,66,0.26,False,1.09,0.862735,0.137265,3.222964,0.099798
90,48,0.19,False,1.11,0.74512,0.25488,3.427349,0.082809
91,323,1.29,False,1.09,0.945499,0.054501,3.181813,0.085613
92,223,0.89,False,1.09,0.931397,0.068603,2.948162,0.065896
93,65,0.26,False,1.06,0.924163,0.075837,3.248966,0.071817
94,238,0.95,False,1.12,0.909683,0.090317,2.94315,0.07226
95,436,1.74,False,1.05,0.982613,0.017387,3.142359,0.067154
96,58,0.23,False,1.1,0.830056,0.169944,3.249763,0.099152
97,54,0.22,False,1.11,0.851542,0.148458,3.290694,0.074474
98,1,0.0,False,0.99,0.58054,0.41946,3.727112,0.0
99,195,0.78,False,1.03,0.97072,0.02928,3.180315,0.070781
