cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,87,0.35,False,1.08,0.836521,0.163479,3.762355,0.18456
1,147,0.59,False,1.14,0.975526,0.024474,4.40508,0.142752
2,156,0.62,False,1.13,0.942764,0.057236,4.306247,0.164291
3,874,3.5,False,1.01,0.998338,0.001662,4.777908,0.098916
4,98,0.39,False,1.07,0.935118,0.064882,4.26016,0.165667
5,192,0.77,False,1.07,0.937277,0.062723,4.30215,0.172277
6,146,0.58,False,1.07,0.977928,0.022072,4.988008,0.115445
7,60,0.24,False,1.05,0.975425,0.024575,4.736666,0.120703
8,105,0.42,False,1.08,0.975536,0.024464,4.679686,0.159999
9,254,1.02,False,1.05,0.989497,0.010503,4.864041,0.121332
10,391,1.56,False,1.06,0.963383,0.036617,4.36344,0.137872
11,116,0.46,False,1.07,0.986481,0.013519,5.028584,0.119749
12,98,0.39,False,1.06,0.886184,0.113816,4.056596,0.17802
13,362,1.45,False,1.07,0.991917,0.008083,4.639203,0.116684
14,188,0.75,False,1.09,0.784892,0.215108,3.933933,0.161737
15,9,0.04,False,0.99,0.593364,0.406636,5.034377,0.140335
16,519,2.08,False,1.04,0.988262,0.011738,4.673464,0.128191
17,90,0.36,False,1.09,0.870808,0.129192,5.083273,0.165225
18,71,0.28,False,1.09,0.928649,0.071351,5.084821,0.206679
19,532,2.13,False,1.04,0.994848,0.005152,4.703031,0.100745
20,128,0.51,False,1.04,0.982919,0.017081,5.00108,0.14047
21,316,1.26,False,1.04,0.978491,0.021509,4.579636,0.148518
22,409,1.64,False,1.05,0.996378,0.003622,4.613078,0.142754
23,847,3.39,False,0.99,0.998164,0.001836,4.776636,0.082966
24,238,0.95,False,1.08,0.970074,0.029926,4.485476,0.135845
25,17,0.07,False,1.09,0.932922,0.067078,5.001868,0.177822
26,190,0.76,False,1.06,0.950411,0.049589,4.46368,0.161775
27,72,0.29,False,1.05,0.957634,0.042366,4.914511,0.168924
28,377,1.51,False,1.07,0.909692,0.090308,4.320793,0.140309
29,63,0.25,False,1.03,0.911353,0.088647,4.189317,0.163691
30,46,0.18,False,1.13,0.956625,0.043375,4.71369,0.14372
31,477,1.91,False,1.06,0.989716,0.010284,4.6208,0.128181
32,58,0.23,False,1.16,0.840934,0.159066,3.812518,0.198147
33,370,1.48,False,1.05,0.995194,0.004806,4.64636,0.111547
34,82,0.33,False,1.05,0.985398,0.014602,4.960693,0.141227
35,96,0.38,False,1.07,0.915219,0.084781,5.060033,0.19608
36,62,0.25,False,1.05,0.971334,0.028666,4.865918,0.135123
37,114,0.46,False,1.15,0.938674,0.061326,4.034491,0.19015
38,271,1.08,False,1.08,0.974471,0.025529,4.494656,0.140625
39,64,0.26,False,1.07,0.966676,0.033324,4.240454,0.125269
40,170,0.68,False,1.04,0.956924,0.043076,4.389972,0.125993
41,82,0.33,False,1.05,0.740209,0.259791,5.335131,0.182159
42,252,1.01,False,1.07,0.979255,0.020745,4.630776,0.13388
43,59,0.24,False,1.05,0.970409,0.029591,4.929461,0.155945
44,1,0.0,False,1.42,0.926439,0.073561,5.100846,0.0
45,70,0.28,False,1.07,0.961042,0.038958,4.59374,0.161251
46,958,3.83,False,0.99,0.997606,0.002394,4.785162,0.088092
47,27,0.11,False,1.17,0.882673,0.117327,4.657514,0.210662
48,478,1.91,False,1.05,0.99219,0.00781,4.96405,0.107851
49,190,0.76,False,1.09,0.860132,0.139868,4.099097,0.165466
50,103,0.41,False,1.11,0.91706,0.08294,4.040711,0.149408
51,79,0.32,False,1.08,0.958497,0.041503,5.148812,0.145414
52,927,3.71,True,0.99,1.0,-0.0,4.789975,0.086853
53,73,0.29,False,1.07,0.933321,0.066679,4.319543,0.168816
54,218,0.87,False,1.02,0.9424,0.0576,4.41139,0.143933
55,70,0.28,False,1.06,0.906111,0.093889,4.669504,0.199648
56,842,3.37,False,0.98,0.997952,0.002048,4.779212,0.084583
57,342,1.37,False,1.03,0.993622,0.006378,4.972962,0.106598
58,63,0.25,False,1.03,0.974871,0.025129,4.786646,0.141981
59,75,0.3,False,1.1,0.912195,0.087805,4.033681,0.145454
60,346,1.38,False,1.08,0.967818,0.032182,4.473002,0.140868
61,59,0.24,False,1.06,0.930438,0.069562,4.459756,0.137163
62,231,0.92,False,1.05,0.954935,0.045065,4.413509,0.132345
63,835,3.34,False,0.99,0.997579,0.002421,4.780189,0.089602
64,399,1.6,False,1.04,0.99445,0.00555,4.916889,0.10167
65,208,0.83,False,1.04,0.977075,0.022925,4.92686,0.124882
66,68,0.27,False,1.09,0.950514,0.049486,4.971865,0.182754
67,392,1.57,False,1.07,0.974429,0.025571,4.519051,0.125613
68,465,1.86,False,1.06,0.993043,0.006957,4.726557,0.104301
69,113,0.45,False,1.12,0.912592,0.087408,4.100514,0.186569
70,84,0.34,False,1.06,0.970132,0.029868,5.093633,0.151805
71,352,1.41,False,1.04,0.994152,0.005848,4.882442,0.100144
72,335,1.34,False,1.07,0.945137,0.054863,4.387787,0.122965
73,832,3.33,False,0.99,0.99835,0.00165,4.775788,0.096618
74,643,2.57,False,1.02,0.996676,0.003324,4.728845,0.095156
75,143,0.57,False,1.07,0.974637,0.025363,4.952897,0.139981
76,68,0.27,False,1.09,0.889805,0.110195,5.21164,0.173934
77,57,0.23,False,1.07,0.947002,0.052998,5.19589,0.122097
78,150,0.6,False,1.09,0.984321,0.015679,4.800925,0.174549
79,721,2.88,False,1.01,0.997311,0.002689,4.803106,0.095093
80,68,0.27,False,1.04,0.950174,0.049826,5.040897,0.192075
