cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,60,0.24,False,1.12,0.905922,0.094078,6.742035,0.149511
1,146,0.58,False,1.08,0.994768,0.005232,6.474528,0.094036
2,286,1.14,False,1.06,0.984259,0.015741,6.2291,0.108148
3,208,0.83,False,1.05,0.685025,0.314975,5.643914,0.140617
4,307,1.23,False,1.11,0.990028,0.009972,6.175751,0.109107
5,363,1.45,True,1.0,1.0,-0.0,6.368502,0.087625
6,369,1.48,False,0.98,0.991174,0.008826,6.361835,0.084994
7,213,0.85,False,1.04,0.989502,0.010498,6.504344,0.113862
8,5,0.02,False,1.07,0.922124,0.077876,6.158137,0.088674
9,118,0.47,False,1.15,0.913357,0.086643,5.893545,0.150562
10,47,0.19,False,1.14,0.954927,0.045073,6.068718,0.167671
11,648,2.59,False,1.07,0.965011,0.034989,6.067344,0.098741
12,38,0.15,False,1.09,0.85415,0.14585,5.506467,0.213559
13,402,1.61,False,1.06,0.995438,0.004562,6.26334,0.098796
14,604,2.42,False,0.98,0.996994,0.003006,6.387484,0.083039
15,199,0.8,False,1.09,0.903451,0.096549,5.987168,0.111444
16,608,2.43,False,1.0,0.992,0.008,6.383592,0.085659
17,472,1.89,False,1.04,0.991812,0.008188,6.354011,0.11525
18,108,0.43,False,1.08,0.922801,0.077199,5.916818,0.109222
19,213,0.85,False,1.06,0.991144,0.008856,6.276518,0.108832
20,326,1.3,False,1.05,0.994908,0.005092,6.260936,0.100617
21,570,2.28,False,0.99,0.996802,0.003198,6.382944,0.080035
22,186,0.74,False,1.08,0.984236,0.015764,6.234437,0.108221
23,58,0.23,False,1.18,0.908819,0.091181,5.755586,0.180751
24,388,1.55,False,1.05,0.995697,0.004303,6.36401,0.107553
25,70,0.28,False,1.02,0.977552,0.022448,6.56628,0.126418
26,87,0.35,False,1.1,0.974862,0.025138,6.200459,0.136602
27,90,0.36,False,1.09,0.949692,0.050308,5.921117,0.141541
28,329,1.32,False,1.05,0.996148,0.003852,6.275846,0.091756
29,260,1.04,False,1.08,0.955344,0.044656,6.116638,0.105144
30,106,0.42,False,1.12,0.663868,0.336132,5.339859,0.225476
31,47,0.19,False,1.17,0.781401,0.218599,5.728456,0.127417
32,623,2.49,False,0.99,0.995958,0.004042,6.381066,0.081989
33,566,2.26,False,0.98,0.998694,0.001306,6.385741,0.0806
