cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,429,1.72,False,1.1,0.963943,0.036057,4.798777,0.117964
1,710,2.84,False,0.97,0.997148,0.002852,4.904013,0.09109
2,8,0.03,False,1.22,0.892952,0.107048,5.022331,0.209831
3,94,0.38,False,1.13,0.785482,0.214518,4.567097,0.154259
4,129,0.52,False,1.08,0.965038,0.034962,5.060895,0.139658
5,172,0.69,False,1.07,0.956893,0.043107,4.801563,0.130817
6,198,0.79,False,1.13,0.958767,0.041233,4.732602,0.141793
7,2,0.01,False,1.3,0.852024,0.147976,5.269926,0.143655
8,87,0.35,False,1.1,0.802879,0.197121,5.213843,0.153589
9,259,1.04,False,1.06,0.988909,0.011091,5.00757,0.098819
10,525,2.1,False,1.07,0.9755,0.0245,5.033051,0.109725
11,629,2.52,False,1.06,0.98039,0.01961,4.836243,0.102842
12,676,2.7,False,1.02,0.99508,0.00492,4.878265,0.106732
13,210,0.84,False,1.09,0.968458,0.031542,4.998413,0.112115
14,140,0.56,False,1.04,0.870025,0.129975,4.682587,0.122999
15,147,0.59,False,1.16,0.781456,0.218544,4.504936,0.138213
16,61,0.24,False,1.09,0.912872,0.087128,5.106212,0.10056
17,35,0.14,False,1.12,0.950887,0.049113,4.773782,0.117465
18,63,0.25,False,1.11,0.871835,0.128165,5.13385,0.123001
19,93,0.37,False,1.11,0.910495,0.089505,5.104422,0.145288
20,83,0.33,False,1.08,0.939056,0.060944,5.105902,0.114402
21,265,1.06,False,1.08,0.814369,0.185631,4.616036,0.119362
22,71,0.28,False,1.09,0.910488,0.089512,5.097941,0.15201
23,741,2.96,False,1.0,0.996041,0.003959,4.889152,0.097603
24,542,2.17,False,1.05,0.989909,0.010091,4.960241,0.095389
25,300,1.2,False,1.05,0.983444,0.016556,4.826035,0.10168
26,322,1.29,False,1.09,0.942025,0.057975,4.752621,0.126384
27,6,0.02,False,1.17,0.654596,0.345404,5.006702,0.207021
28,79,0.32,False,1.11,0.861985,0.138015,5.181155,0.144416
29,156,0.62,False,1.08,0.979203,0.020797,4.982561,0.10656
30,88,0.35,False,1.09,0.780085,0.219915,4.73795,0.156536
31,632,2.53,False,1.04,0.991727,0.008273,4.874269,0.100733
32,91,0.36,False,1.13,0.77132,0.22868,4.492524,0.152242
33,61,0.24,False,1.09,0.98081,0.01919,5.081572,0.117627
34,175,0.7,False,1.06,0.973329,0.026671,5.011798,0.103344
35,1221,4.88,False,1.06,0.989007,0.010993,4.851765,0.100189
36,313,1.25,False,1.07,0.980753,0.019247,4.852158,0.110212
37,328,1.31,False,1.05,0.992544,0.007456,4.962499,0.106817
38,717,2.87,True,0.98,1.0,0.0,4.919332,0.095256
39,125,0.5,False,1.09,0.943646,0.056354,4.973831,0.120606
40,83,0.33,False,1.09,0.860091,0.139909,5.169228,0.150046
41,435,1.74,False,1.05,0.987899,0.012101,5.032422,0.098639
42,528,2.11,False,1.06,0.957503,0.042497,4.831035,0.115171
43,541,2.16,False,1.02,0.990269,0.009731,4.818032,0.102167
44,64,0.26,False,1.09,0.93415,0.06585,5.059149,0.129443
45,1,0.0,False,1.28,0.757425,0.242575,5.499298,0.0
46,78,0.31,False,1.09,0.917222,0.082778,5.077335,0.122879
47,70,0.28,False,1.09,0.88917,0.11083,5.13957,0.119993
48,315,1.26,False,1.04,0.989663,0.010337,4.99151,0.105199
49,4,0.02,False,1.18,0.89209,0.10791,5.048304,0.124099
50,206,0.82,False,1.05,0.973681,0.026319,4.998611,0.112856
51,68,0.27,False,1.08,0.947021,0.052979,5.049845,0.123155
52,178,0.71,False,1.07,0.964722,0.035278,4.784319,0.124436
53,78,0.31,False,1.1,0.905926,0.094074,5.095688,0.153902
54,927,3.71,False,0.97,0.996595,0.003405,4.905335,0.088149
55,153,0.61,False,1.1,0.942216,0.057784,4.707466,0.120507
56,73,0.29,False,1.11,0.969544,0.030456,5.010064,0.116453
57,366,1.46,False,1.06,0.776331,0.223669,4.611506,0.141637
58,410,1.64,False,1.06,0.973297,0.026703,4.796329,0.103737
59,994,3.98,False,0.98,0.993947,0.006053,4.916497,0.088175
60,72,0.29,False,1.08,0.923137,0.076863,5.104781,0.132614
61,1039,4.16,False,0.98,0.996951,0.003049,4.927557,0.091157
62,124,0.5,False,1.04,0.947321,0.052679,5.092753,0.112785
63,84,0.34,False,1.05,0.976334,0.023666,4.995669,0.116254
64,661,2.64,False,1.04,0.994443,0.005557,4.88763,0.100742
65,73,0.29,False,1.06,0.943649,0.056351,5.055056,0.124027
66,713,2.85,False,1.01,0.993423,0.006577,4.944443,0.09626
67,66,0.26,False,1.11,0.946928,0.053072,5.076451,0.121117
68,95,0.38,False,1.07,0.97401,0.02599,4.790682,0.124114
69,228,0.91,False,1.07,0.977596,0.022404,5.013763,0.116225
70,124,0.5,False,1.07,0.868491,0.131509,4.639444,0.132026
71,90,0.36,False,1.08,0.957493,0.042507,5.01295,0.126398
72,221,0.88,False,1.05,0.986803,0.013197,5.015475,0.10413
73,931,3.72,False,0.96,0.996883,0.003117,4.910725,0.084413
74,626,2.5,False,1.03,0.990417,0.009583,4.924384,0.107234
75,340,1.36,False,1.07,0.958785,0.041215,4.812492,0.114264
76,4,0.02,False,1.35,0.899323,0.100677,5.237861,0.065388
77,76,0.3,False,1.05,0.822385,0.177615,5.241292,0.146417
78,68,0.27,False,1.05,0.958717,0.041283,5.033765,0.101084
79,70,0.28,False,1.09,0.935436,0.064564,5.060717,0.131792
80,66,0.26,False,1.09,0.961825,0.038175,5.011332,0.124516
81,61,0.24,False,1.06,0.931668,0.068332,5.113289,0.118192
82,72,0.29,False,1.09,0.93432,0.06568,5.126153,0.117113
83,466,1.86,False,1.03,0.987089,0.012911,4.843199,0.10279
84,441,1.76,False,1.05,0.986535,0.013465,4.870046,0.108394
85,74,0.3,False,1.08,0.939587,0.060413,5.167541,0.113215
86,65,0.26,False,1.08,0.897964,0.102036,5.116334,0.134559
87,100,0.4,False,1.04,0.98418,0.01582,5.002798,0.095108
88,54,0.22,False,1.09,0.965959,0.034041,5.014061,0.119595
89,196,0.78,False,1.07,0.972158,0.027842,4.837726,0.104507
90,62,0.25,False,1.08,0.907577,0.092423,5.113161,0.136598
91,296,1.18,False,1.05,0.984923,0.015077,4.995318,0.104989
92,111,0.44,False,1.09,0.973644,0.026356,5.040314,0.118022
93,110,0.44,False,1.04,0.934835,0.065165,5.066596,0.117806
94,77,0.31,False,1.11,0.879743,0.120257,5.150496,0.142664
95,87,0.35,False,1.05,0.946006,0.053994,5.100457,0.11225
96,72,0.29,False,1.07,0.949445,0.050555,5.059307,0.123378
97,19,0.08,False,1.08,0.767586,0.232414,4.847448,0.154051
98,113,0.45,False,1.13,0.955362,0.044638,4.728465,0.133126
99,198,0.79,False,1.11,0.968589,0.031411,4.767201,0.12194
