cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,74,0.3,False,1.12,0.918915,0.081085,5.349385,0.164173
1,482,1.93,False,1.06,0.996805,0.003195,5.757628,0.143126
2,2,0.01,False,1.09,0.943768,0.056232,5.973431,0.045195
3,460,1.84,False,1.01,0.998068,0.001932,5.796124,0.099413
4,59,0.24,False,1.1,0.764295,0.235705,5.133078,0.182295
5,500,2.0,False,1.06,0.982919,0.017081,5.601624,0.13453
6,69,0.28,False,1.08,0.954215,0.045785,6.219119,0.123554
7,674,2.7,False,1.05,0.995597,0.004403,5.759741,0.110939
8,51,0.2,False,1.02,0.966833,0.033167,5.879535,0.133682
9,81,0.32,False,1.1,0.759023,0.240977,5.099958,0.160026
10,655,2.62,False,1.0,0.997362,0.002638,5.793573,0.098661
11,23,0.09,False,1.16,0.774763,0.225237,5.339691,0.187057
12,62,0.25,False,1.04,0.963077,0.036923,5.982031,0.12657
13,285,1.14,False,1.07,0.952205,0.047795,5.584939,0.127995
14,81,0.32,False,1.03,0.985972,0.014028,5.913441,0.139438
15,155,0.62,False,1.1,0.97019,0.02981,5.562002,0.156983
16,187,0.75,False,1.09,0.955907,0.044093,6.092891,0.139796
17,350,1.4,False,1.04,0.991257,0.008743,5.729486,0.139645
18,183,0.73,False,1.06,0.978022,0.021978,5.617698,0.159099
19,198,0.79,False,1.06,0.994419,0.005581,5.945805,0.113364
20,62,0.25,False,1.16,0.741213,0.258787,4.929821,0.198467
21,591,2.36,False,1.04,0.995356,0.004644,5.754556,0.09985
22,870,3.48,False,1.07,0.989479,0.010521,5.716947,0.121945
23,314,1.26,False,1.05,0.963689,0.036311,5.65482,0.138217
24,685,2.74,False,0.99,0.99791,0.00209,5.804764,0.092539
25,144,0.58,False,1.06,0.938193,0.061807,5.499385,0.162834
26,273,1.09,False,1.07,0.956762,0.043238,5.540319,0.130635
