cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,12,0.05,False,1.09,0.722617,0.277383,4.377847,0.169442
1,57,0.23,False,1.08,0.931706,0.068294,4.356422,0.144391
2,246,0.98,False,1.09,0.965387,0.034613,3.926825,0.121813
3,72,0.29,False,1.04,0.91125,0.08875,3.965722,0.150275
4,193,0.77,False,1.04,0.980829,0.019171,4.299979,0.124345
5,74,0.3,False,1.06,0.699126,0.300874,4.82267,0.181046
6,586,2.34,False,1.05,0.980208,0.019792,3.991299,0.11105
7,82,0.33,False,1.07,0.840565,0.159435,4.486536,0.223872
8,268,1.07,False,1.08,0.871427,0.128573,3.90327,0.144552
9,71,0.28,False,1.12,0.966292,0.033708,4.297122,0.141039
10,65,0.26,False,1.1,0.771989,0.228011,4.665694,0.21263
11,66,0.26,False,1.04,0.967689,0.032311,4.37981,0.159585
12,319,1.28,False,1.07,0.975206,0.024794,3.85157,0.13013
13,584,2.34,False,1.06,0.983234,0.016766,3.934505,0.11907
14,427,1.71,False,1.06,0.96425,0.03575,3.962811,0.131187
15,65,0.26,False,1.1,0.944954,0.055046,4.443025,0.159392
16,13,0.05,False,1.19,0.755248,0.244752,4.016247,0.162442
17,601,2.4,False,1.04,0.992799,0.007201,4.208439,0.109508
18,149,0.6,False,1.13,0.870838,0.129162,3.705585,0.131577
19,90,0.36,False,1.07,0.700385,0.299615,4.551629,0.241552
20,2,0.01,False,1.02,0.653688,0.346312,5.084517,0.05133
21,81,0.32,False,1.08,0.720363,0.279637,4.674224,0.200145
22,226,0.9,False,1.07,0.940684,0.059316,3.946286,0.148826
23,831,3.32,False,1.03,0.995191,0.004809,4.09976,0.101133
24,788,3.15,False,1.03,0.989982,0.010018,4.023055,0.112756
25,1296,5.18,True,0.97,1.0,0.0,4.158372,0.091454
26,10,0.04,False,1.02,0.690118,0.309882,4.460097,0.118525
27,546,2.18,False,1.04,0.989363,0.010637,4.072941,0.108959
28,70,0.28,False,1.04,0.819458,0.180542,4.445454,0.192562
29,642,2.57,False,1.02,0.993735,0.006265,4.032019,0.098832
30,420,1.68,False,1.05,0.989477,0.010523,4.254585,0.121487
31,154,0.62,False,1.15,0.683197,0.316803,3.543867,0.147808
32,77,0.31,False,1.06,0.806377,0.193623,4.45925,0.201199
33,400,1.6,False,1.09,0.980166,0.019834,3.911493,0.134968
34,366,1.46,False,1.04,0.989452,0.010548,4.099106,0.128995
35,1512,6.05,False,0.95,0.997733,0.002267,4.183262,0.091981
36,164,0.66,False,1.08,0.974217,0.025783,4.353869,0.151034
37,1180,4.72,False,1.0,0.998102,0.001898,4.111986,0.103541
38,1,0.0,False,0.9,0.574652,0.425348,5.133445,0.0
39,315,1.26,False,1.03,0.978246,0.021754,4.314106,0.117859
40,79,0.32,False,1.07,0.869069,0.130931,4.560977,0.206136
41,192,0.77,False,1.05,0.987934,0.012066,4.340379,0.14283
42,67,0.27,False,1.12,0.935346,0.064654,4.316191,0.176023
43,61,0.24,False,1.1,0.940559,0.059441,4.334731,0.184656
44,158,0.63,False,1.11,0.967513,0.032487,4.198089,0.119065
45,775,3.1,False,1.03,0.996235,0.003765,4.121206,0.105213
46,167,0.67,False,1.11,0.956115,0.043885,3.801335,0.148745
47,85,0.34,False,1.09,0.636066,0.363934,4.985156,0.195948
48,221,0.88,False,1.07,0.974253,0.025747,4.262215,0.148966
49,179,0.72,False,1.05,0.969547,0.030453,4.329139,0.142423
50,12,0.05,False,1.1,0.620768,0.379232,4.267284,0.220797
51,72,0.29,False,1.07,0.770502,0.229498,4.794212,0.184546
52,115,0.46,False,1.08,0.966507,0.033493,4.243711,0.157977
53,66,0.26,False,1.08,0.907948,0.092052,4.43964,0.143007
54,69,0.28,False,1.11,0.831798,0.168202,3.93779,0.164008
55,246,0.98,False,1.15,0.799473,0.200527,3.634986,0.130878
