cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,227,0.91,False,1.07,0.986093,0.013907,6.283465,0.111185
1,3,0.01,False,1.12,0.963514,0.036486,6.501846,0.071213
2,51,0.2,False,1.05,0.98046,0.01954,6.377247,0.103816
3,53,0.21,False,1.13,0.873859,0.126141,5.997798,0.138622
4,393,1.57,False,1.03,0.992048,0.007952,6.267732,0.109763
5,346,1.38,False,1.05,0.992485,0.007515,6.404094,0.101498
6,588,2.35,False,1.09,0.872703,0.127297,6.118147,0.117096
7,1290,5.16,False,0.95,0.998081,0.001919,6.358486,0.077131
8,82,0.33,False,1.14,0.956215,0.043785,6.142788,0.114402
9,211,0.84,False,1.12,0.882118,0.117882,6.060267,0.13728
10,77,0.31,False,1.1,0.891863,0.108137,6.568618,0.12787
11,489,1.96,False,1.07,0.991146,0.008854,6.249946,0.101626
12,366,1.46,False,1.05,0.994165,0.005835,6.288977,0.093859
13,91,0.36,False,1.08,0.869796,0.130204,6.504203,0.117887
14,283,1.13,False,1.06,0.922036,0.077964,6.164113,0.113129
15,189,0.76,False,1.06,0.97813,0.02187,6.413525,0.118725
16,267,1.07,False,1.05,0.991875,0.008125,6.225695,0.0939
17,59,0.24,False,1.12,0.933394,0.066606,6.444201,0.102895
18,256,1.02,False,1.08,0.978029,0.021971,6.240662,0.104879
19,62,0.25,False,1.11,0.957271,0.042729,6.451884,0.131597
20,545,2.18,False,1.06,0.993034,0.006966,6.276124,0.092627
21,81,0.32,False,1.07,0.925659,0.074341,6.504083,0.113303
22,61,0.24,False,1.05,0.927549,0.072451,6.524209,0.123838
23,227,0.91,False,1.04,0.991862,0.008138,6.407875,0.09258
24,432,1.73,False,1.07,0.973348,0.026652,6.219641,0.111682
25,281,1.12,False,1.08,0.944749,0.055251,6.185044,0.12154
26,66,0.26,False,1.1,0.980069,0.019931,6.169172,0.096787
27,190,0.76,False,1.1,0.982632,0.017368,6.234669,0.113636
28,348,1.39,False,1.04,0.982482,0.017518,6.254893,0.096901
29,79,0.32,False,1.05,0.900919,0.099081,6.509512,0.116951
30,349,1.4,False,1.06,0.966332,0.033668,6.197538,0.108082
