cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,81,0.32,False,1.14,0.907215,0.092785,4.939426,0.174724
1,464,1.86,False,1.04,0.995583,0.004417,5.311584,0.098902
2,64,0.26,False,1.04,0.980418,0.019582,5.127063,0.115843
3,103,0.41,False,1.11,0.901049,0.098951,4.876588,0.172245
4,233,0.93,False,1.08,0.956656,0.043344,5.13268,0.159335
5,137,0.55,False,1.13,0.96034,0.03966,4.997149,0.151109
6,240,0.96,False,1.1,0.946235,0.053765,5.015324,0.153609
7,60,0.24,False,1.01,0.970625,0.029375,5.539353,0.148465
8,8,0.03,False,1.05,0.833236,0.166764,5.182613,0.196831
9,711,2.84,False,1.02,0.996801,0.003199,5.306867,0.094992
10,514,2.06,False,1.05,0.932432,0.067568,5.119494,0.12219
11,595,2.38,False,1.04,0.996506,0.003494,5.284263,0.110307
12,425,1.7,False,1.04,0.99364,0.00636,5.332871,0.11499
13,312,1.25,False,1.02,0.995776,0.004224,5.241192,0.1083
14,405,1.62,False,1.03,0.993712,0.006288,5.290977,0.110668
15,314,1.26,False,1.09,0.979045,0.020955,5.576893,0.139199
16,74,0.3,False,1.11,0.887231,0.112769,5.782955,0.170234
17,61,0.24,False,1.11,0.948488,0.051512,5.32442,0.150177
18,485,1.94,False,1.08,0.989935,0.010065,5.263602,0.119673
19,196,0.78,False,1.04,0.990261,0.009739,5.495225,0.127766
20,887,3.55,False,0.97,0.99748,0.00252,5.361839,0.088798
21,793,3.17,False,1.07,0.95018,0.04982,5.12231,0.127741
22,84,0.34,False,1.07,0.838198,0.161802,5.757366,0.21434
23,98,0.39,False,1.11,0.95791,0.04209,5.079792,0.144769
24,159,0.64,False,1.05,0.986561,0.013439,5.460494,0.121331
25,75,0.3,False,1.07,0.981227,0.018773,5.363981,0.158051
26,90,0.36,False,1.12,0.909647,0.090353,4.835152,0.178324
27,242,0.97,False,1.05,0.988131,0.011869,5.229874,0.128112
28,806,3.22,False,0.99,0.997522,0.002478,5.365828,0.092271
29,168,0.67,False,1.06,0.986486,0.013514,5.132443,0.098585
30,395,1.58,False,1.06,0.778704,0.221296,4.865074,0.137163
31,110,0.44,False,1.1,0.922841,0.077159,4.998326,0.133229
32,168,0.67,False,1.03,0.992264,0.007736,5.462289,0.100724
33,91,0.36,False,1.11,0.944889,0.055111,5.01861,0.199906
34,133,0.53,False,1.12,0.945419,0.054581,5.042905,0.159028
35,399,1.6,False,1.06,0.986157,0.013843,5.231366,0.123573
36,50,0.2,False,1.08,0.97451,0.02549,5.42777,0.115191
37,131,0.52,False,1.1,0.986618,0.013382,5.37324,0.137495
38,57,0.23,False,1.09,0.799517,0.200483,5.14655,0.174342
39,110,0.44,False,1.1,0.977951,0.022049,5.126482,0.147239
40,243,0.97,False,1.06,0.989349,0.010651,5.32553,0.125694
41,156,0.62,False,1.08,0.985109,0.014891,5.550977,0.141133
42,60,0.24,False,1.07,0.901037,0.098963,5.136306,0.161532
43,307,1.23,False,1.05,0.991871,0.008129,5.222071,0.124136
44,56,0.22,False,1.13,0.971682,0.028318,5.382967,0.139765
45,142,0.57,False,1.08,0.943878,0.056122,5.536572,0.159989
46,442,1.77,False,1.08,0.991519,0.008481,5.254719,0.129111
47,88,0.35,False,1.08,0.929391,0.070609,5.603487,0.189399
48,26,0.1,False,1.12,0.906773,0.093227,5.31669,0.158639
49,147,0.59,False,1.06,0.988274,0.011726,5.509442,0.108584
50,373,1.49,False,1.05,0.95537,0.04463,5.122012,0.132658
51,183,0.73,False,1.09,0.948321,0.051679,5.142725,0.151629
52,578,2.31,False,1.06,0.991162,0.008838,5.290163,0.109109
53,424,1.7,False,1.05,0.986764,0.013236,5.525426,0.130213
54,448,1.79,False,1.05,0.979355,0.020645,5.140564,0.139679
55,397,1.59,False,1.05,0.958484,0.041516,5.164385,0.129589
56,355,1.42,False,1.04,0.989903,0.010097,5.468938,0.116319
57,772,3.09,False,0.97,0.998308,0.001692,5.368049,0.091425
58,60,0.24,False,1.12,0.756157,0.243843,4.557885,0.150055
59,244,0.98,False,1.05,0.884913,0.115087,4.970635,0.150928
60,228,0.91,False,1.07,0.975527,0.024473,5.179789,0.129027
61,51,0.2,False,1.13,0.921057,0.078943,5.253601,0.125634
62,95,0.38,False,1.1,0.921083,0.078917,4.961809,0.15373
63,62,0.25,False,1.07,0.959086,0.040914,5.601097,0.151655
64,123,0.49,False,1.12,0.9176,0.0824,4.861762,0.172881
65,390,1.56,False,1.07,0.921512,0.078488,5.044898,0.118657
66,226,0.9,False,1.06,0.994471,0.005529,5.432706,0.118785
67,88,0.35,False,1.09,0.95392,0.04608,5.653134,0.143979
68,467,1.87,False,1.04,0.99067,0.00933,5.498903,0.123761
69,45,0.18,False,1.08,0.962663,0.037337,5.492921,0.107447
70,355,1.42,False,1.05,0.99184,0.00816,5.278311,0.115754
71,341,1.36,False,1.05,0.993521,0.006479,5.483786,0.115511
72,197,0.79,False,1.09,0.964519,0.035481,5.225164,0.148766
73,2,0.01,False,1.4,0.64653,0.35347,5.001444,0.091623
74,160,0.64,False,1.09,0.836814,0.163186,4.977686,0.140074
75,469,1.88,False,1.05,0.995688,0.004312,5.299914,0.108276
76,265,1.06,False,1.04,0.993393,0.006607,5.437795,0.091186
77,100,0.4,False,1.12,0.824047,0.175953,4.824919,0.172999
78,99,0.4,False,1.13,0.875999,0.124001,4.834273,0.149582
79,53,0.21,False,1.13,0.903331,0.096669,4.868901,0.140996
80,60,0.24,False,1.06,0.982969,0.017031,5.448467,0.131668
81,70,0.28,False,1.07,0.964874,0.035126,5.619858,0.155749
82,62,0.25,False,1.08,0.985745,0.014255,5.509123,0.110719
83,809,3.24,False,0.97,0.995627,0.004373,5.382512,0.093179
84,72,0.29,False,1.11,0.953376,0.046624,5.430963,0.145314
85,778,3.11,True,0.95,1.0,0.0,5.366061,0.085406
86,74,0.3,False,1.13,0.765837,0.234163,4.726781,0.154648
87,57,0.23,False,1.1,0.71796,0.28204,4.541398,0.1685
88,68,0.27,False,1.05,0.964446,0.035554,5.541017,0.133974
89,931,3.72,False,0.96,0.998218,0.001782,5.370345,0.090875
90,229,0.92,False,1.05,0.989608,0.010392,5.425949,0.120246
91,63,0.25,False,1.05,0.973364,0.026636,5.544358,0.122069
92,67,0.27,False,1.06,0.961641,0.038359,5.667899,0.152767
93,68,0.27,False,1.08,0.955344,0.044656,5.617294,0.170314
94,224,0.9,False,1.08,0.913983,0.086017,5.026355,0.150041
95,66,0.26,False,1.16,0.855749,0.144251,4.710551,0.170091
96,347,1.39,False,1.05,0.988881,0.011119,5.486953,0.110829
97,73,0.29,False,1.08,0.964099,0.035901,5.194829,0.140126
98,69,0.28,False,1.05,0.886943,0.113057,5.042407,0.159667
99,968,3.87,False,0.98,0.998026,0.001974,5.384708,0.094156
