cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,58,0.23,False,1.12,0.987129,0.012871,5.220644,0.141343
1,759,3.04,False,0.96,0.996899,0.003101,5.49189,0.08829
2,49,0.2,False,1.16,0.800986,0.199014,5.036403,0.142252
3,232,0.93,False,1.06,0.921762,0.078238,5.118514,0.131389
4,285,1.14,False,1.06,0.989843,0.010157,5.347224,0.117032
5,94,0.38,False,1.09,0.862331,0.137669,4.77023,0.186833
6,62,0.25,False,1.11,0.881508,0.118492,4.733563,0.125501
7,64,0.26,False,1.14,0.948292,0.051708,5.456732,0.164446
8,71,0.28,False,1.14,0.955399,0.044601,5.15077,0.130246
9,118,0.47,False,1.08,0.922817,0.077183,5.261768,0.147207
10,5,0.02,False,1.14,0.935905,0.064095,5.600227,0.216248
11,55,0.22,False,1.05,0.956637,0.043363,5.853362,0.189339
12,423,1.69,False,1.06,0.994824,0.005176,5.358187,0.111586
13,175,0.7,False,1.12,0.689024,0.310976,4.556809,0.171876
14,247,0.99,False,1.08,0.910504,0.089496,5.050798,0.154107
15,210,0.84,False,1.05,0.98413,0.01587,5.567992,0.126579
16,105,0.42,False,1.11,0.860554,0.139446,5.02888,0.166113
17,66,0.26,False,1.06,0.977554,0.022446,5.535866,0.138501
18,235,0.94,False,1.07,0.962292,0.037708,5.266224,0.150959
19,58,0.23,False,1.03,0.935545,0.064455,5.891699,0.140434
20,201,0.8,False,1.07,0.956279,0.043721,5.137174,0.136122
21,220,0.88,False,1.06,0.809438,0.190562,4.917767,0.145351
22,61,0.24,False,1.09,0.967136,0.032864,5.632588,0.115651
23,281,1.12,False,1.08,0.955717,0.044283,5.228201,0.11513
24,246,0.98,False,1.05,0.948987,0.051013,5.151748,0.139681
25,182,0.73,False,1.06,0.977751,0.022249,5.755611,0.128932
26,35,0.14,False,1.12,0.911844,0.088156,5.349872,0.193544
27,129,0.52,False,1.13,0.952119,0.047881,5.088647,0.136559
28,59,0.24,False,1.06,0.992008,0.007992,5.61918,0.113462
29,161,0.64,False,1.07,0.970077,0.029923,5.145595,0.146265
30,896,3.58,False,0.98,0.997911,0.002089,5.489662,0.08563
31,44,0.18,False,1.11,0.985588,0.014412,5.611795,0.122577
32,70,0.28,False,1.1,0.981468,0.018532,5.676384,0.137222
33,836,3.34,False,0.99,0.996398,0.003602,5.482921,0.087132
34,417,1.67,False,1.04,0.992586,0.007414,5.625031,0.123754
35,146,0.58,False,1.09,0.837095,0.162905,4.912811,0.132848
36,8,0.03,False,1.07,0.882102,0.117898,5.628454,0.17206
37,49,0.2,False,1.05,0.900863,0.099137,6.040655,0.148182
38,195,0.78,False,1.06,0.99192,0.00808,5.320324,0.139029
39,8,0.03,False,1.17,0.963154,0.036846,5.971577,0.162894
40,560,2.24,False,1.05,0.996023,0.003977,5.362503,0.110082
41,78,0.31,False,1.05,0.973224,0.026776,5.621073,0.148921
42,124,0.5,False,1.06,0.985763,0.014237,5.744423,0.126499
43,60,0.24,False,1.01,0.96172,0.03828,5.827898,0.161341
44,230,0.92,False,1.03,0.979576,0.020424,5.320572,0.150174
45,51,0.2,False,1.04,0.98799,0.01201,5.600651,0.099798
46,48,0.19,False,1.1,0.965386,0.034614,5.624626,0.151409
47,755,3.02,False,1.05,0.994336,0.005664,5.398371,0.10643
48,253,1.01,False,1.08,0.874648,0.125352,5.029149,0.161387
49,186,0.74,False,1.07,0.986707,0.013293,5.339533,0.12813
50,197,0.79,False,1.03,0.992035,0.007965,5.69468,0.121209
51,202,0.81,False,1.07,0.990928,0.009072,5.561397,0.121094
52,319,1.28,False,1.08,0.752457,0.247543,4.798744,0.134825
53,814,3.26,False,0.99,0.999087,0.000913,5.491666,0.086088
54,119,0.48,False,1.12,0.892848,0.107152,4.827733,0.177024
55,61,0.24,False,1.03,0.978841,0.021159,5.248931,0.133476
56,294,1.18,False,1.05,0.991396,0.008604,5.669005,0.134376
57,68,0.27,False,1.11,0.979427,0.020573,5.659978,0.160741
58,10,0.04,False,1.13,0.745718,0.254282,5.489476,0.147012
59,762,3.05,False,0.99,0.997291,0.002709,5.494192,0.094474
60,105,0.42,False,1.08,0.910762,0.089238,4.928152,0.158262
61,313,1.25,False,1.08,0.982378,0.017622,5.312411,0.127353
62,445,1.78,False,1.05,0.993235,0.006765,5.365203,0.114936
63,19,0.08,False,1.18,0.970934,0.029066,5.561163,0.122367
64,81,0.32,False,1.06,0.973048,0.026952,5.1479,0.15142
65,50,0.2,False,1.09,0.947122,0.052878,5.391706,0.155514
66,791,3.16,False,0.96,0.998241,0.001759,5.485999,0.084696
67,162,0.65,False,1.05,0.995579,0.004421,5.351683,0.120842
68,64,0.26,False,1.1,0.984664,0.015336,5.568083,0.143046
69,95,0.38,False,1.06,0.98471,0.01529,5.717337,0.140464
70,135,0.54,False,1.12,0.812428,0.187572,4.706135,0.14278
71,249,1.0,False,1.1,0.958688,0.041312,5.291091,0.144785
72,526,2.1,False,1.04,0.99348,0.00652,5.640531,0.113508
73,853,3.41,False,0.99,0.99839,0.00161,5.494752,0.096612
74,685,2.74,False,1.03,0.998684,0.001316,5.468522,0.121842
75,464,1.86,False,1.03,0.994262,0.005738,5.406703,0.113581
76,349,1.4,False,1.06,0.987275,0.012725,5.709573,0.123071
77,74,0.3,False,1.11,0.763755,0.236245,4.596005,0.177252
78,92,0.37,False,1.11,0.961995,0.038005,5.430593,0.156492
79,212,0.85,False,1.06,0.907031,0.092969,5.070189,0.125117
80,312,1.25,False,1.06,0.994341,0.005659,5.606017,0.115415
81,344,1.38,False,1.05,0.997813,0.002187,5.542691,0.105889
82,672,2.69,False,1.05,0.995914,0.004086,5.411197,0.101936
83,216,0.86,False,1.06,0.988294,0.011706,5.740365,0.130404
84,173,0.69,False,1.07,0.991529,0.008471,5.622435,0.118669
85,257,1.03,False,1.07,0.989712,0.010288,5.225283,0.125092
86,950,3.8,True,1.0,1.0,0.0,5.489693,0.092488
87,104,0.42,False,1.15,0.894624,0.105376,4.9185,0.172268
88,492,1.97,False,1.04,0.995952,0.004048,5.573808,0.104895
89,288,1.15,False,1.08,0.949186,0.050814,5.213909,0.115948
90,114,0.46,False,1.06,0.978054,0.021946,5.784155,0.141965
91,77,0.31,False,1.05,0.878965,0.121035,5.151655,0.147245
92,418,1.67,False,1.09,0.835917,0.164083,4.916104,0.146528
93,71,0.28,False,1.05,0.938941,0.061059,5.145031,0.177662
94,57,0.23,False,1.04,0.981212,0.018788,5.343294,0.148351
95,527,2.11,False,1.04,0.996307,0.003693,5.428881,0.103302
96,259,1.04,False,1.07,0.936429,0.063571,5.070817,0.157616
97,59,0.24,False,1.14,0.944089,0.055911,4.965808,0.147571
98,874,3.5,False,0.97,0.998497,0.001503,5.495942,0.087953
99,166,0.66,False,1.09,0.991329,0.008671,5.251272,0.165357
