cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,491,1.96,False,1.07,0.685806,0.314194,4.838844,0.154643
1,250,1.0,False,1.03,0.993261,0.006739,5.611362,0.1246
2,290,1.16,False,1.07,0.991851,0.008149,5.374916,0.117882
3,365,1.46,False,1.04,0.993312,0.006688,5.362243,0.124981
4,592,2.37,False,0.98,0.99818,0.00182,5.497866,0.084344
5,337,1.35,False,1.06,0.990347,0.009653,5.483907,0.130935
6,606,2.42,False,1.01,0.997844,0.002156,5.500334,0.097947
7,80,0.32,False,1.14,0.844043,0.155957,4.75984,0.176936
8,118,0.47,False,1.16,0.957306,0.042694,5.218941,0.164043
9,6,0.02,False,1.22,0.56449,0.43551,5.266013,0.154194
10,411,1.64,False,1.07,0.967372,0.032628,5.345967,0.14325
11,11,0.04,False,1.19,0.670064,0.329936,5.232851,0.223539
12,99,0.4,False,1.11,0.770743,0.229257,4.8547,0.190112
13,128,0.51,False,1.12,0.638631,0.361369,4.604169,0.192077
14,79,0.32,False,1.08,0.926178,0.073822,5.209344,0.158385
15,189,0.76,False,1.08,0.812629,0.187371,4.982284,0.161555
16,285,1.14,False,1.08,0.987223,0.012777,5.380875,0.149259
17,63,0.25,False,1.0,0.89638,0.10362,5.751998,0.158083
18,137,0.55,False,1.07,0.900117,0.099883,5.040364,0.152247
19,220,0.88,False,1.05,0.996078,0.003922,5.594513,0.114389
20,125,0.5,False,1.05,0.993541,0.006459,5.568724,0.109527
21,272,1.09,False,1.04,0.992665,0.007335,5.631915,0.127123
22,5,0.02,False,1.12,0.875851,0.124149,5.715207,0.074109
23,505,2.02,False,0.99,0.997879,0.002121,5.509446,0.094873
24,66,0.26,False,1.12,0.980847,0.019153,5.592064,0.120416
25,184,0.74,False,1.09,0.811258,0.188742,4.889161,0.150691
26,561,2.24,False,1.05,0.99601,0.00399,5.46966,0.105973
27,82,0.33,False,1.12,0.924226,0.075774,6.031287,0.14468
28,390,1.56,False,1.06,0.989436,0.010564,5.330184,0.140569
29,543,2.17,True,0.97,1.0,-0.0,5.512211,0.085115
30,83,0.33,False,1.09,0.916534,0.083466,5.846746,0.123022
31,541,2.16,False,1.04,0.994024,0.005976,5.634809,0.111872
32,629,2.52,False,0.97,0.997819,0.002181,5.490964,0.087628
33,62,0.25,False,1.08,0.984033,0.015967,5.645465,0.127702
