cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,449,1.8,False,1.04,0.925831,0.074169,3.000529,0.073765
1,337,1.35,False,1.06,0.979643,0.020357,3.031085,0.053801
2,335,1.34,False,1.05,0.970261,0.029739,3.186663,0.081907
3,3,0.01,False,1.14,0.573474,0.426526,3.742738,0.054053
4,596,2.38,False,1.04,0.987516,0.012484,3.163199,0.068988
5,72,0.29,False,1.04,0.769776,0.230224,3.355812,0.127891
6,524,2.1,False,1.02,0.986807,0.013193,3.04453,0.052627
7,123,0.49,False,1.14,0.881572,0.118428,3.080925,0.081213
8,1,0.0,False,1.14,0.658009,0.341991,3.507775,0.0
9,729,2.92,False,1.04,0.976913,0.023087,3.050049,0.058869
10,68,0.27,False,1.08,0.658726,0.341274,3.530541,0.092749
11,306,1.22,False,1.05,0.986314,0.013686,3.195172,0.074372
12,436,1.74,False,1.04,0.979008,0.020992,3.17282,0.066465
13,9,0.04,False,1.12,0.782565,0.217435,3.384719,0.083722
14,199,0.8,False,1.06,0.962731,0.037269,3.137218,0.080089
15,71,0.28,False,1.11,0.648285,0.351715,3.399792,0.122248
16,884,3.54,False,0.97,0.995784,0.004216,3.120272,0.057175
17,103,0.41,False,1.08,0.93645,0.06355,3.156455,0.095561
18,202,0.81,False,1.1,0.89499,0.10501,3.19983,0.091584
19,75,0.3,False,1.08,0.795529,0.204471,3.28028,0.112353
20,680,2.72,False,1.01,0.991214,0.008786,3.106237,0.05666
21,92,0.37,False,1.02,0.666414,0.333586,3.344337,0.130466
22,692,2.77,False,1.05,0.969219,0.030781,3.06231,0.065315
23,276,1.1,False,1.09,0.946698,0.053302,2.986481,0.073188
24,80,0.32,False,1.07,0.797998,0.202002,3.348818,0.108364
25,78,0.31,False,1.08,0.70199,0.29801,3.527302,0.107831
26,63,0.25,False,1.1,0.745966,0.254034,3.420662,0.115632
27,67,0.27,False,1.06,0.9112,0.0888,3.215942,0.099698
28,305,1.22,False,1.07,0.931119,0.068881,3.249526,0.090097
29,3,0.01,False,1.36,0.55218,0.44782,3.772708,0.223692
30,207,0.83,False,1.1,0.963494,0.036506,3.130263,0.078952
31,594,2.38,False,1.01,0.984363,0.015637,3.134262,0.058977
32,74,0.3,False,1.09,0.780079,0.219921,3.363469,0.097463
33,144,0.58,False,1.07,0.946051,0.053949,3.16546,0.097898
34,224,0.9,False,1.12,0.906043,0.093957,2.945252,0.072989
35,45,0.18,False,1.13,0.831967,0.168033,3.295396,0.082583
36,346,1.38,False,1.04,0.962298,0.037702,3.05215,0.068787
37,85,0.34,False,1.07,0.786386,0.213614,3.333079,0.101993
38,57,0.23,False,1.09,0.936488,0.063512,3.18372,0.09713
39,524,2.1,False,1.02,0.987999,0.012001,3.078741,0.059194
40,280,1.12,False,1.06,0.976008,0.023992,3.10989,0.069981
41,74,0.3,False,1.12,0.747531,0.252469,3.322923,0.139374
42,207,0.83,False,1.09,0.922239,0.077761,2.947902,0.068191
43,408,1.63,False,1.02,0.989117,0.010883,3.146205,0.058865
44,500,2.0,False,1.04,0.949238,0.050762,2.995567,0.057696
45,320,1.28,False,1.08,0.958017,0.041983,3.084393,0.07495
46,336,1.34,False,1.11,0.90515,0.09485,2.934782,0.066556
47,155,0.62,False,1.07,0.919292,0.080708,3.20323,0.093719
48,149,0.6,False,1.09,0.894975,0.105025,3.225677,0.085854
