cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,232,0.93,False,1.06,0.986948,0.013052,4.697134,0.125533
1,557,2.23,False,1.07,0.874096,0.125904,4.195026,0.167607
2,361,1.44,False,1.03,0.9922,0.0078,4.647517,0.109433
3,358,1.43,False,1.03,0.988576,0.011424,4.735547,0.12049
4,487,1.95,False,1.04,0.983113,0.016887,4.45015,0.128857
5,164,0.66,False,1.12,0.969294,0.030706,4.25455,0.157698
6,269,1.08,False,1.1,0.96433,0.03567,4.395561,0.152065
7,256,1.02,False,1.08,0.964922,0.035078,4.592246,0.171199
8,50,0.2,False,1.14,0.938879,0.061121,4.48881,0.179722
9,1456,5.82,True,0.95,1.0,0.0,4.547069,0.086521
10,449,1.8,False,1.02,0.993289,0.006711,4.436728,0.10777
11,267,1.07,False,1.06,0.939438,0.060562,4.308082,0.142509
12,122,0.49,False,1.12,0.942633,0.057367,4.114076,0.188238
13,139,0.56,False,1.03,0.971582,0.028418,4.675619,0.168962
14,524,2.1,False,1.06,0.9874,0.0126,4.444705,0.131487
15,83,0.33,False,1.08,0.903184,0.096816,4.979831,0.171882
16,133,0.53,False,1.1,0.965361,0.034639,4.84306,0.144199
17,76,0.3,False,1.1,0.777417,0.222583,5.016315,0.203605
18,268,1.07,False,1.03,0.981686,0.018314,4.643405,0.130308
19,191,0.76,False,1.05,0.993728,0.006272,4.612512,0.12526
20,120,0.48,False,1.06,0.977312,0.022688,4.722045,0.14507
21,61,0.24,False,1.08,0.943066,0.056934,4.796771,0.185945
22,264,1.06,False,1.08,0.976356,0.023644,4.710213,0.139848
23,420,1.68,False,1.04,0.98484,0.01516,4.70631,0.127418
24,317,1.27,False,1.05,0.988285,0.011715,4.469564,0.112538
25,107,0.43,False,1.15,0.840036,0.159964,4.014086,0.207536
26,70,0.28,False,1.04,0.916105,0.083895,4.821427,0.177121
27,543,2.17,False,1.04,0.995433,0.004567,4.654903,0.111848
28,193,0.77,False,1.14,0.937806,0.062194,4.223156,0.165521
29,872,3.49,False,0.98,0.99788,0.00212,4.49981,0.101427
30,25,0.1,False,1.18,0.847429,0.152571,4.484371,0.226887
31,81,0.32,False,1.1,0.805945,0.194055,4.999492,0.203997
32,438,1.75,False,1.06,0.981489,0.018511,4.376273,0.141847
33,95,0.38,False,1.08,0.933522,0.066478,4.601971,0.152964
34,251,1.0,False,1.04,0.987547,0.012453,4.696618,0.132595
35,362,1.45,False,1.04,0.983821,0.016179,4.447187,0.118956
36,115,0.46,False,1.11,0.942712,0.057288,4.13998,0.159055
37,496,1.98,False,1.03,0.991414,0.008586,4.474939,0.130725
38,59,0.24,False,1.06,0.927696,0.072304,4.781856,0.129826
39,261,1.04,False,1.11,0.9046,0.0954,4.189161,0.20073
40,77,0.31,False,1.09,0.881398,0.118602,4.921271,0.177318
41,682,2.73,False,1.02,0.991535,0.008465,4.443192,0.107677
42,69,0.28,False,1.1,0.910266,0.089734,4.787536,0.194485
43,74,0.3,False,1.05,0.918941,0.081059,4.675972,0.178104
44,177,0.71,False,1.05,0.979407,0.020593,4.662396,0.145017
45,5,0.02,False,1.15,0.877475,0.122525,5.05903,0.218272
46,424,1.7,False,1.05,0.952094,0.047906,4.323462,0.133786
47,67,0.27,False,1.06,0.941296,0.058704,4.655168,0.155667
48,70,0.28,False,1.12,0.930223,0.069777,4.749929,0.17312
49,68,0.27,False,1.01,0.924831,0.075169,4.665041,0.157529
50,42,0.17,False,1.05,0.891801,0.108199,4.935343,0.230694
51,72,0.29,False,1.08,0.936572,0.063428,4.868055,0.16099
52,279,1.12,False,1.02,0.978775,0.021225,4.439592,0.117272
53,181,0.72,False,1.08,0.971894,0.028106,4.225766,0.156944
54,232,0.93,False,1.08,0.988092,0.011908,4.467683,0.117883
55,455,1.82,False,1.06,0.971761,0.028239,4.352132,0.153069
56,960,3.84,False,0.99,0.996993,0.003007,4.557361,0.11554
57,179,0.72,False,1.08,0.985722,0.014278,4.762646,0.120354
58,246,0.98,False,1.02,0.989999,0.010001,4.520407,0.129336
59,136,0.54,False,1.12,0.891748,0.108252,4.023802,0.176556
60,286,1.14,False,1.03,0.991067,0.008933,4.644151,0.114063
61,61,0.24,False,1.04,0.961542,0.038458,4.706075,0.161322
62,24,0.1,False,1.07,0.9247,0.0753,4.668396,0.230017
63,100,0.4,False,1.05,0.959834,0.040166,4.718181,0.150213
64,464,1.86,False,1.01,0.995069,0.004931,4.639627,0.110333
65,60,0.24,False,1.07,0.894866,0.105134,4.696323,0.182617
66,195,0.78,False,1.11,0.861453,0.138547,4.008738,0.189839
67,524,2.1,False,1.06,0.982569,0.017431,4.473531,0.122031
68,65,0.26,False,1.12,0.911037,0.088963,4.653431,0.228323
69,69,0.28,False,1.06,0.896952,0.103048,4.858689,0.235204
70,52,0.21,False,1.08,0.814247,0.185753,4.90344,0.183623
71,582,2.33,False,1.0,0.995537,0.004463,4.571167,0.106339
72,65,0.26,False,1.09,0.882453,0.117547,4.794909,0.213558
73,70,0.28,False,1.11,0.903555,0.096445,4.790864,0.187385
74,222,0.89,False,1.1,0.974573,0.025427,4.553,0.151276
75,116,0.46,False,1.1,0.948943,0.051057,4.918252,0.182271
76,183,0.73,False,1.05,0.975438,0.024562,4.404737,0.131815
77,68,0.27,False,1.07,0.926792,0.073208,4.658599,0.181464
78,118,0.47,False,1.08,0.956939,0.043061,4.662813,0.164477
79,243,0.97,False,1.07,0.955492,0.044508,4.266614,0.15906
80,74,0.3,False,1.1,0.94456,0.05544,4.518713,0.194481
81,555,2.22,False,1.05,0.931285,0.068715,4.37955,0.149018
82,254,1.02,False,1.04,0.983546,0.016454,4.52743,0.153782
83,611,2.44,False,1.05,0.97647,0.02353,4.45274,0.118976
84,329,1.32,False,1.05,0.975797,0.024203,4.415443,0.128144
85,348,1.39,False,1.08,0.957801,0.042199,4.332477,0.153183
86,73,0.29,False,1.09,0.927548,0.072452,4.70651,0.183239
87,1407,5.63,False,0.95,0.997946,0.002054,4.565709,0.091298
88,380,1.52,False,1.09,0.901765,0.098235,4.244835,0.196908
89,74,0.3,False,1.07,0.940729,0.059271,4.706768,0.15914
90,154,0.62,False,1.08,0.970187,0.029813,4.232886,0.169169
91,90,0.36,False,1.08,0.880062,0.119938,4.93278,0.186017
92,137,0.55,False,1.12,0.961363,0.038637,4.232963,0.159139
93,69,0.28,False,1.05,0.931572,0.068428,4.84922,0.18402
94,76,0.3,False,1.11,0.931037,0.068963,4.738007,0.199329
95,188,0.75,False,1.05,0.963596,0.036404,4.706131,0.152052
96,59,0.24,False,1.07,0.899055,0.100945,4.939085,0.220826
97,58,0.23,False,1.03,0.921314,0.078686,4.697651,0.174449
98,230,0.92,False,1.08,0.9221,0.0779,4.212407,0.187019
99,180,0.72,False,1.13,0.97024,0.02976,4.258593,0.158931
