cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,372,1.49,False,1.05,0.98754,0.01246,4.519356,0.08671
1,125,0.5,False,1.06,0.974216,0.025784,4.517956,0.093414
2,1210,4.84,False,1.0,0.995967,0.004033,4.461939,0.077021
3,49,0.2,False,1.17,0.89503,0.10497,4.424817,0.092497
4,108,0.43,False,1.1,0.924766,0.075234,4.316414,0.102312
5,70,0.28,False,1.16,0.944118,0.055882,4.336121,0.099463
6,184,0.74,False,1.07,0.972168,0.027832,4.386353,0.102319
7,81,0.32,False,1.13,0.940895,0.059105,4.365096,0.094031
8,221,0.88,False,1.08,0.97073,0.02927,4.545026,0.085516
9,336,1.34,False,1.06,0.906437,0.093563,4.318769,0.089423
10,5,0.02,False,1.08,0.815841,0.184159,4.460357,0.110383
11,69,0.28,False,1.07,0.964926,0.035074,4.55095,0.101569
12,64,0.26,False,1.08,0.814204,0.185796,4.71889,0.093146
13,7,0.03,False,1.19,0.933733,0.066267,4.520673,0.089547
14,559,2.24,False,1.06,0.989451,0.010549,4.428187,0.08314
15,13,0.05,False,1.14,0.901304,0.098696,4.544048,0.091831
16,344,1.38,False,1.02,0.985911,0.014089,4.526311,0.083142
17,74,0.3,False,1.1,0.932981,0.067019,4.634127,0.10357
18,59,0.24,False,1.11,0.930575,0.069425,4.619394,0.098975
19,69,0.28,False,1.11,0.893856,0.106144,4.609613,0.09631
20,73,0.29,False,1.05,0.76242,0.23758,4.752679,0.122873
21,9,0.04,False,1.14,0.846145,0.153855,4.633963,0.100507
22,72,0.29,False,1.1,0.935029,0.064971,4.570726,0.108996
23,55,0.22,False,1.08,0.932592,0.067408,4.499841,0.120635
24,97,0.39,False,1.09,0.971764,0.028236,4.410771,0.107507
25,356,1.42,False,1.07,0.979845,0.020155,4.418066,0.091476
26,71,0.28,False,1.11,0.925358,0.074642,4.590972,0.105196
27,47,0.19,False,1.12,0.961248,0.038752,4.551668,0.084333
28,270,1.08,False,1.03,0.985727,0.014273,4.441892,0.081675
29,49,0.2,False,1.14,0.955913,0.044087,4.443238,0.10457
30,9,0.04,False,0.97,0.910424,0.089576,4.670129,0.08504
31,27,0.11,False,1.14,0.960371,0.039629,4.574246,0.107723
32,321,1.28,False,1.06,0.974853,0.025147,4.42674,0.08299
33,16,0.06,False,1.17,0.884409,0.115591,4.497457,0.076845
34,186,0.74,False,1.05,0.977792,0.022208,4.594679,0.088349
35,4,0.02,False,1.21,0.945056,0.054944,4.502138,0.049284
36,4,0.02,False,1.19,0.717082,0.282918,4.889144,0.137004
37,130,0.52,False,1.08,0.956952,0.043048,4.581718,0.09451
38,46,0.18,False,1.0,0.896449,0.103551,4.656099,0.095188
39,61,0.24,False,1.06,0.951058,0.048942,4.573714,0.099942
40,59,0.24,False,1.04,0.956189,0.043811,4.55467,0.099113
41,114,0.46,False,1.12,0.911863,0.088137,4.285985,0.09965
42,465,1.86,False,1.04,0.977943,0.022057,4.448703,0.082471
43,145,0.58,False,1.03,0.945045,0.054955,4.569746,0.100965
44,338,1.35,False,1.08,0.953631,0.046369,4.39426,0.104627
45,1916,7.66,False,0.83,0.997295,0.002705,4.476267,0.069493
46,570,2.28,False,1.02,0.991341,0.008659,4.527626,0.083892
47,59,0.24,False,1.09,0.934087,0.065913,4.633615,0.09311
48,64,0.26,False,1.06,0.934474,0.065526,4.516744,0.084923
49,1544,6.18,False,0.9,0.993008,0.006992,4.462924,0.074643
50,82,0.33,False,1.05,0.901706,0.098294,4.660561,0.111609
51,86,0.34,False,1.08,0.93122,0.06878,4.703222,0.099687
52,617,2.47,False,1.05,0.99426,0.00574,4.554662,0.082436
53,977,3.91,False,1.04,0.991512,0.008488,4.44607,0.082628
54,111,0.44,False,1.06,0.937209,0.062791,4.59506,0.103295
55,166,0.66,False,1.06,0.96487,0.03513,4.595884,0.100624
56,51,0.2,False,1.07,0.976894,0.023106,4.479387,0.072456
57,144,0.58,False,1.07,0.980472,0.019528,4.567365,0.085964
58,73,0.29,False,1.03,0.977763,0.022237,4.523293,0.100574
59,75,0.3,False,1.09,0.931972,0.068028,4.610698,0.098448
60,58,0.23,False,1.08,0.959486,0.040514,4.557057,0.09135
61,82,0.33,False,1.12,0.856047,0.143953,4.625342,0.126878
62,86,0.34,False,1.06,0.959484,0.040516,4.517836,0.100064
63,180,0.72,False,1.09,0.984042,0.015958,4.405968,0.073969
64,284,1.14,False,1.04,0.987629,0.012371,4.53337,0.089927
65,313,1.25,False,1.07,0.927844,0.072156,4.365998,0.096435
66,71,0.28,False,1.12,0.970067,0.029933,4.368842,0.096411
67,4,0.02,False,1.19,0.864815,0.135185,4.669895,0.071483
68,801,3.2,False,1.04,0.991272,0.008728,4.426682,0.079852
69,517,2.07,False,1.04,0.98664,0.01336,4.431882,0.083306
70,105,0.42,False,1.09,0.974804,0.025196,4.522567,0.09804
71,252,1.01,False,1.03,0.973355,0.026645,4.613374,0.082944
72,73,0.29,False,1.1,0.940099,0.059901,4.617837,0.119009
73,21,0.08,False,1.1,0.878542,0.121458,4.628989,0.113645
74,718,2.87,False,1.06,0.984172,0.015828,4.423665,0.088543
75,16,0.06,False,1.12,0.911799,0.088201,4.645374,0.134243
76,136,0.54,False,1.09,0.951088,0.048912,4.516962,0.098451
77,78,0.31,False,1.07,0.91849,0.08151,4.530011,0.100461
78,124,0.5,False,1.07,0.956378,0.043622,4.607873,0.094733
79,494,1.98,False,1.05,0.983137,0.016863,4.437574,0.084164
80,1,0.0,False,1.61,0.890421,0.109579,4.434097,0.0
81,68,0.27,False,1.03,0.920099,0.079901,4.562116,0.104841
82,368,1.47,False,1.08,0.957302,0.042698,4.418701,0.089352
83,130,0.52,False,1.08,0.965312,0.034688,4.57901,0.09177
84,75,0.3,False,1.08,0.955764,0.044236,4.583137,0.08859
85,106,0.42,False,1.09,0.968483,0.031517,4.586886,0.112485
86,114,0.46,False,1.08,0.911229,0.088771,4.399091,0.101775
87,79,0.32,False,1.07,0.917921,0.082079,4.310552,0.097477
88,607,2.43,False,1.04,0.981688,0.018312,4.441531,0.084695
89,189,0.76,False,1.03,0.974946,0.025054,4.602178,0.09749
90,694,2.78,False,1.04,0.990956,0.009044,4.492432,0.079583
91,58,0.23,False,1.08,0.93196,0.06804,4.623873,0.130874
92,1365,5.46,True,0.93,1.0,-0.0,4.501228,0.083076
93,1943,7.77,False,0.78,0.99761,0.00239,4.480047,0.066296
94,83,0.33,False,1.07,0.930615,0.069385,4.648087,0.095249
95,78,0.31,False,1.06,0.936075,0.063925,4.638795,0.106505
96,831,3.32,False,1.02,0.991266,0.008734,4.523015,0.08262
97,1,0.0,False,0.95,0.61267,0.38733,4.937832,0.0
98,2,0.01,False,1.11,0.917081,0.082919,4.334802,0.005148
99,217,0.87,False,1.09,0.95929,0.04071,4.424239,0.106078
