cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,430,1.72,False,1.06,0.987849,0.012151,6.237,0.10605
1,102,0.41,False,1.02,0.976664,0.023336,6.389318,0.12042
2,36,0.14,False,1.03,0.990039,0.009961,6.365666,0.089225
3,159,0.64,False,1.13,0.87903,0.12097,6.044165,0.139477
4,555,2.22,False,1.07,0.993468,0.006532,6.275132,0.095633
5,1,0.0,False,1.51,0.852565,0.147435,6.260951,0.0
6,318,1.27,False,1.0,0.994842,0.005158,6.406028,0.083398
7,558,2.23,False,1.03,0.996305,0.003695,6.300036,0.097425
8,31,0.12,False,1.08,0.860354,0.139646,6.530804,0.106606
9,260,1.04,False,1.06,0.920187,0.079813,6.162542,0.109618
10,6,0.02,False,1.08,0.830013,0.169987,6.299721,0.087261
11,439,1.76,False,1.01,0.996047,0.003953,6.302015,0.08742
12,80,0.32,False,1.11,0.885888,0.114112,6.062327,0.139407
13,1425,5.7,False,0.79,0.998201,0.001799,6.36649,0.072331
14,55,0.22,False,1.07,0.949064,0.050936,6.48022,0.141151
15,508,2.03,False,1.04,0.994629,0.005371,6.297177,0.090648
16,117,0.47,False,1.14,0.879961,0.120039,6.07927,0.101209
17,312,1.25,False,1.05,0.990266,0.009734,6.410151,0.094354
18,685,2.74,False,1.05,0.990533,0.009467,6.266003,0.099816
19,401,1.6,False,1.07,0.964103,0.035897,6.194639,0.110676
20,68,0.27,False,1.12,0.876663,0.123337,6.030114,0.145398
21,10,0.04,False,1.16,0.768743,0.231257,6.318442,0.087709
22,165,0.66,False,1.08,0.94837,0.05163,6.22882,0.11921
23,358,1.43,False,1.03,0.992458,0.007542,6.40556,0.098441
24,128,0.51,False,1.13,0.892583,0.107417,6.034195,0.123627
25,69,0.28,False,1.04,0.929102,0.070898,6.444663,0.106166
26,69,0.28,False,1.05,0.920453,0.079547,6.510384,0.104061
27,325,1.3,False,1.06,0.984059,0.015941,6.256832,0.099369
28,91,0.36,False,1.16,0.87462,0.12538,6.078999,0.130635
29,177,0.71,False,1.1,0.891304,0.108696,6.152519,0.115493
30,218,0.87,False,1.04,0.905896,0.094104,6.177526,0.095096
31,151,0.6,False,1.08,0.877376,0.122624,6.150487,0.124281
32,92,0.37,False,1.13,0.885369,0.114631,6.031437,0.146718
33,129,0.52,False,1.06,0.983978,0.016022,6.453273,0.115122
34,266,1.06,False,1.06,0.989348,0.010652,6.406446,0.087766
35,113,0.45,False,1.14,0.813556,0.186444,5.891907,0.143091
36,457,1.83,False,1.04,0.98545,0.01455,6.240182,0.114611
37,65,0.26,False,1.11,0.936633,0.063367,6.496052,0.096528
38,7,0.03,False,1.09,0.756828,0.243172,6.35788,0.221976
39,59,0.24,False,1.04,0.940016,0.059984,6.42255,0.103223
40,435,1.74,False,1.0,0.994604,0.005396,6.331761,0.089161
41,70,0.28,False,1.04,0.952755,0.047245,6.457289,0.091569
