cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,48,0.19,False,1.06,0.983716,0.016284,5.422534,0.127284
1,53,0.21,False,1.05,0.979147,0.020853,5.521102,0.129187
2,125,0.5,False,1.12,0.946235,0.053765,5.032695,0.153767
3,306,1.22,False,1.05,0.989643,0.010357,5.253802,0.116863
4,9,0.04,False,1.0,0.884854,0.115146,4.79735,0.146811
5,14,0.06,False,1.05,0.906169,0.093831,5.282578,0.134597
6,73,0.29,False,1.04,0.927966,0.072034,5.069409,0.149811
7,65,0.26,False,1.07,0.965625,0.034375,5.630478,0.133344
8,173,0.69,False,1.0,0.991521,0.008479,5.385251,0.106883
9,56,0.22,False,1.03,0.959237,0.040763,5.125474,0.145509
10,525,2.1,False,1.03,0.953201,0.046799,5.149852,0.137388
11,182,0.73,False,1.03,0.985585,0.014415,5.47953,0.138977
12,459,1.84,False,1.07,0.921421,0.078579,5.04563,0.127333
13,692,2.77,False,1.02,0.99656,0.00344,5.305059,0.096417
14,462,1.85,False,1.05,0.995698,0.004302,5.297773,0.110041
15,506,2.02,False,1.05,0.991158,0.008842,5.287352,0.111465
16,4,0.02,False,1.27,0.950573,0.049427,5.350413,0.17179
17,54,0.22,False,1.08,0.807256,0.192744,5.148453,0.181058
18,116,0.46,False,1.04,0.981559,0.018441,5.129854,0.109488
19,46,0.18,False,1.06,0.973256,0.026744,5.42175,0.114401
20,184,0.74,False,1.12,0.985453,0.014547,5.152735,0.151239
21,370,1.48,False,1.02,0.992112,0.007888,5.463467,0.103197
22,8,0.03,False,1.12,0.745728,0.254272,5.4715,0.328969
23,299,1.2,False,1.07,0.778908,0.221092,4.844296,0.144139
24,655,2.62,False,1.03,0.996496,0.003504,5.281546,0.118855
25,857,3.43,False,0.9,0.997308,0.002692,5.37957,0.097372
26,185,0.74,False,1.08,0.966572,0.033428,5.222199,0.141869
27,329,1.32,False,1.02,0.993777,0.006223,5.479278,0.115427
28,155,0.62,False,1.1,0.97443,0.02557,5.588296,0.156639
29,219,0.88,False,1.06,0.9581,0.0419,5.170271,0.139568
30,47,0.19,False,1.1,0.972075,0.027925,5.395449,0.139421
31,227,0.91,False,1.05,0.993193,0.006807,5.433852,0.123377
32,233,0.93,False,1.03,0.988197,0.011803,5.239736,0.126799
33,63,0.25,False,1.13,0.868597,0.131403,4.8042,0.14937
34,411,1.64,False,1.0,0.994234,0.005766,5.288127,0.113385
35,487,1.95,False,1.02,0.988623,0.011377,5.511739,0.117441
36,463,1.85,False,1.07,0.991388,0.008612,5.25793,0.121157
37,94,0.38,False,1.13,0.959523,0.040477,5.022369,0.157593
38,322,1.29,False,1.06,0.94714,0.05286,5.11503,0.122117
39,121,0.48,False,1.08,0.96816,0.03184,5.615335,0.142351
40,82,0.33,False,1.08,0.923162,0.076838,5.563731,0.164785
41,85,0.34,False,1.12,0.918498,0.081502,4.953222,0.1598
42,259,1.04,False,1.04,0.896515,0.103485,5.006752,0.147419
43,11,0.04,False,1.23,0.95938,0.04062,5.302833,0.093496
44,935,3.74,False,0.8,0.998412,0.001588,5.36948,0.08344
45,60,0.24,False,1.05,0.95956,0.04044,5.608765,0.163886
46,164,0.66,False,1.03,0.895596,0.104404,4.963175,0.145487
47,27,0.11,False,1.14,0.877542,0.122458,4.878542,0.125435
48,96,0.38,False,1.05,0.980437,0.019563,5.495233,0.118773
49,1173,4.69,False,0.76,0.997266,0.002734,5.366263,0.078861
50,267,1.07,False,1.0,0.98961,0.01039,5.53764,0.122372
51,104,0.42,False,1.09,0.95967,0.04033,5.098438,0.159616
52,56,0.22,False,1.15,0.932974,0.067026,4.917333,0.14846
53,373,1.49,False,1.02,0.98479,0.01521,5.200631,0.127616
54,1070,4.28,True,0.76,1.0,0.0,5.360959,0.08175
55,13,0.05,False,1.08,0.857463,0.142537,5.322382,0.126513
56,164,0.66,False,1.04,0.97441,0.02559,5.104956,0.136148
57,58,0.23,False,1.06,0.906007,0.093993,5.140568,0.15402
58,56,0.22,False,1.05,0.973278,0.026722,5.54784,0.10995
59,25,0.1,False,1.14,0.890867,0.109133,4.724426,0.140892
60,69,0.28,False,1.11,0.923712,0.076288,4.888264,0.158765
61,320,1.28,False,1.05,0.983434,0.016566,5.194004,0.123639
62,74,0.3,False,1.08,0.888294,0.111706,5.781631,0.170711
63,105,0.42,False,1.13,0.9171,0.0829,4.854512,0.174437
64,429,1.72,False,1.04,0.991553,0.008447,5.320143,0.106444
65,1073,4.29,False,0.9,0.998358,0.001642,5.356849,0.11046
66,304,1.22,False,1.02,0.974849,0.025151,5.177355,0.130092
67,70,0.28,False,1.05,0.840874,0.159126,5.783416,0.174353
68,434,1.74,False,1.04,0.988309,0.011691,5.466367,0.121852
69,208,0.83,False,1.09,0.951619,0.048381,5.082685,0.147554
70,135,0.54,False,1.03,0.797131,0.202869,4.899039,0.150285
71,90,0.36,False,1.11,0.941569,0.058431,4.954562,0.14917
72,103,0.41,False,1.1,0.956718,0.043282,5.03787,0.153643
73,94,0.38,False,1.11,0.947253,0.052747,5.019647,0.198735
74,214,0.86,False,1.06,0.957428,0.042572,5.130154,0.155515
75,71,0.28,False,1.09,0.955868,0.044132,5.428314,0.144118
76,1141,4.56,False,0.75,0.997447,0.002553,5.369316,0.081599
77,69,0.28,False,1.14,0.916854,0.083146,4.959335,0.170639
78,245,0.98,False,1.02,0.991678,0.008322,5.432943,0.113719
79,449,1.8,False,1.0,0.995345,0.004655,5.308311,0.09446
80,499,2.0,False,1.0,0.994659,0.005341,5.330869,0.112841
81,73,0.29,False,1.11,0.902515,0.097485,4.919229,0.151579
82,62,0.25,False,1.13,0.78499,0.21501,4.732651,0.160096
83,101,0.4,False,1.04,0.972208,0.027792,5.522285,0.12051
84,63,0.25,False,1.04,0.961811,0.038189,5.655457,0.16337
85,246,0.98,False,1.04,0.992416,0.007584,5.441938,0.115559
86,222,0.89,False,1.04,0.982091,0.017909,5.583176,0.124731
87,90,0.36,False,1.17,0.8792,0.1208,4.774786,0.177963
88,11,0.04,False,1.1,0.857657,0.142343,5.324759,0.224608
89,72,0.29,False,1.11,0.787194,0.212806,4.589972,0.154712
90,61,0.24,False,1.08,0.955502,0.044498,5.639009,0.16942
91,402,1.61,False,1.04,0.95057,0.04943,5.118944,0.123868
92,565,2.26,False,1.03,0.933024,0.066976,5.120186,0.133662
93,65,0.26,False,1.11,0.731247,0.268753,4.581485,0.171998
94,435,1.74,False,1.02,0.991515,0.008485,5.251298,0.12683
95,185,0.74,False,1.05,0.981711,0.018289,5.538651,0.143475
96,53,0.21,False,1.07,0.967941,0.032059,5.489188,0.136935
97,1068,4.27,False,0.77,0.997605,0.002395,5.360388,0.082736
98,172,0.69,False,1.08,0.841758,0.158242,4.945956,0.140727
99,83,0.33,False,1.06,0.931301,0.068699,5.589784,0.183348
