cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,552,2.21,False,0.89,0.999351,0.000649,5.489517,0.089528
1,64,0.26,False,1.05,0.980881,0.019119,5.392886,0.140992
2,216,0.86,False,1.07,0.834569,0.165431,4.983639,0.165998
3,17,0.07,False,1.17,0.939587,0.060413,5.53859,0.235544
4,173,0.69,False,1.06,0.987598,0.012402,5.340133,0.127105
5,45,0.18,False,1.06,0.965677,0.034323,5.623476,0.144725
6,391,1.56,False,1.01,0.992499,0.007501,5.63005,0.120309
7,591,2.36,False,1.0,0.998667,0.001333,5.459783,0.124772
8,31,0.12,False,1.06,0.900209,0.099791,5.222895,0.20535
9,534,2.14,False,0.92,0.997011,0.002989,5.487897,0.098395
10,1,0.0,False,1.04,0.957955,0.042045,5.563296,0.0
11,394,1.58,False,1.03,0.993541,0.006459,5.367435,0.117508
12,68,0.27,False,1.12,0.888686,0.111314,4.765981,0.147764
13,70,0.28,False,1.09,0.982269,0.017731,5.682389,0.131626
14,326,1.3,False,1.03,0.993847,0.006153,5.676163,0.127059
15,604,2.42,False,0.85,0.998201,0.001799,5.489243,0.082127
16,122,0.49,False,1.13,0.90418,0.09582,4.890471,0.152702
17,686,2.74,False,0.87,0.995346,0.004654,5.488241,0.082001
18,54,0.22,False,1.18,0.946276,0.053724,4.958816,0.163171
19,75,0.3,False,1.15,0.772251,0.227749,4.657859,0.138646
20,63,0.25,False,1.03,0.930167,0.069833,5.859739,0.171588
21,11,0.04,False,1.11,0.746157,0.253843,5.456376,0.17494
22,95,0.38,False,1.04,0.984414,0.015586,5.718709,0.139811
23,333,1.33,False,1.11,0.949053,0.050947,5.177072,0.139586
24,57,0.23,False,1.1,0.967402,0.032598,5.636086,0.123932
25,283,1.13,False,1.06,0.82619,0.17381,4.907386,0.140134
26,164,0.66,False,1.04,0.953204,0.046796,5.095934,0.163845
27,180,0.72,False,1.06,0.951244,0.048756,5.326975,0.145558
28,623,2.49,False,1.04,0.995786,0.004214,5.408593,0.098244
29,622,2.49,False,0.85,0.998634,0.001366,5.480392,0.083556
30,764,3.06,True,0.92,1.0,0.0,5.489168,0.091264
31,247,0.99,False,1.06,0.996637,0.003363,5.56355,0.112371
32,98,0.39,False,1.13,0.780273,0.219727,4.640282,0.171521
33,76,0.3,False,1.03,0.881594,0.118406,5.148269,0.150444
34,246,0.98,False,1.05,0.983993,0.016007,5.311886,0.12934
35,668,2.67,False,0.86,0.998496,0.001504,5.481595,0.084396
36,49,0.2,False,1.01,0.981701,0.018299,5.25939,0.126555
37,786,3.14,False,0.84,0.998387,0.001613,5.480547,0.078654
38,71,0.28,False,1.13,0.977696,0.022304,5.5453,0.138682
39,189,0.76,False,1.04,0.963064,0.036936,5.253336,0.140481
40,173,0.69,False,1.01,0.990904,0.009096,5.697894,0.122842
41,153,0.61,False,1.04,0.955287,0.044713,5.133384,0.127946
42,485,1.94,False,1.01,0.996098,0.003902,5.579011,0.10598
43,119,0.48,False,1.05,0.985365,0.014635,5.751624,0.122721
44,112,0.45,False,1.07,0.971904,0.028096,5.167487,0.137516
45,52,0.21,False,1.02,0.98174,0.01826,5.343144,0.153297
46,355,1.42,False,1.06,0.989666,0.010334,5.241163,0.131073
47,681,2.72,False,0.88,0.996476,0.003524,5.474953,0.086637
48,502,2.01,False,1.04,0.996252,0.003748,5.434208,0.103899
49,72,0.29,False,1.07,0.875295,0.124705,4.790566,0.184034
50,477,1.91,False,1.04,0.985846,0.014154,5.65165,0.147338
51,325,1.3,False,1.04,0.926024,0.073976,5.131016,0.134605
52,162,0.65,False,1.07,0.924439,0.075561,5.049899,0.146443
53,94,0.38,False,1.09,0.952129,0.047871,5.028311,0.136425
54,704,2.82,False,1.03,0.992501,0.007499,5.371311,0.126767
55,124,0.5,False,1.04,0.971231,0.028769,5.815237,0.154194
