cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,284,1.14,False,1.05,0.994517,0.005483,5.470598,0.110082
1,511,2.04,False,1.06,0.693416,0.306584,4.853726,0.159472
2,265,1.06,False,1.07,0.992042,0.007958,5.342217,0.15308
3,71,0.28,False,1.08,0.956909,0.043091,5.757394,0.178995
4,394,1.58,False,1.05,0.990596,0.009404,5.463766,0.128901
5,360,1.44,False,1.06,0.995158,0.004842,5.378406,0.114143
6,2,0.01,False,1.54,0.946919,0.053081,5.515346,0.121202
7,79,0.32,False,1.12,0.923194,0.076806,6.030772,0.147042
8,354,1.42,False,1.09,0.593657,0.406343,4.710436,0.15127
9,439,1.76,False,0.96,0.997617,0.002383,5.49228,0.098411
10,79,0.32,False,1.16,0.975006,0.024994,5.210919,0.184983
11,399,1.6,False,1.02,0.996902,0.003098,5.455341,0.093534
12,81,0.32,False,1.1,0.964369,0.035631,5.270551,0.155397
13,62,0.25,False,1.05,0.917208,0.082792,5.887842,0.173374
14,244,0.98,False,1.09,0.97437,0.02563,5.213013,0.157802
15,358,1.43,False,1.05,0.996157,0.003843,5.483784,0.112079
16,67,0.27,False,1.06,0.970075,0.029925,5.72474,0.162914
17,221,0.88,False,1.07,0.974991,0.025009,5.354198,0.159686
18,192,0.77,False,1.04,0.994881,0.005119,5.575998,0.101517
19,611,2.44,False,0.89,0.997163,0.002837,5.509145,0.087767
20,633,2.53,False,0.89,0.998347,0.001653,5.510784,0.083022
21,610,2.44,False,0.91,0.998172,0.001828,5.509432,0.090647
22,178,0.71,False,1.08,0.821619,0.178381,4.891125,0.14542
23,314,1.26,False,1.03,0.996442,0.003558,5.423857,0.092348
24,237,0.95,False,1.09,0.983468,0.016532,5.321404,0.148316
25,58,0.23,False,1.06,0.914898,0.085102,5.903411,0.152507
26,128,0.51,False,1.11,0.95674,0.04326,5.122817,0.173348
27,438,1.75,False,1.04,0.984019,0.015981,5.324062,0.12676
28,225,0.9,False,1.07,0.993832,0.006168,5.328066,0.119837
29,66,0.26,False,1.15,0.972699,0.027301,5.166711,0.144132
30,165,0.66,False,1.02,0.99437,0.00563,5.593358,0.118069
31,567,2.27,False,0.89,0.994288,0.005712,5.503263,0.091032
32,404,1.62,False,1.06,0.99326,0.00674,5.649687,0.106296
33,168,0.67,False,1.14,0.738697,0.261303,4.649308,0.19048
34,1,0.0,False,1.23,0.969755,0.030245,5.538492,0.0
35,325,1.3,False,1.08,0.956229,0.043771,5.208049,0.132273
36,297,1.19,False,1.08,0.965775,0.034225,5.349546,0.135053
37,216,0.86,False,1.02,0.984493,0.015507,5.67535,0.122895
38,19,0.08,False,1.17,0.658389,0.341611,5.24917,0.233202
39,236,0.94,False,1.05,0.993001,0.006999,5.425484,0.122791
40,72,0.29,False,1.07,0.969375,0.030625,5.754741,0.156438
41,169,0.68,False,1.05,0.985204,0.014796,5.73566,0.128372
42,183,0.73,False,1.09,0.984865,0.015135,5.533271,0.152389
43,63,0.25,False,1.01,0.964108,0.035892,5.517551,0.134948
44,232,0.93,False,1.03,0.985777,0.014223,5.679932,0.146574
45,650,2.6,False,0.92,0.997859,0.002141,5.510061,0.100941
46,376,1.5,False,1.04,0.988366,0.011634,5.351236,0.128297
47,647,2.59,False,0.91,0.997242,0.002758,5.513689,0.085378
48,62,0.25,False,1.08,0.976177,0.023823,5.601181,0.151909
49,79,0.32,False,1.09,0.928388,0.071612,5.20232,0.164994
50,61,0.24,False,1.05,0.977053,0.022947,5.612628,0.123523
51,627,2.51,False,0.91,0.99711,0.00289,5.500667,0.084633
52,179,0.72,False,1.08,0.986338,0.013662,5.580092,0.140799
53,628,2.51,False,0.94,0.998596,0.001404,5.511012,0.09776
54,241,0.96,False,1.06,0.996185,0.003815,5.421156,0.140721
55,667,2.67,False,0.89,0.998063,0.001937,5.504686,0.087186
56,10,0.04,False,1.18,0.688384,0.311616,5.213757,0.225735
57,123,0.49,False,1.06,0.988531,0.011469,5.619205,0.121785
58,330,1.32,False,1.06,0.995338,0.004662,5.628041,0.096556
59,60,0.24,False,1.12,0.984738,0.015262,5.430312,0.123462
60,526,2.1,False,1.04,0.994349,0.005651,5.63704,0.11226
61,429,1.72,False,1.0,0.997398,0.002602,5.500805,0.093343
62,221,0.88,False,1.07,0.992723,0.007277,5.562928,0.118414
63,162,0.65,False,1.08,0.985054,0.014946,5.634674,0.136761
64,358,1.43,False,1.04,0.995239,0.004761,5.572498,0.104658
65,182,0.73,False,1.07,0.978324,0.021676,5.294719,0.136322
66,730,2.92,False,0.94,0.997426,0.002574,5.504979,0.103822
67,199,0.8,False,1.05,0.916173,0.083827,5.039981,0.190309
68,8,0.03,False,1.06,0.560591,0.439409,5.255898,0.03826
69,94,0.38,False,1.08,0.81486,0.18514,5.00981,0.173731
70,278,1.11,False,1.05,0.756242,0.243758,4.83973,0.15131
71,77,0.31,False,1.03,0.911502,0.088498,5.832312,0.179315
72,273,1.09,False,1.03,0.992731,0.007269,5.311815,0.135243
73,61,0.24,False,1.05,0.969028,0.030972,5.781834,0.137665
74,184,0.74,False,1.08,0.98639,0.01361,5.746287,0.125562
75,517,2.07,False,1.06,0.992477,0.007523,5.376865,0.118599
76,486,1.94,False,1.06,0.969485,0.030515,5.34312,0.146061
77,98,0.39,False,1.12,0.776412,0.223588,4.865493,0.205438
78,112,0.45,False,1.11,0.961071,0.038929,5.096892,0.187089
79,633,2.53,False,0.94,0.99825,0.00175,5.505738,0.0959
80,56,0.22,False,1.08,0.984755,0.015245,5.714633,0.117983
81,61,0.24,False,1.0,0.897026,0.102974,5.748358,0.158589
82,177,0.71,False,1.06,0.989949,0.010051,5.653718,0.131848
83,79,0.32,False,1.1,0.91727,0.08273,5.843405,0.124549
84,228,0.91,False,1.1,0.846788,0.153212,4.967218,0.143264
85,313,1.25,False,1.06,0.984885,0.015115,5.41116,0.129249
86,68,0.27,False,1.09,0.89258,0.10742,5.018762,0.172924
87,64,0.26,False,1.09,0.963994,0.036006,5.737129,0.134682
88,176,0.7,False,1.1,0.992716,0.007284,5.593098,0.126472
89,75,0.3,False,1.1,0.974906,0.025094,5.716517,0.160345
90,57,0.23,False,1.09,0.980921,0.019079,5.65953,0.135843
91,249,1.0,False,1.05,0.992931,0.007069,5.632038,0.125062
92,1,0.0,False,1.09,0.948537,0.051463,5.678178,0.0
93,331,1.32,False,1.06,0.98947,0.01053,5.458096,0.127672
94,84,0.34,False,1.04,0.924459,0.075541,5.827438,0.157136
95,223,0.89,False,1.01,0.993241,0.006759,5.615815,0.117462
96,331,1.32,False,1.05,0.993311,0.006689,5.359807,0.118494
97,705,2.82,True,0.91,1.0,0.0,5.505731,0.094675
98,142,0.57,False,1.08,0.904874,0.095126,5.036402,0.15777
99,135,0.54,False,1.08,0.979235,0.020765,5.703089,0.135957
