cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,38,0.15,False,1.05,0.982161,0.017839,4.556284,0.123082
1,418,1.67,False,1.05,0.992491,0.007509,4.497852,0.092062
2,65,0.26,False,1.08,0.815974,0.184026,4.199313,0.100564
3,118,0.47,False,1.13,0.948611,0.051389,4.409634,0.105819
4,397,1.59,False,1.04,0.99488,0.00512,4.508267,0.080639
5,91,0.36,False,1.08,0.940189,0.059811,4.521564,0.119613
6,264,1.06,False,1.1,0.977404,0.022596,4.537615,0.105973
7,197,0.79,False,1.07,0.983031,0.016969,4.527608,0.109375
8,476,1.9,False,1.06,0.992419,0.007581,4.51233,0.099585
9,505,2.02,False,1.04,0.981647,0.018353,4.349878,0.087611
10,224,0.9,False,1.05,0.986301,0.013699,4.534728,0.080101
11,461,1.84,False,1.02,0.991775,0.008225,4.53922,0.088557
12,3,0.01,False,1.25,0.885573,0.114427,4.529895,0.10985
13,614,2.46,False,1.04,0.989594,0.010406,4.380817,0.097187
14,4,0.02,False,1.09,0.757401,0.242599,4.666468,0.20864
15,81,0.32,False,1.06,0.904281,0.095719,4.635879,0.13841
16,5,0.02,False,1.13,0.565032,0.434968,4.594709,0.095169
17,46,0.18,False,1.07,0.981297,0.018703,4.488319,0.104549
18,182,0.73,False,1.05,0.98714,0.01286,4.532025,0.097498
19,991,3.96,False,1.03,0.996317,0.003683,4.433341,0.081411
20,1,0.0,False,1.23,0.829791,0.170209,4.856652,0.0
21,1442,5.77,False,0.87,0.996662,0.003338,4.427518,0.072621
22,462,1.85,False,1.05,0.936824,0.063176,4.273068,0.097968
23,254,1.02,False,1.12,0.97528,0.02472,4.378997,0.115981
24,61,0.24,False,1.1,0.948528,0.051472,4.576951,0.12933
25,310,1.24,False,1.05,0.968366,0.031634,4.351497,0.10174
26,276,1.1,False,1.06,0.892381,0.107619,4.289163,0.10878
27,63,0.25,False,1.02,0.923507,0.076493,4.607509,0.114034
28,64,0.26,False,1.12,0.889734,0.110266,4.628047,0.122744
29,122,0.49,False,1.1,0.806313,0.193687,4.370242,0.129353
30,395,1.58,False,1.07,0.99219,0.00781,4.491065,0.087473
31,221,0.88,False,1.06,0.991508,0.008492,4.41379,0.098098
32,64,0.26,False,1.11,0.938698,0.061302,4.615233,0.128433
33,69,0.28,False,1.12,0.902248,0.097752,4.684844,0.097717
34,106,0.42,False,1.15,0.801693,0.198307,4.207445,0.105182
35,88,0.35,False,1.04,0.733641,0.266359,4.818155,0.154338
36,57,0.23,False,1.1,0.823314,0.176686,4.709463,0.144518
37,65,0.26,False,1.11,0.952329,0.047671,4.592211,0.107874
38,15,0.06,False,1.17,0.930318,0.069682,4.410013,0.107554
39,88,0.35,False,1.08,0.910627,0.089373,4.576804,0.115768
40,4,0.02,False,0.84,0.693268,0.306732,4.430069,0.104814
41,252,1.01,False,1.02,0.990595,0.009405,4.537363,0.086397
42,437,1.75,False,1.07,0.974356,0.025644,4.33866,0.095896
43,79,0.32,False,1.07,0.896022,0.103978,4.698209,0.135413
44,148,0.59,False,1.14,0.805561,0.194439,4.111779,0.122645
45,613,2.45,False,1.03,0.995707,0.004293,4.392904,0.087191
46,272,1.09,False,1.02,0.988934,0.011066,4.53167,0.100122
