cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,126,0.5,False,1.06,0.974422,0.025578,3.73589,0.106428
1,66,0.26,False,1.03,0.951297,0.048703,3.738774,0.121404
2,6,0.02,False,1.18,0.959759,0.040241,3.592437,0.029294
3,577,2.31,False,1.05,0.976435,0.023565,3.591775,0.085959
4,376,1.5,False,1.1,0.936711,0.063289,3.553962,0.111004
5,479,1.92,False,1.04,0.984223,0.015777,3.57524,0.082441
6,519,2.08,False,1.05,0.982019,0.017981,3.731204,0.101625
7,7,0.03,False,1.1,0.726727,0.273273,4.158568,0.199622
8,848,3.39,False,1.02,0.991082,0.008918,3.58089,0.083795
9,72,0.29,False,1.11,0.609883,0.390117,4.193594,0.137083
10,952,3.81,False,1.06,0.981862,0.018138,3.581451,0.094544
11,2,0.01,False,0.99,0.937956,0.062044,3.608617,0.019488
12,168,0.67,False,1.14,0.909544,0.090456,3.463602,0.103707
13,48,0.19,False,1.02,0.906025,0.093975,3.796479,0.112939
14,390,1.56,False,1.04,0.944275,0.055725,3.545708,0.100567
15,243,0.97,False,1.11,0.961676,0.038324,3.5999,0.101213
16,125,0.5,False,1.08,0.962736,0.037264,3.768873,0.094202
17,531,2.12,False,1.05,0.980351,0.019649,3.700123,0.096526
18,71,0.28,False,1.13,0.794694,0.205306,3.97846,0.160265
19,155,0.62,False,1.05,0.973844,0.026156,3.764534,0.100069
20,419,1.68,False,1.04,0.983898,0.016102,3.726931,0.095407
21,134,0.54,False,1.08,0.972144,0.027856,3.749819,0.113132
22,105,0.42,False,1.07,0.936427,0.063573,3.800924,0.110407
23,655,2.62,False,1.05,0.989946,0.010054,3.691811,0.09149
24,665,2.66,False,1.03,0.979411,0.020589,3.645944,0.084778
25,395,1.58,False,1.07,0.945101,0.054899,3.555993,0.101226
26,58,0.23,False,1.14,0.892491,0.107509,3.77053,0.127336
27,49,0.2,False,1.04,0.728692,0.271308,4.043315,0.141198
28,245,0.98,False,1.08,0.956359,0.043641,3.793318,0.112925
29,318,1.27,False,1.07,0.974449,0.025551,3.746639,0.09872
30,81,0.32,False,1.07,0.897196,0.102804,3.815999,0.103035
31,694,2.78,False,1.03,0.988025,0.011975,3.579286,0.080045
32,152,0.61,False,1.06,0.914674,0.085326,3.836574,0.110513
33,330,1.32,False,1.09,0.990267,0.009733,3.588784,0.095061
34,386,1.54,False,1.01,0.98624,0.01376,3.719135,0.088912
35,166,0.66,False,1.05,0.953683,0.046317,3.738318,0.106533
36,227,0.91,False,1.16,0.954893,0.045107,3.482852,0.097938
37,133,0.53,False,1.05,0.948409,0.051591,3.742894,0.104543
38,76,0.3,False,1.08,0.903256,0.096744,3.837255,0.127569
39,484,1.94,False,1.06,0.985347,0.014653,3.585888,0.088692
40,625,2.5,False,1.04,0.984732,0.015268,3.576288,0.086059
41,78,0.31,False,1.08,0.872,0.128,3.898824,0.12059
42,132,0.53,False,1.06,0.942015,0.057985,3.7983,0.134338
43,130,0.52,False,1.08,0.95919,0.04081,3.759616,0.105357
44,121,0.48,False,1.08,0.973348,0.026652,3.748794,0.104072
45,22,0.09,False,1.12,0.885407,0.114593,3.800586,0.125998
46,71,0.28,False,1.06,0.914054,0.085946,3.854911,0.121843
47,66,0.26,False,1.1,0.929205,0.070795,3.771025,0.105588
48,425,1.7,False,1.07,0.947226,0.052774,3.513049,0.096855
49,207,0.83,False,1.1,0.944952,0.055048,3.631355,0.118759
50,1,0.0,False,1.32,0.794419,0.205581,3.806803,0.0
51,711,2.84,False,1.04,0.986027,0.013973,3.60072,0.087092
52,93,0.37,False,1.1,0.840291,0.159709,3.940255,0.131838
53,72,0.29,False,1.05,0.904696,0.095304,3.786093,0.122562
54,451,1.8,False,1.06,0.950895,0.049105,3.529513,0.092985
55,1449,5.8,False,0.89,0.995081,0.004919,3.624841,0.073626
56,556,2.22,False,1.05,0.982987,0.017013,3.570424,0.084111
57,100,0.4,False,1.11,0.932607,0.067393,3.797272,0.133453
58,28,0.11,False,1.08,0.794467,0.205533,3.938509,0.144039
59,398,1.59,False,1.05,0.979417,0.020583,3.744687,0.101309
60,645,2.58,False,1.03,0.989687,0.010313,3.698708,0.085032
61,124,0.5,False,1.07,0.939879,0.060121,3.811155,0.124784
62,210,0.84,False,1.08,0.962325,0.037675,3.733052,0.116968
63,43,0.17,False,1.05,0.920508,0.079492,3.831191,0.133154
64,73,0.29,False,1.04,0.942605,0.057395,3.825495,0.11277
65,71,0.28,False,1.11,0.949013,0.050987,3.734967,0.101607
66,75,0.3,False,1.08,0.783997,0.216003,3.91182,0.123843
67,1244,4.98,False,0.92,0.992965,0.007035,3.64139,0.082245
68,89,0.36,False,1.14,0.936542,0.063458,3.615908,0.120036
69,150,0.6,False,1.08,0.959405,0.040595,3.728957,0.122492
70,161,0.64,False,1.06,0.94872,0.05128,3.760877,0.122648
71,189,0.76,False,1.1,0.938334,0.061666,3.749617,0.118158
72,142,0.57,False,1.07,0.949013,0.050987,3.803207,0.113472
73,2,0.01,False,1.09,0.854854,0.145146,3.793165,0.093994
74,62,0.25,False,1.05,0.960608,0.039392,3.728931,0.105706
75,57,0.23,False,1.06,0.960182,0.039818,3.745981,0.103144
76,6,0.02,False,0.99,0.826908,0.173092,3.936904,0.150644
77,126,0.5,False,1.07,0.914579,0.085421,3.821425,0.126295
78,72,0.29,False,1.14,0.909444,0.090556,3.833137,0.141388
79,20,0.08,False,1.1,0.630594,0.369406,4.021408,0.127725
80,126,0.5,False,1.07,0.956191,0.043809,3.760718,0.113826
81,59,0.24,False,1.1,0.926105,0.073895,3.777097,0.10052
82,15,0.06,False,1.14,0.921368,0.078632,3.648387,0.091158
83,85,0.34,False,1.04,0.885244,0.114756,3.874737,0.136044
84,79,0.32,False,1.06,0.953323,0.046677,3.728109,0.103293
85,1,0.0,False,1.61,0.641384,0.358616,4.101459,0.0
86,2,0.01,False,1.28,0.880857,0.119143,3.769903,0.006604
87,1257,5.03,True,0.97,1.0,0.0,3.656183,0.084006
88,80,0.32,False,1.12,0.892269,0.107731,3.839838,0.140461
89,380,1.52,False,1.04,0.985412,0.014588,3.711818,0.088341
90,9,0.04,False,1.11,0.887247,0.112753,3.857492,0.170295
91,89,0.36,False,1.06,0.953777,0.046223,3.743827,0.120419
92,49,0.2,False,1.07,0.869374,0.130626,3.899772,0.098516
93,70,0.28,False,1.08,0.887745,0.112255,3.843401,0.132839
94,54,0.22,False,1.08,0.928603,0.071397,3.779644,0.110905
95,67,0.27,False,1.05,0.91794,0.08206,3.799531,0.120543
96,82,0.33,False,1.09,0.889949,0.110051,3.876168,0.132259
97,1357,5.43,False,0.9,0.992881,0.007119,3.638068,0.076765
98,136,0.54,False,1.09,0.901995,0.098005,3.822731,0.135025
99,173,0.69,False,1.06,0.968072,0.031928,3.746485,0.109978
