cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,1,0.0,False,1.37,0.866207,0.133793,3.935048,0.0
1,1007,4.03,False,1.0,0.994213,0.005787,3.984212,0.079527
2,270,1.08,False,1.04,0.98533,0.01467,4.053963,0.093894
3,218,0.87,False,1.05,0.983078,0.016922,4.133411,0.103521
4,557,2.23,False,1.0,0.992223,0.007777,4.055757,0.081956
5,389,1.56,False,1.05,0.950364,0.049636,3.82151,0.10764
6,153,0.61,False,1.06,0.962259,0.037741,4.090726,0.11557
7,67,0.27,False,1.03,0.964715,0.035285,4.117351,0.089937
8,134,0.54,False,1.13,0.917978,0.082022,3.765163,0.128454
9,135,0.54,False,1.11,0.930023,0.069977,3.7702,0.098455
10,78,0.31,False,1.07,0.834558,0.165442,4.388773,0.11993
11,1,0.0,False,1.18,0.664866,0.335134,4.395619,0.0
12,374,1.5,False,1.06,0.987606,0.012394,4.079245,0.097266
13,56,0.22,False,1.07,0.949711,0.050289,4.101849,0.106065
14,225,0.9,False,1.08,0.935803,0.064197,3.922804,0.113297
15,251,1.0,False,1.08,0.984518,0.015482,3.959575,0.104875
16,138,0.55,False,1.11,0.981148,0.018852,3.894389,0.099669
17,100,0.4,False,1.09,0.953732,0.046268,3.85094,0.117398
18,6,0.02,False,1.17,0.918176,0.081824,3.877917,0.125677
19,112,0.45,False,1.04,0.968586,0.031414,4.143172,0.124255
20,426,1.7,False,1.03,0.975993,0.024007,3.937724,0.090291
21,319,1.28,False,1.03,0.992141,0.007859,4.076443,0.099601
22,74,0.3,False,1.08,0.953149,0.046851,3.805257,0.113376
23,64,0.26,False,1.07,0.949452,0.050548,4.129275,0.119066
24,192,0.77,False,1.07,0.96583,0.03417,3.87358,0.104212
25,502,2.01,False,1.05,0.94782,0.05218,3.905906,0.096913
26,686,2.74,False,1.0,0.993552,0.006448,3.974034,0.085294
27,398,1.59,False,1.03,0.990637,0.009363,4.117345,0.096983
28,80,0.32,False,1.08,0.918012,0.081988,4.197722,0.139514
29,80,0.32,False,1.07,0.734287,0.265713,4.38744,0.163443
30,138,0.55,False,1.12,0.908883,0.091117,3.761579,0.135178
31,109,0.44,False,1.05,0.951394,0.048606,4.186253,0.109272
32,256,1.02,False,1.06,0.932642,0.067358,4.126466,0.121536
33,372,1.49,False,1.03,0.988456,0.011544,4.113297,0.096187
34,8,0.03,False,1.13,0.896963,0.103037,4.196915,0.147044
35,88,0.35,False,1.1,0.906639,0.093361,4.133248,0.148014
36,58,0.23,False,1.04,0.911163,0.088837,4.169335,0.149076
37,483,1.93,False,1.06,0.945119,0.054881,3.944522,0.102795
38,59,0.24,False,1.12,0.908408,0.091592,4.205339,0.124383
39,306,1.22,False,1.06,0.973744,0.026256,4.194413,0.122729
40,478,1.91,False,1.03,0.991612,0.008388,3.928773,0.083468
41,315,1.26,False,1.05,0.97186,0.02814,3.894356,0.094155
42,862,3.45,False,1.02,0.997063,0.002937,3.960186,0.082575
43,311,1.24,False,1.07,0.931793,0.068207,3.819074,0.107273
44,365,1.46,False,1.06,0.941278,0.058722,3.867313,0.101814
45,71,0.28,False,1.12,0.878635,0.121365,4.238885,0.171354
46,1541,6.16,False,0.8,0.997353,0.002647,3.996515,0.066999
47,790,3.16,False,1.01,0.994957,0.005043,4.068707,0.089202
48,527,2.11,False,1.03,0.944435,0.055565,3.875523,0.099081
49,77,0.31,False,1.07,0.932166,0.067834,4.210394,0.116354
50,75,0.3,False,1.09,0.928284,0.071716,4.229928,0.104456
51,96,0.38,False,1.06,0.914596,0.085404,4.126531,0.146334
52,77,0.31,False,1.03,0.896962,0.103038,4.2409,0.159082
