cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,69,0.28,False,1.06,0.961999,0.038001,6.500134,0.132548
1,49,0.2,False,1.05,0.972916,0.027084,5.974194,0.124621
2,62,0.25,False,1.14,0.791579,0.208421,5.782446,0.128857
3,371,1.48,False,1.08,0.993816,0.006184,6.375863,0.112905
4,168,0.67,False,1.07,0.954387,0.045613,6.04121,0.107234
5,249,1.0,False,1.04,0.955413,0.044587,6.059207,0.130812
6,106,0.42,False,1.09,0.976714,0.023286,6.367987,0.112171
7,104,0.42,False,1.15,0.929206,0.070794,5.879914,0.163348
8,80,0.32,False,1.12,0.965565,0.034435,6.002504,0.117898
9,412,1.65,False,1.04,0.98704,0.01296,6.156558,0.11391
10,231,0.92,False,1.02,0.994628,0.005372,6.269564,0.094314
11,243,0.97,False,1.05,0.960212,0.039788,6.089111,0.107898
12,444,1.78,False,1.05,0.991491,0.008509,6.149986,0.118424
13,9,0.04,False,1.15,0.988225,0.011775,6.307974,0.063225
14,768,3.07,False,0.93,0.998229,0.001771,6.274347,0.087716
15,928,3.71,False,0.88,0.996947,0.003053,6.26991,0.078585
16,330,1.32,False,1.05,0.989448,0.010552,6.189391,0.125869
17,96,0.38,False,1.14,0.937189,0.062811,5.929549,0.156171
18,538,2.15,False,1.03,0.993541,0.006459,6.182683,0.098762
19,81,0.32,False,1.14,0.926518,0.073482,6.449456,0.124369
20,566,2.26,False,1.02,0.995496,0.004504,6.198997,0.094871
21,73,0.29,False,1.1,0.760881,0.239119,5.551867,0.156304
22,531,2.12,False,1.06,0.985695,0.014305,6.148195,0.115718
23,119,0.48,False,1.05,0.990674,0.009326,6.336087,0.102847
24,533,2.13,False,1.05,0.989941,0.010059,6.195663,0.107648
25,260,1.04,False,1.05,0.994554,0.005446,6.361322,0.097355
26,61,0.24,False,1.04,0.963293,0.036707,6.397738,0.120673
27,891,3.56,False,0.84,0.99717,0.00283,6.263885,0.076163
28,64,0.26,False,1.08,0.976601,0.023399,6.027014,0.125099
29,66,0.26,False,1.08,0.923385,0.076615,6.380667,0.163891
30,9,0.04,False,1.06,0.758704,0.241296,6.105749,0.150553
31,79,0.32,False,1.11,0.92052,0.07948,6.071733,0.115873
32,70,0.28,False,1.09,0.952494,0.047506,6.345819,0.135459
33,167,0.67,False,1.07,0.983552,0.016448,6.34042,0.108874
34,568,2.27,False,1.04,0.993405,0.006595,6.205608,0.101639
35,156,0.62,False,1.02,0.973085,0.026915,6.369277,0.108732
36,82,0.33,False,1.14,0.772788,0.227212,5.692222,0.153475
37,76,0.3,False,1.1,0.917234,0.082766,5.80298,0.185539
38,12,0.05,False,1.07,0.945442,0.054558,6.328202,0.102165
39,296,1.18,False,1.07,0.936309,0.063691,6.01418,0.119669
40,505,2.02,False,1.03,0.995537,0.004463,6.19646,0.096836
41,64,0.26,False,1.08,0.97452,0.02548,6.309457,0.131396
42,196,0.78,False,1.09,0.990583,0.009417,6.364301,0.09957
43,89,0.36,False,1.15,0.925449,0.074551,5.84589,0.17359
44,86,0.34,False,1.11,0.745159,0.254841,5.699008,0.13348
45,35,0.14,False,1.01,0.967677,0.032323,6.067381,0.113932
46,7,0.03,False,1.2,0.759188,0.240812,6.189713,0.158425
47,12,0.05,False,1.22,0.826169,0.173831,5.461046,0.138645
48,823,3.29,False,1.0,0.997841,0.002159,6.270662,0.09217
49,65,0.26,False,1.15,0.793603,0.206397,5.775396,0.135452
50,78,0.31,False,1.07,0.967394,0.032606,6.330912,0.115261
51,93,0.37,False,1.08,0.961224,0.038776,5.949414,0.143748
52,59,0.24,False,1.02,0.958223,0.041777,6.405392,0.121747
53,580,2.32,False,1.06,0.798624,0.201376,5.864552,0.104593
54,348,1.39,False,1.08,0.958218,0.041782,6.075633,0.12122
55,165,0.66,False,1.08,0.918989,0.081011,5.948281,0.144016
56,81,0.32,False,1.1,0.940374,0.059626,6.40241,0.129958
57,69,0.28,False,1.13,0.970921,0.029079,6.337379,0.134255
58,441,1.76,False,1.05,0.994774,0.005226,6.15881,0.105574
59,80,0.32,False,1.02,0.980811,0.019189,6.330808,0.109867
60,872,3.49,False,0.91,0.998467,0.001533,6.267504,0.087295
61,59,0.24,False,1.14,0.935983,0.064017,5.950554,0.160468
62,60,0.24,False,1.03,0.963094,0.036906,6.26796,0.106861
63,574,2.3,False,1.06,0.988267,0.011733,6.172025,0.112513
64,52,0.21,False,1.12,0.956805,0.043195,5.910406,0.158243
65,316,1.26,False,1.09,0.983277,0.016723,6.158044,0.116404
66,54,0.22,False,1.06,0.980602,0.019398,6.313654,0.099701
67,62,0.25,False,1.12,0.958945,0.041055,6.451039,0.131669
68,255,1.02,False,1.06,0.968335,0.031665,6.092654,0.12112
69,335,1.34,False,1.07,0.986309,0.013691,6.171706,0.121476
70,397,1.59,False,1.04,0.995824,0.004176,6.330118,0.09332
71,67,0.27,False,1.07,0.971346,0.028654,6.401797,0.124632
72,46,0.18,False,1.08,0.785531,0.214469,5.707208,0.173175
73,30,0.12,False,1.13,0.962608,0.037392,5.965003,0.143178
74,194,0.78,False,1.08,0.970087,0.029913,6.039188,0.131193
75,45,0.18,False,1.08,0.936945,0.063055,5.88347,0.125937
76,852,3.41,False,0.89,0.998266,0.001734,6.270472,0.082237
77,99,0.4,False,1.12,0.958947,0.041053,5.93581,0.14664
78,819,3.28,False,0.89,0.997571,0.002429,6.272127,0.082006
79,254,1.02,False,1.05,0.984675,0.015325,6.167333,0.126056
80,104,0.42,False,1.11,0.962088,0.037912,5.998594,0.119626
81,239,0.96,False,1.09,0.974483,0.025517,6.103505,0.135725
82,206,0.82,False,1.06,0.99149,0.00851,6.355195,0.100282
83,328,1.31,False,1.04,0.993339,0.006661,6.232965,0.105475
84,83,0.33,False,1.17,0.926825,0.073175,5.799671,0.192342
85,300,1.2,False,1.05,0.965423,0.034577,6.063111,0.111398
86,69,0.28,False,1.08,0.904334,0.095666,6.446662,0.124133
87,223,0.89,False,1.13,0.931923,0.068077,6.018999,0.144436
88,143,0.57,False,1.06,0.984214,0.015786,6.383754,0.103015
89,556,2.22,False,1.04,0.991817,0.008183,6.200215,0.107839
90,59,0.24,False,1.09,0.970632,0.029368,6.378376,0.13315
91,96,0.38,False,1.1,0.943399,0.056601,5.898263,0.156683
92,45,0.18,False,1.04,0.966213,0.033787,6.207018,0.123467
93,795,3.18,False,1.03,0.997713,0.002287,6.221389,0.111623
94,483,1.93,False,1.02,0.995673,0.004327,6.217333,0.097923
95,255,1.02,False,1.08,0.814817,0.185183,5.859078,0.149832
96,232,0.93,False,1.06,0.971705,0.028295,6.091498,0.123158
97,464,1.86,False,1.05,0.950126,0.049874,6.040572,0.106454
98,71,0.28,False,1.09,0.973137,0.026863,6.326622,0.121926
99,914,3.66,True,0.88,1.0,0.0,6.263468,0.082011
