cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,79,0.32,False,1.06,0.952399,0.047601,4.860745,0.13439
1,30,0.12,False,1.2,0.914907,0.085093,4.5012,0.125002
2,191,0.76,False,1.11,0.903803,0.096197,4.462894,0.11961
3,1104,4.42,False,0.91,0.99632,0.00368,4.699732,0.079499
4,571,2.28,False,1.07,0.979132,0.020868,4.818099,0.120219
5,519,2.08,False,1.04,0.993572,0.006428,4.657882,0.084924
6,390,1.56,False,1.04,0.99269,0.00731,4.634712,0.098465
7,317,1.27,False,1.08,0.889932,0.110068,4.518398,0.113
8,289,1.16,False,1.03,0.983495,0.016505,4.6359,0.111006
9,24,0.1,False,1.12,0.835334,0.164666,4.95707,0.19318
10,5,0.02,False,1.14,0.56079,0.43921,5.280493,0.146535
11,475,1.9,False,1.06,0.986845,0.013155,4.812122,0.096376
12,290,1.16,False,1.05,0.983939,0.016061,4.651102,0.103044
13,188,0.75,False,1.07,0.979694,0.020306,4.834099,0.107926
14,235,0.94,False,1.1,0.941804,0.058196,4.55166,0.115608
15,92,0.37,False,1.06,0.881595,0.118405,5.001719,0.126892
16,84,0.34,False,1.06,0.880142,0.119858,4.873588,0.136341
17,384,1.54,False,1.06,0.992018,0.007982,4.665888,0.094915
18,123,0.49,False,1.12,0.8763,0.1237,4.404086,0.110181
19,410,1.64,False,1.06,0.9922,0.0078,4.658777,0.095092
20,926,3.7,False,0.95,0.997369,0.002631,4.718326,0.095617
21,119,0.48,False,1.11,0.937953,0.062047,4.504372,0.112823
22,353,1.41,False,1.04,0.959914,0.040086,4.646905,0.105803
23,139,0.56,False,1.1,0.978777,0.021223,4.77547,0.114343
24,125,0.5,False,1.05,0.957369,0.042631,4.861295,0.122547
25,109,0.44,False,1.11,0.969653,0.030347,4.818927,0.109342
26,77,0.31,False,1.05,0.944066,0.055934,4.860865,0.129752
27,2,0.01,False,1.04,0.847413,0.152587,4.943489,0.109102
28,70,0.28,False,1.05,0.905172,0.094828,4.927238,0.128306
29,121,0.48,False,1.03,0.973056,0.026944,4.767436,0.117257
30,240,0.96,False,1.06,0.981908,0.018092,4.818253,0.111806
31,354,1.42,False,1.04,0.925029,0.074971,4.608995,0.099906
32,9,0.04,False,1.11,0.795918,0.204082,4.740865,0.115669
33,343,1.37,False,1.09,0.975739,0.024261,4.586358,0.119888
34,916,3.66,False,0.96,0.997658,0.002342,4.722444,0.083111
35,133,0.53,False,1.12,0.967169,0.032831,4.757722,0.122906
36,395,1.58,False,1.07,0.957466,0.042534,4.575221,0.110967
37,76,0.3,False,1.03,0.957156,0.042844,4.817331,0.106291
38,87,0.35,False,1.04,0.982924,0.017076,4.811892,0.116363
39,1093,4.37,True,0.89,1.0,-0.0,4.728703,0.080838
40,74,0.3,False,1.12,0.811734,0.188266,5.016774,0.139122
41,59,0.24,False,1.09,0.957885,0.042115,4.807865,0.137649
42,78,0.31,False,1.09,0.792082,0.207918,5.047471,0.159566
43,80,0.32,False,1.02,0.786879,0.213121,5.004848,0.121496
44,65,0.26,False,1.13,0.901577,0.098423,4.661153,0.122768
45,341,1.36,False,1.01,0.990328,0.009672,4.779058,0.094405
46,417,1.67,False,1.05,0.897353,0.102647,4.502063,0.115238
47,630,2.52,False,1.05,0.992846,0.007154,4.644351,0.099871
48,76,0.3,False,1.06,0.942186,0.057814,4.869049,0.132793
49,62,0.25,False,1.06,0.974426,0.025574,4.788372,0.099447
50,3,0.01,False,1.12,0.875556,0.124444,4.75844,0.067422
51,93,0.37,False,1.03,0.984209,0.015791,4.81064,0.11206
52,82,0.33,False,1.08,0.90906,0.09094,4.903286,0.115307
53,149,0.6,False,1.11,0.935979,0.064021,4.572866,0.120536
54,381,1.52,False,1.08,0.972252,0.027748,4.87179,0.113605
55,60,0.24,False,1.09,0.886763,0.113237,4.969732,0.141021
56,60,0.24,False,1.12,0.933947,0.066053,4.895879,0.1221
57,80,0.32,False,1.08,0.88865,0.11135,4.68059,0.130856
58,602,2.41,False,1.06,0.98468,0.01532,4.614757,0.099054
59,418,1.67,False,1.03,0.992247,0.007753,4.781288,0.0957
60,73,0.29,False,1.05,0.912512,0.087488,4.84995,0.12469
61,443,1.77,False,1.05,0.98884,0.01116,4.777801,0.10199
62,241,0.96,False,1.06,0.986622,0.013378,4.801854,0.101588
63,531,2.12,False,1.03,0.989496,0.010504,4.665958,0.095718
64,207,0.83,False,1.05,0.990101,0.009899,4.794503,0.098088
65,55,0.22,False,1.04,0.983219,0.016781,4.626123,0.098631
66,265,1.06,False,1.06,0.987325,0.012675,4.786711,0.093728
67,68,0.27,False,1.03,0.859991,0.140009,4.927141,0.122319
68,80,0.32,False,1.04,0.949809,0.050191,4.87501,0.12583
69,257,1.03,False,1.05,0.989118,0.010882,4.80322,0.109135
70,56,0.22,False,1.07,0.972613,0.027387,4.77427,0.091927
71,138,0.55,False,1.06,0.981524,0.018476,4.819583,0.10321
72,650,2.6,False,1.03,0.99474,0.00526,4.654225,0.095106
73,70,0.28,False,1.09,0.917534,0.082466,4.914874,0.145738
74,91,0.36,False,1.07,0.810054,0.189946,4.998457,0.145574
75,79,0.32,False,1.07,0.946119,0.053881,4.697834,0.100676
76,225,0.9,False,1.06,0.980126,0.019874,4.828207,0.122342
77,483,1.93,False,1.06,0.988912,0.011088,4.625541,0.104321
78,535,2.14,False,1.03,0.993399,0.006601,4.657602,0.088723
79,587,2.35,False,1.05,0.991085,0.008915,4.65538,0.097672
80,148,0.59,False,1.1,0.933062,0.066938,4.586322,0.120889
81,6,0.02,False,1.17,0.698217,0.301783,4.833524,0.120666
82,560,2.24,False,1.04,0.99508,0.00492,4.657438,0.09253
83,61,0.24,False,1.05,0.955613,0.044387,4.869317,0.102018
84,303,1.21,False,1.07,0.987803,0.012197,4.776384,0.106275
85,71,0.28,False,1.09,0.974047,0.025953,4.776229,0.101796
86,85,0.34,False,1.09,0.93991,0.06009,4.725955,0.124103
87,57,0.23,False,1.09,0.971911,0.028089,4.818493,0.101973
88,55,0.22,False,1.1,0.958349,0.041651,4.800198,0.115303
89,380,1.52,False,1.04,0.989795,0.010205,4.778779,0.098435
90,72,0.29,False,1.08,0.926996,0.073004,4.875892,0.116684
91,687,2.75,False,0.96,0.995726,0.004274,4.699808,0.081552
92,1023,4.09,False,0.88,0.998135,0.001865,4.71923,0.076297
93,61,0.24,False,1.08,0.942438,0.057562,4.820401,0.123333
94,75,0.3,False,1.09,0.900615,0.099385,4.943984,0.132535
95,56,0.22,False,1.06,0.960721,0.039279,4.840984,0.109299
96,191,0.76,False,1.07,0.977368,0.022632,4.828472,0.106026
97,76,0.3,False,1.04,0.926534,0.073466,4.909237,0.127755
98,71,0.28,False,1.08,0.904239,0.095761,4.915182,0.129385
99,531,2.12,False,1.04,0.985207,0.014793,4.643648,0.100426
