cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,79,0.32,False,1.13,0.957839,0.042161,5.529458,0.135451
1,993,3.97,False,1.03,0.991175,0.008825,5.650476,0.109486
2,89,0.36,False,1.14,0.838463,0.161537,5.307691,0.163708
3,259,1.04,False,1.07,0.991398,0.008602,5.691341,0.108047
4,3,0.01,False,0.68,0.978872,0.021128,5.698479,0.068644
5,791,3.16,False,1.01,0.994446,0.005554,5.713083,0.110035
6,86,0.34,False,1.08,0.960224,0.039776,5.838509,0.158597
7,72,0.29,False,1.06,0.953871,0.046129,5.848414,0.125863
8,294,1.18,False,1.05,0.934941,0.065059,5.5216,0.135911
9,238,0.95,False,1.03,0.988706,0.011294,5.83147,0.100807
10,87,0.35,False,1.05,0.893289,0.106711,6.027212,0.124609
11,376,1.5,False,1.04,0.989696,0.010304,5.652881,0.114411
12,1182,4.73,False,0.96,0.9976,0.0024,5.761573,0.107422
13,20,0.08,False,1.06,0.940204,0.059796,5.688007,0.164303
14,71,0.28,False,1.04,0.948709,0.051291,5.859991,0.137204
15,443,1.77,False,1.04,0.992218,0.007782,5.836232,0.113883
16,73,0.29,False,1.08,0.807132,0.192868,6.168499,0.127067
17,525,2.1,False,1.04,0.992371,0.007629,5.664029,0.108604
18,68,0.27,False,1.05,0.865864,0.134136,5.901551,0.158468
19,82,0.33,False,1.12,0.816658,0.183342,6.19828,0.146696
20,390,1.56,False,1.05,0.983445,0.016555,5.624217,0.119923
21,295,1.18,False,1.06,0.982231,0.017769,5.662734,0.118055
22,110,0.44,False,1.06,0.965154,0.034846,5.817107,0.137699
23,89,0.36,False,1.06,0.922295,0.077705,5.902579,0.142682
24,68,0.27,False,1.13,0.927644,0.072356,5.917758,0.139195
25,68,0.27,False,1.08,0.938048,0.061952,5.891633,0.13503
26,433,1.73,False,1.02,0.993351,0.006649,5.696671,0.114607
27,78,0.31,False,1.01,0.964495,0.035505,5.890948,0.142218
28,535,2.14,False,1.01,0.992267,0.007733,5.668593,0.109106
29,265,1.06,False,1.06,0.984402,0.015598,5.828216,0.110537
30,622,2.49,False,1.02,0.995755,0.004245,5.690292,0.110611
31,6,0.02,False,1.1,0.912617,0.087383,5.863037,0.145868
32,8,0.03,False,1.06,0.663915,0.336085,5.845251,0.119659
33,60,0.24,False,1.09,0.901111,0.098889,6.007913,0.164592
34,328,1.31,False,1.0,0.991946,0.008054,5.819947,0.101778
35,126,0.5,False,1.07,0.959297,0.040703,5.911113,0.135284
36,238,0.95,False,1.1,0.976808,0.023192,5.600514,0.14104
37,81,0.32,False,1.08,0.956953,0.043047,5.882689,0.140229
38,71,0.28,False,1.09,0.957569,0.042431,5.513298,0.115705
39,63,0.25,False,1.07,0.912724,0.087276,6.056107,0.131524
40,59,0.24,False,1.03,0.968052,0.031948,5.873989,0.150842
41,46,0.18,False,1.06,0.964581,0.035419,5.834098,0.157311
42,1017,4.07,False,0.97,0.99794,0.00206,5.736477,0.116225
