cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,1305,5.22,True,0.76,1.0,0.0,4.902976,0.078546
1,6,0.02,False,1.18,0.692855,0.307145,4.941977,0.066275
2,478,1.91,False,1.01,0.98725,0.01275,4.836395,0.105039
3,239,0.96,False,1.09,0.976942,0.023058,4.995542,0.110137
4,65,0.26,False,1.03,0.959552,0.040448,5.037969,0.100704
5,629,2.52,False,1.05,0.991822,0.008178,4.842996,0.10095
6,413,1.65,False,1.05,0.794022,0.205978,4.598598,0.137511
7,19,0.08,False,1.14,0.869164,0.130836,5.154975,0.165791
8,20,0.08,False,1.21,0.920095,0.079905,4.674356,0.141694
9,358,1.43,False,1.06,0.977436,0.022564,4.812629,0.111429
10,56,0.22,False,1.09,0.977298,0.022702,5.069156,0.102276
11,736,2.94,False,1.05,0.978415,0.021585,4.813684,0.108638
12,130,0.52,False,1.08,0.947308,0.052692,4.974873,0.1216
13,59,0.24,False,1.09,0.901073,0.098927,5.120109,0.136007
14,387,1.55,False,1.0,0.991928,0.008072,4.962095,0.103514
15,205,0.82,False,1.07,0.980929,0.019071,5.016503,0.111696
16,483,1.93,False,1.06,0.977569,0.022431,5.03184,0.107871
17,600,2.4,False,1.03,0.991598,0.008402,4.876369,0.098273
18,75,0.3,False,1.04,0.818921,0.181079,5.244816,0.147918
19,1119,4.48,False,0.79,0.997562,0.002438,4.914685,0.088042
20,650,2.6,False,1.03,0.994389,0.005611,4.895473,0.101267
21,61,0.24,False,1.05,0.933253,0.066747,5.119708,0.122514
22,68,0.27,False,1.09,0.928008,0.071992,4.700336,0.112534
23,77,0.31,False,1.08,0.919705,0.080295,5.072731,0.12128
24,1,0.0,False,1.23,0.736279,0.263721,5.227681,0.0
25,76,0.3,False,1.07,0.940797,0.059203,5.110119,0.113016
26,152,0.61,False,1.08,0.948632,0.051368,4.803066,0.124203
27,68,0.27,False,1.1,0.893158,0.106842,5.141455,0.113644
28,61,0.24,False,1.13,0.867563,0.132437,5.126177,0.142126
29,3,0.01,False,1.02,0.837077,0.162923,5.241201,0.056424
30,21,0.08,False,1.19,0.741608,0.258392,4.833568,0.165377
31,4,0.02,False,1.17,0.925274,0.074726,4.93271,0.021433
32,121,0.48,False,1.09,0.93334,0.06666,5.097282,0.117705
33,236,0.94,False,1.1,0.7991,0.2009,4.647746,0.152587
34,68,0.27,False,1.08,0.911108,0.088892,5.088698,0.14905
35,71,0.28,False,1.07,0.951766,0.048234,5.062888,0.125035
36,67,0.27,False,1.06,0.945468,0.054532,5.096711,0.111993
37,58,0.23,False,1.14,0.942693,0.057307,4.942916,0.112175
38,230,0.92,False,1.07,0.980132,0.019868,4.868879,0.101648
39,68,0.27,False,1.09,0.937738,0.062262,5.120933,0.119678
40,63,0.25,False,1.04,0.965008,0.034992,5.021242,0.10311
41,220,0.88,False,1.03,0.978838,0.021162,4.998733,0.11622
42,64,0.26,False,1.08,0.947182,0.052818,5.047939,0.126113
43,555,2.22,False,1.02,0.992479,0.007521,4.829825,0.109735
44,94,0.38,False,1.09,0.919405,0.080595,4.724496,0.13702
45,165,0.66,False,1.08,0.95517,0.04483,4.86196,0.118773
46,96,0.38,False,1.07,0.976954,0.023046,4.792418,0.123628
47,319,1.28,False,1.04,0.864814,0.135186,4.643334,0.118898
48,883,3.53,False,0.99,0.99585,0.00415,4.902118,0.103526
49,279,1.12,False,1.05,0.985623,0.014377,4.997898,0.10775
50,63,0.25,False,1.06,0.936078,0.063922,5.065266,0.129706
