cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,188,0.75,False,1.08,0.98015,0.01985,5.635197,0.134171
1,56,0.22,False,1.07,0.834972,0.165028,5.273721,0.181397
2,268,1.07,False,1.05,0.99345,0.00655,5.886449,0.118871
3,200,0.8,False,1.05,0.994967,0.005033,5.937568,0.112902
4,202,0.81,False,1.06,0.942621,0.057379,5.495718,0.133378
5,788,3.15,False,0.93,0.998403,0.001597,5.805284,0.088112
6,323,1.29,False,1.05,0.991402,0.008598,5.975014,0.131124
7,870,3.48,False,0.94,0.996945,0.003055,5.807371,0.097231
8,219,0.88,False,1.05,0.983945,0.016055,5.615961,0.130593
9,53,0.21,False,1.16,0.967382,0.032618,5.431306,0.198449
10,342,1.37,False,1.07,0.958949,0.041051,5.602719,0.131441
11,125,0.5,False,1.06,0.966341,0.033659,5.997871,0.159333
12,849,3.4,True,0.94,1.0,-0.0,5.822699,0.092299
13,373,1.49,False,1.07,0.957375,0.042625,6.180084,0.132549
14,83,0.33,False,1.11,0.947433,0.052567,6.004345,0.158883
15,70,0.28,False,1.06,0.942916,0.057084,6.049531,0.164509
16,839,3.36,False,0.94,0.998126,0.001874,5.81278,0.096183
17,35,0.14,False,1.12,0.906804,0.093196,5.651075,0.143371
18,302,1.21,False,1.07,0.921765,0.078235,5.461961,0.13302
19,164,0.66,False,1.08,0.991144,0.008856,5.748695,0.114161
20,748,2.99,False,0.96,0.998148,0.001852,5.810086,0.100931
21,53,0.21,False,1.15,0.931468,0.068532,5.892511,0.170563
22,40,0.16,False,1.08,0.742663,0.257337,5.525126,0.191592
23,2,0.01,False,1.04,0.924041,0.075959,6.0439,0.059772
24,48,0.19,False,1.08,0.958136,0.041864,6.095831,0.130766
25,58,0.23,False,1.15,0.664496,0.335504,4.840238,0.194235
26,269,1.08,False,1.07,0.739674,0.260326,5.132748,0.151325
27,278,1.11,False,1.06,0.981541,0.018459,5.590818,0.133763
28,66,0.26,False,1.09,0.971054,0.028946,6.022276,0.132297
29,54,0.22,False,1.1,0.930026,0.069974,6.071134,0.140594
30,746,2.98,False,1.05,0.993721,0.006279,5.673928,0.125358
31,71,0.28,False,1.07,0.960655,0.039345,5.947791,0.143956
32,111,0.44,False,1.12,0.893153,0.106847,5.297813,0.165474
33,139,0.56,False,1.04,0.942933,0.057067,5.497414,0.154525
34,334,1.34,False,1.06,0.963632,0.036368,5.626201,0.147606
35,58,0.23,False,1.09,0.893379,0.106621,5.368237,0.173227
36,68,0.27,False,1.1,0.975149,0.024851,5.538052,0.171285
37,122,0.49,False,1.08,0.96019,0.03981,5.520469,0.13706
38,308,1.23,False,1.05,0.99512,0.00488,5.852449,0.113546
39,486,1.94,False,1.06,0.995876,0.004124,5.710781,0.128486
40,311,1.24,False,1.07,0.992208,0.007792,5.907619,0.122314
41,238,0.95,False,1.03,0.97553,0.02447,5.623884,0.116611
42,50,0.2,False,1.03,0.969084,0.030916,6.042852,0.129571
43,195,0.78,False,1.1,0.971817,0.028183,5.616039,0.138603
44,592,2.37,False,1.04,0.995304,0.004696,5.751758,0.098212
45,283,1.13,False,1.06,0.958046,0.041954,5.535573,0.136611
46,241,0.96,False,1.07,0.993948,0.006052,5.877421,0.125068
47,68,0.27,False,1.06,0.967022,0.032978,5.65831,0.145265
48,586,2.34,False,1.03,0.995243,0.004757,5.698335,0.126426
49,352,1.41,False,1.08,0.954626,0.045374,5.56238,0.142923
50,37,0.15,False,1.08,0.971053,0.028947,5.508729,0.109817
51,61,0.24,False,1.09,0.965405,0.034595,5.938676,0.126246
52,69,0.28,False,1.09,0.959457,0.040543,6.063255,0.133004
53,63,0.25,False,1.04,0.964004,0.035996,5.984592,0.127171
54,77,0.31,False,1.12,0.950107,0.049893,5.337934,0.185465
55,54,0.22,False,1.06,0.979336,0.020664,5.944878,0.130544
56,203,0.81,False,1.09,0.920684,0.079316,5.40043,0.178437
57,690,2.76,False,1.04,0.995618,0.004382,5.759811,0.105918
58,835,3.34,False,0.93,0.997753,0.002247,5.797584,0.088027
59,704,2.82,False,1.04,0.99822,0.00178,5.786991,0.140118
60,223,0.89,False,1.03,0.972505,0.027495,5.623279,0.109542
61,64,0.26,False,1.1,0.935749,0.064251,6.113813,0.13931
62,788,3.15,False,0.91,0.997806,0.002194,5.807127,0.095032
63,190,0.76,False,1.07,0.978483,0.021517,5.645027,0.136401
64,352,1.41,False,1.05,0.991291,0.008709,5.72499,0.138204
65,296,1.18,False,1.06,0.811819,0.188181,5.234412,0.161038
66,552,2.21,False,1.0,0.997658,0.002342,5.799434,0.106136
67,266,1.06,False,1.03,0.989724,0.010276,5.961175,0.114405
68,51,0.2,False,1.02,0.967358,0.032642,5.879535,0.133682
69,67,0.27,False,1.14,0.753254,0.246746,4.93903,0.205012
70,60,0.24,False,1.04,0.972381,0.027619,5.985573,0.147655
71,676,2.7,False,0.93,0.998697,0.001303,5.802459,0.088583
72,234,0.94,False,1.08,0.7769,0.2231,5.194807,0.175098
73,63,0.25,False,1.14,0.937279,0.062721,5.283195,0.185155
74,51,0.2,False,1.08,0.978001,0.021999,6.000869,0.121405
75,55,0.22,False,1.04,0.991223,0.008777,5.876551,0.095042
76,416,1.66,False,1.05,0.988904,0.011096,5.716524,0.10841
77,775,3.1,False,0.93,0.99823,0.00177,5.797905,0.088923
78,191,0.76,False,1.08,0.957838,0.042162,6.097881,0.140473
79,326,1.3,False,1.05,0.987329,0.012671,5.916047,0.123151
80,40,0.16,False,1.11,0.946012,0.053988,5.957666,0.143221
81,37,0.15,False,1.15,0.815504,0.184496,5.039886,0.216102
82,11,0.04,False,1.05,0.922631,0.077369,5.84438,0.159047
83,283,1.13,False,1.09,0.900384,0.099616,5.37137,0.143991
84,333,1.33,False,1.08,0.989379,0.010621,5.710718,0.147112
85,701,2.8,False,0.96,0.994938,0.005062,5.809557,0.105923
86,77,0.31,False,1.15,0.787713,0.212287,5.008682,0.18438
87,787,3.15,False,0.96,0.996686,0.003314,5.822494,0.096008
88,145,0.58,False,1.03,0.981599,0.018401,5.743064,0.113087
89,120,0.48,False,1.05,0.987553,0.012447,5.931155,0.127287
90,29,0.12,False,1.15,0.926736,0.073264,5.832409,0.178767
91,148,0.59,False,1.06,0.986174,0.013826,5.943398,0.131125
92,68,0.27,False,1.07,0.915403,0.084597,5.498933,0.126616
93,82,0.33,False,1.01,0.986291,0.013709,5.908514,0.133211
94,66,0.26,False,1.08,0.964724,0.035276,6.049072,0.155897
95,68,0.27,False,1.06,0.955974,0.044026,5.934083,0.159405
96,5,0.02,False,1.3,0.853188,0.146812,5.737277,0.07536
97,48,0.19,False,1.03,0.977288,0.022712,5.912489,0.108739
98,70,0.28,False,1.1,0.961391,0.038609,5.985361,0.16339
99,69,0.28,False,1.07,0.875272,0.124728,5.323962,0.159594
