cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,479,1.92,False,1.04,0.986973,0.013027,4.446046,0.129119
1,72,0.29,False,1.04,0.919608,0.080392,4.666768,0.163926
2,12,0.05,False,1.06,0.820716,0.179284,4.456563,0.235416
3,137,0.55,False,1.06,0.946876,0.053124,4.257228,0.175295
4,383,1.53,False,1.03,0.980692,0.019308,4.636745,0.130493
5,273,1.09,False,1.02,0.992113,0.007887,4.654006,0.119002
6,118,0.47,False,1.08,0.954606,0.045394,4.660471,0.163735
7,167,0.67,False,1.09,0.959029,0.040971,4.319192,0.166058
8,477,1.91,False,1.03,0.991319,0.008681,4.473267,0.12906
9,404,1.62,False,1.01,0.986344,0.013656,4.708471,0.129275
10,128,0.51,False,1.13,0.938723,0.061277,4.136043,0.150513
11,25,0.1,False,1.18,0.850294,0.149706,4.510985,0.215481
12,453,1.81,False,1.08,0.901892,0.098108,4.281489,0.163739
13,132,0.53,False,1.13,0.960772,0.039228,4.228754,0.149861
14,923,3.69,False,0.94,0.997706,0.002294,4.523663,0.102214
15,87,0.35,False,1.06,0.85615,0.14385,4.926207,0.203443
16,114,0.46,False,1.13,0.943755,0.056245,4.117328,0.174693
17,140,0.56,False,1.13,0.96817,0.03183,4.266218,0.151473
18,77,0.31,False,1.09,0.879443,0.120557,4.926544,0.182769
19,453,1.81,False,1.06,0.974844,0.025156,4.466524,0.123473
20,176,0.7,False,1.05,0.949316,0.050684,4.76605,0.168762
21,276,1.1,False,1.04,0.986917,0.013083,4.689898,0.119041
22,327,1.31,False,1.05,0.961239,0.038761,4.336991,0.130615
23,78,0.31,False,1.1,0.798862,0.201138,5.00143,0.20676
24,562,2.25,False,1.03,0.992846,0.007154,4.647376,0.110138
25,252,1.01,False,1.07,0.973317,0.026683,4.442495,0.139061
26,496,1.98,False,1.04,0.93692,0.06308,4.379169,0.144454
27,329,1.32,False,1.06,0.972277,0.027723,4.370996,0.142158
28,171,0.68,False,1.12,0.87557,0.12443,4.009288,0.164415
29,71,0.28,False,1.09,0.890906,0.109094,4.816017,0.223655
30,199,0.8,False,1.06,0.984568,0.015432,4.714367,0.143345
