cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,2,0.01,False,1.11,0.965558,0.034442,5.775746,0.002043
1,261,1.04,False,1.07,0.97397,0.02603,5.673887,0.093188
2,264,1.06,False,1.06,0.987778,0.012222,5.891493,0.088791
3,562,2.25,False,1.04,0.950917,0.049083,5.675016,0.102132
4,107,0.43,False,1.08,0.967799,0.032201,5.663683,0.11406
5,438,1.75,False,1.03,0.993228,0.006772,5.775489,0.104191
6,93,0.37,False,1.05,0.982234,0.017766,5.937507,0.11876
7,2,0.01,False,0.9,0.8803,0.1197,5.628871,0.019727
8,304,1.22,False,1.04,0.990005,0.009995,5.773489,0.098746
9,2,0.01,False,1.3,0.869335,0.130665,5.824314,0.120543
10,551,2.2,False,1.03,0.992181,0.007819,5.762115,0.09354
11,430,1.72,False,1.05,0.993455,0.006545,5.777609,0.096071
12,508,2.03,False,1.0,0.994762,0.005238,5.768043,0.084693
13,145,0.58,False,1.06,0.972507,0.027493,5.917591,0.096989
14,137,0.55,False,1.1,0.869173,0.130827,6.051963,0.133689
15,385,1.54,False,1.03,0.98953,0.01047,5.778188,0.094094
16,90,0.36,False,1.13,0.977089,0.022911,5.671277,0.096306
17,64,0.26,False,1.04,0.942766,0.057234,5.864079,0.129895
18,227,0.91,False,1.07,0.974964,0.025036,5.929126,0.10674
19,278,1.11,False,1.03,0.982389,0.017611,5.726847,0.087405
20,75,0.3,False,1.09,0.912822,0.087178,5.967771,0.129292
21,379,1.52,False,1.05,0.967081,0.032919,5.72359,0.099004
22,357,1.43,False,1.04,0.977169,0.022831,5.683288,0.103102
23,34,0.14,False,1.09,0.931966,0.068034,5.729232,0.124457
24,108,0.43,False,1.09,0.964926,0.035074,5.754796,0.117231
25,9,0.04,False,0.93,0.915754,0.084246,5.962644,0.086647
26,76,0.3,False,1.05,0.823419,0.176581,6.018594,0.119958
27,14,0.06,False,1.22,0.910499,0.089501,5.696648,0.154883
28,105,0.42,False,1.05,0.967892,0.032108,5.905045,0.110147
29,11,0.04,False,1.24,0.883487,0.116513,5.871273,0.13588
30,340,1.36,False,1.06,0.982989,0.017011,5.724133,0.100447
31,102,0.41,False,1.14,0.876353,0.123647,5.469996,0.146339
32,103,0.41,False,1.1,0.937864,0.062136,5.57775,0.129447
33,364,1.46,False,1.06,0.954692,0.045308,5.669017,0.104248
34,78,0.31,False,1.05,0.910229,0.089771,5.734715,0.132492
35,572,2.29,False,1.02,0.993398,0.006602,5.770492,0.091626
36,71,0.28,False,1.1,0.950142,0.049858,5.92731,0.114524
37,430,1.72,False,1.06,0.907305,0.092695,5.657483,0.108948
38,89,0.36,False,1.06,0.976248,0.023752,5.931732,0.09929
39,648,2.59,False,1.0,0.996545,0.003455,5.791304,0.089609
40,110,0.44,False,1.09,0.926887,0.073113,5.559968,0.111566
41,60,0.24,False,1.04,0.976068,0.023932,5.867454,0.111348
42,8,0.03,False,1.18,0.940716,0.059284,5.873639,0.126846
43,665,2.66,False,1.01,0.994555,0.005445,5.79525,0.085278
44,88,0.35,False,1.06,0.8975,0.1025,5.991207,0.147445
45,390,1.56,False,1.03,0.993368,0.006632,5.77857,0.09227
46,291,1.16,False,1.07,0.958329,0.041671,5.71517,0.113094
47,175,0.7,False,1.05,0.971705,0.028295,5.67766,0.100829
48,196,0.78,False,1.04,0.986052,0.013948,5.892278,0.096789
49,570,2.28,False,1.06,0.979894,0.020106,5.731769,0.097553
50,113,0.45,False,1.14,0.900567,0.099433,5.539754,0.123032
51,119,0.48,False,1.12,0.970328,0.029672,5.65903,0.116558
52,96,0.38,False,1.12,0.931025,0.068975,5.571222,0.126659
53,621,2.48,False,1.02,0.99318,0.00682,5.773109,0.089515
54,1211,4.84,False,0.89,0.99759,0.00241,5.828082,0.078712
55,68,0.27,False,1.09,0.928827,0.071173,5.86919,0.127892
56,99,0.4,False,1.05,0.981105,0.018895,5.874436,0.092043
57,79,0.32,False,1.13,0.906887,0.093113,5.579548,0.124896
58,109,0.44,False,1.08,0.978409,0.021591,5.69269,0.096013
59,75,0.3,False,1.11,0.874578,0.125422,5.472161,0.134097
60,295,1.18,False,1.07,0.90784,0.09216,5.597586,0.111273
61,71,0.28,False,1.11,0.950684,0.049316,5.615941,0.108714
62,515,2.06,False,1.02,0.990145,0.009855,5.762014,0.091372
63,741,2.96,False,1.05,0.985899,0.014101,5.767882,0.099782
64,102,0.41,False,1.02,0.96864,0.03136,5.940098,0.100491
65,1546,6.18,True,0.77,1.0,-0.0,5.843943,0.077461
66,108,0.43,False,1.06,0.919471,0.080529,5.989765,0.110638
67,73,0.29,False,1.04,0.920849,0.079151,5.928409,0.141035
68,85,0.34,False,1.17,0.913254,0.086746,5.568558,0.141752
69,65,0.26,False,1.03,0.963287,0.036713,5.904145,0.111946
70,1543,6.17,False,0.71,0.998607,0.001393,5.821652,0.066906
71,64,0.26,False,1.06,0.925049,0.074951,5.938015,0.0947
72,51,0.2,False,0.98,0.949651,0.050349,5.969853,0.117771
73,73,0.29,False,1.11,0.915909,0.084091,5.587974,0.134357
74,323,1.29,False,1.05,0.949686,0.050314,5.645402,0.103698
75,79,0.32,False,1.13,0.91703,0.08297,5.940311,0.142414
76,58,0.23,False,1.06,0.957407,0.042593,5.864819,0.108864
77,103,0.41,False,1.09,0.985132,0.014868,5.819883,0.096402
78,77,0.31,False,1.07,0.953619,0.046381,5.951614,0.10896
79,76,0.3,False,1.02,0.975849,0.024151,5.820938,0.087411
80,110,0.44,False,1.1,0.948938,0.051062,5.580894,0.103997
81,88,0.35,False,1.15,0.942263,0.057737,5.597045,0.113671
82,59,0.24,False,1.11,0.920932,0.079068,5.597953,0.13531
83,604,2.42,False,1.05,0.971185,0.028815,5.717092,0.099686
84,359,1.44,False,1.06,0.957118,0.042882,5.68334,0.10204
85,227,0.91,False,1.03,0.985381,0.014619,5.904567,0.096057
86,75,0.3,False,1.08,0.940843,0.059157,5.978076,0.108973
87,483,1.93,False,1.04,0.989716,0.010284,5.785604,0.094212
88,148,0.59,False,1.05,0.965286,0.034714,5.889666,0.103914
89,10,0.04,False,1.34,0.901379,0.098621,5.626659,0.165054
90,144,0.58,False,1.05,0.978481,0.021519,5.892548,0.092154
91,87,0.35,False,1.1,0.84133,0.15867,6.015934,0.141966
92,81,0.32,False,1.13,0.915585,0.084415,5.567911,0.099848
93,74,0.3,False,1.15,0.900474,0.099526,5.585463,0.144112
94,1587,6.35,False,0.79,0.998555,0.001445,5.849226,0.078349
95,558,2.23,False,1.03,0.992917,0.007083,5.787283,0.081359
96,114,0.46,False,1.13,0.912595,0.087405,5.533351,0.119391
97,116,0.46,False,1.07,0.959831,0.040169,5.963138,0.118914
98,47,0.19,False,1.16,0.939599,0.060401,5.57859,0.152564
99,23,0.09,False,1.13,0.870455,0.129545,5.912864,0.171794
